film_id,protagonist,lead_gender,addr_n_nodes,addr_n_edges,addr_density,addr_samesex,addr_samesex_z,addr_samesex_p,addr_n_same,addr_n_other,cooc_n_nodes,cooc_n_edges,cooc_density,cooc_samesex,cooc_samesex_z,cooc_samesex_p,cooc_n_same,cooc_n_other,div_n_addr,div_n_cooc,div_n_both,div_n_only_addr,div_n_only_cooc,div_class_only_cooc,div_class_only_addr,div_class_both,recip_n_directed_edges,recip_n_unique_pairs,recip_n_reciprocal_pairs,recip_reciprocity_pair,recip_reciprocity_edge,keystone_addr,keystone_addr_gender,keystone_cooc,keystone_cooc_gender,keystone_agree,n_scenes_with_dialogue,scene_mean_speakers,scene_max_speakers,share_scenes_ge2,share_scenes_ge3,share_scenes_ge4,film_title
beautyandthebeast_1991,Belle,F,12,19,0.2878787878787879,0.16593886462882096,-0.06096071805436367,0.46,2,5,11,25,0.45454545454545453,0.15384615384615385,-0.5363521438980058,0.7085,2,6,19,25,15,4,10,"{'MM': 6, 'cross': 4}","{'MM': 2, 'cross': 2}","{'cross': 6, 'FF': 2, 'MM': 7}",28,19,9,0.47368421052631576,0.6428571428571429,Beast,M,Mantleclock,M,False,83,2.3493975903614457,6,0.6867469879518072,0.37349397590361444,0.18072289156626506,Beauty & the Beast (1991)
mulan_1998,Mulan,F,13,17,0.21794871794871795,0.044585987261146494,-0.7873280074626557,0.803,1,8,12,33,0.5,0.12121212121212122,-0.8736390567802207,0.863,2,9,17,33,12,5,21,"{'MM': 18, 'cross': 2, 'FF': 1}",{'MM': 5},"{'MM': 2, 'cross': 8, 'FF': 2}",24,17,7,0.4117647058823529,0.5833333333333334,Shang,M,Mushu,M,False,43,2.953488372093023,8,0.6976744186046512,0.5116279069767442,0.32558139534883723,Mulan (1998)
frozen_2013,Anna,F,11,15,0.2727272727272727,0.2620817843866171,0.3515767973017874,0.3315,2,5,8,13,0.4642857142857143,0.19230769230769232,0.5719550699924832,0.417,1,5,15,13,12,3,1,{'cross': 1},"{'MM': 2, 'FF': 1}","{'MM': 2, 'cross': 9, 'FF': 1}",27,15,12,0.8,0.8888888888888888,Elsa,F,Elsa,F,True,51,2.3333333333333335,5,0.7058823529411765,0.39215686274509803,0.1568627450980392,Frozen (2013)
inside_out_2015,Joy,F,11,15,0.2727272727272727,0.6327868852459017,0.4640757061342994,0.409,3,4,9,31,0.8611111111111112,0.5280898876404494,0.5256904197779256,0.429,4,4,15,31,13,2,18,"{'FF': 7, 'cross': 9, 'MM': 2}","{'FF': 1, 'cross': 1}","{'cross': 8, 'MM': 2, 'FF': 3}",26,15,11,0.7333333333333333,0.8461538461538461,Anger,M,Anger,M,True,26,5.5,10,1.0,0.9230769230769231,0.6538461538461539,Inside Out (2015)
zootopia_2016,Hopps,F,24,30,0.10869565217391304,0.12280701754385964,-0.755977552368298,0.756,4,12,13,20,0.2564102564102564,0.18181818181818182,-0.47619006850232826,0.6245,3,8,30,20,17,13,3,"{'cross': 2, 'MM': 1}","{'MM': 5, 'cross': 7, 'FF': 1}","{'cross': 11, 'FF': 3, 'MM': 3}",49,30,19,0.6333333333333333,0.7755102040816326,Bogo,M,Bonnie Hopps,F,False,72,2.388888888888889,6,0.7638888888888888,0.4166666666666667,0.1527777777777778,Zootopia (2016)
encanto_2021,Mirabel,F,12,14,0.21212121212121213,0.6485507246376812,0.09639355324605366,0.48,7,4,13,38,0.48717948717948717,0.7468354430379747,0.7607543025386038,0.273,7,3,14,38,10,4,28,"{'FF': 15, 'cross': 12, 'MM': 1}","{'cross': 3, 'FF': 1}","{'FF': 7, 'cross': 2, 'MM': 1}",22,14,8,0.5714285714285714,0.7272727272727273,Tio Bruno,M,Luisa,F,False,47,3.0425531914893615,12,0.7446808510638298,0.425531914893617,0.2765957446808511,Encanto (2021)
raya_and_the_last_dragon_2021,Raya,F,9,12,0.3333333333333333,0.7309644670050761,0.9206374286532354,0.2555,2,3,9,14,0.3888888888888889,0.5256410256410257,0.15504725263999744,0.4745,2,4,12,14,11,1,3,{'cross': 3},{'cross': 1},"{'cross': 5, 'FF': 5, 'MM': 1}",23,12,11,0.9166666666666666,0.9565217391304348,Sisu,F,Namaari,F,False,64,2.390625,5,0.765625,0.375,0.171875,Raya (2021)
elemental_2023,Ember,F,9,12,0.3333333333333333,0.13025210084033614,-0.8921040199003377,0.689,3,4,8,15,0.5357142857142857,0.2815533980582524,-1.428864145065488,0.9185,3,3,12,15,9,3,6,"{'MM': 1, 'cross': 5}","{'MM': 1, 'cross': 2}","{'cross': 5, 'FF': 3, 'MM': 1}",20,12,8,0.6666666666666666,0.8,Wade,M,Wade,M,True,85,2.458823529411765,6,0.8117647058823529,0.43529411764705883,0.1411764705882353,Elemental (2023)
toy_story_1995,Woody,M,12,13,0.19696969696969696,0.9509803921568627,0.7780202102564887,0.0885,8,1,13,42,0.5384615384615384,0.8288288288288288,0.821562623902699,0.233,7,3,13,42,12,1,30,"{'MM': 17, 'cross': 12, 'FF': 1}",{'MM': 1},"{'cross': 3, 'MM': 9}",24,13,11,0.8461538461538461,0.9166666666666666,Andy,M,Andy,M,True,76,2.8026315789473686,10,0.7105263157894737,0.4473684210526316,0.25,Toy Story (1995)
monsters_inc_2001,Sulley,M,14,18,0.1978021978021978,0.7811634349030471,0.08006301010415666,0.67,5,3,13,34,0.4358974358974359,0.7083333333333334,-0.3935053631163058,0.6875,9,3,18,34,15,3,19,"{'cross': 5, 'MM': 12, 'FF': 2}",{'MM': 3},"{'cross': 6, 'MM': 9}",30,18,12,0.6666666666666666,0.8,Mike,M,Mike,M,True,28,4.535714285714286,10,1.0,0.9285714285714286,0.75,Monsters Inc (2001)
