film_title,lead_gender,div_n_only_cooc,phantom_same,phantom_share_same
Beauty & the Beast (1991),F,10,6,0.6
Mulan (1998),F,21,19,0.9047619047619048
Frozen (2013),F,1,0,0.0
Inside Out (2015),F,18,9,0.5
Zootopia (2016),F,3,1,0.3333333333333333
Encanto (2021),F,28,16,0.5714285714285714
Raya (2021),F,3,0,0.0
Elemental (2023),F,6,1,0.16666666666666666
Toy Story (1995),M,30,18,0.6
Monsters Inc (2001),M,19,14,0.7368421052631579
Finding Nemo (2003),M,42,23,0.5476190476190477
Up (2009),M,6,6,1.0
Toy Story 3 (2010),M,59,29,0.4915254237288136
Cars 2 (2011),M,27,18,0.6666666666666666
Coco (2017),M,19,10,0.5263157894736842
Incredibles 2 (2018),M,22,10,0.45454545454545453
Onward (2020),M,2,0,0.0
