film_title,lead_gender,recip_n_directed_edges,recip_n_unique_pairs,recip_n_reciprocal_pairs,recip_reciprocity_pair,recip_reciprocity_edge
Beauty & the Beast (1991),F,28,19,9,0.47368421052631576,0.6428571428571429
Mulan (1998),F,24,17,7,0.4117647058823529,0.5833333333333334
Frozen (2013),F,27,15,12,0.8,0.8888888888888888
Inside Out (2015),F,26,15,11,0.7333333333333333,0.8461538461538461
Zootopia (2016),F,49,30,19,0.6333333333333333,0.7755102040816326
Encanto (2021),F,22,14,8,0.5714285714285714,0.7272727272727273
Raya (2021),F,23,12,11,0.9166666666666666,0.9565217391304348
Elemental (2023),F,20,12,8,0.6666666666666666,0.8
Toy Story (1995),M,24,13,11,0.8461538461538461,0.9166666666666666
Monsters Inc (2001),M,30,18,12,0.6666666666666666,0.8
Finding Nemo (2003),M,51,35,16,0.45714285714285713,0.6274509803921569
Up (2009),M,20,12,8,0.6666666666666666,0.8
Toy Story 3 (2010),M,51,35,16,0.45714285714285713,0.6274509803921569
Cars 2 (2011),M,42,29,13,0.4482758620689655,0.6190476190476191
Coco (2017),M,37,24,13,0.5416666666666666,0.7027027027027027
Incredibles 2 (2018),M,44,25,19,0.76,0.8636363636363636
Onward (2020),M,41,22,19,0.8636363636363636,0.926829268292683
