film_id,film_title,year,lead_gender,kmeans_k2,kmeans_k3,kmeans_k4,density,reciprocity,avg_path_len,leading_eigenvalue,mean_clustering
beautyandthebeast_1991,Beauty & the Beast (1991),1991,F,1,1,2,0.2121,0.6429,2.0606,61.4934,0.321
mulan_1998,Mulan (1998),1998,F,1,1,2,0.1538,0.5833,2.141,34.2453,0.2756
frozen_2013,Frozen (2013),2013,F,0,0,3,0.2455,0.8889,2.1455,141.8034,0.3307
inside_out_2015,Inside Out (2015),2015,F,0,2,1,0.2364,0.8462,2.2,97.4212,0.6385
zootopia_2016,Zootopia (2016),2016,F,1,1,0,0.0888,0.7755,2.3659,198.9186,0.2649
encanto_2021,Encanto (2021),2021,F,0,2,1,0.1474,0.6957,1.8077,55.5108,0.465
raya_and_the_last_dragon_2021,Raya (2021),2021,F,0,0,3,0.3194,0.9565,1.8611,120.9406,0.3333
elemental_2023,Elemental (2023),2023,F,0,2,1,0.2333,0.7619,1.8,157.293,0.411
toy_story_1995,Toy Story (1995),1995,M,0,0,3,0.1818,0.9167,2.0758,103.6528,0.338
monsters_inc_2001,Monsters Inc (2001),2001,M,0,2,1,0.1648,0.8,1.7556,117.6795,0.4345
findingnemo,Finding Nemo (2003),2003,M,1,1,2,0.1104,0.6275,2.4935,122.0183,0.3679
up,Up (2009),2009,M,0,0,3,0.2778,0.8,2.0556,130.1543,0.2741
toy_story_3_2010,Toy Story 3 (2010),2010,M,1,1,2,0.1008,0.6275,2.4941,34.3716,0.3785
cars2,Cars 2 (2011),2011,M,1,1,2,0.1,0.619,2.2924,97.9241,0.3153
coco_2017,Coco (2017),2017,M,1,1,2,0.1082,0.7027,2.0819,109.4078,0.2732
incredibles_2_2018,Incredibles 2 (2018),2018,M,0,2,1,0.2418,0.8636,1.8571,101.8383,0.5302
onward_2020,Onward (2020),2020,M,0,0,3,0.2253,0.9268,2.0549,225.5518,0.3532
