film_id,character_id,canonical_name,raw_speaker_labels,gender,gender_rationale,is_protagonist,is_named,included_in_network,utterance_count,word_count_spoken_only,word_count_song_only,notes
beautyandthebeast_1991,beautyandthebeast_1991_belle,Belle,BELLE | BELLE (O.S.),F,,True,True,True,168,3950,174,
beautyandthebeast_1991,beautyandthebeast_1991_beast,Beast,BEAST | BEAST (O.S.),M,,False,True,True,69,1139,0,
beautyandthebeast_1991,beautyandthebeast_1991_gaston,Gaston,GASTON | GASTON (O.S.),M,,False,True,True,61,1121,85,
beautyandthebeast_1991,beautyandthebeast_1991_maurice,Maurice,MAURICE | MAURICE (O.S.),M,,False,True,True,61,1656,0,
beautyandthebeast_1991,beautyandthebeast_1991_mantleclock,Mantleclock,MANTLECLOCK | MANTLECLOCK (O.S.),M,,False,True,True,55,1291,31,
beautyandthebeast_1991,beautyandthebeast_1991_candelabra,Candelabra,CANDELABRA | CANDELABRA (.O.S.) | CANDELABRA (O.S.),M,,False,True,True,50,811,66,
beautyandthebeast_1991,beautyandthebeast_1991_teapot,Teapot,TEAPOT | TEAPOT (O.S.),F,,False,True,True,38,635,56,
beautyandthebeast_1991,beautyandthebeast_1991_lefou,Lefou,LEFOU | LEFOU (O.S.),M,,False,True,True,28,489,28,
beautyandthebeast_1991,beautyandthebeast_1991_wardrobe,Wardrobe,WARDROBE | WARDROBE (O.S.),F,,False,True,True,23,450,0,corrected gender M→F (Madame de la Grande Bouche)
beautyandthebeast_1991,beautyandthebeast_1991_monsieur_d_arque,Monsieur D'Arque,MONSIEUR D'ARQUE,M,,False,False,True,6,110,0,
beautyandthebeast_1991,beautyandthebeast_1991_music_box,Music Box,MUSIC BOX,M,,False,False,True,6,154,0,
beautyandthebeast_1991,beautyandthebeast_1991_chip,Chip,CHIP,M,,False,True,True,5,22,0,
beautyandthebeast_1991,beautyandthebeast_1991_objects,Objects,OBJECTS | OBJECTS (CONT. O.S.) | OBJECTS (CONT.),Both,,False,False,True,5,55,38,
beautyandthebeast_1991,beautyandthebeast_1991_tavern_keeper,Tavern Keeper,TAVERN KEEPER,M,,False,False,True,5,34,0,
beautyandthebeast_1991,beautyandthebeast_1991_cronie,Cronie,CRONIE,M,,False,False,False,4,50,0,
beautyandthebeast_1991,beautyandthebeast_1991_featherduster,Featherduster,FEATHERDUSTER,F,,False,False,False,4,49,0,
beautyandthebeast_1991,beautyandthebeast_1991_baker,Baker,BAKER,M,,False,False,False,3,31,0,
beautyandthebeast_1991,beautyandthebeast_1991_bookseller,Bookseller,BOOKSELLER,M,,False,False,False,3,18,0,
beautyandthebeast_1991,beautyandthebeast_1991_brush,Brush,BRUSH,F,,False,False,False,2,8,0,
beautyandthebeast_1991,beautyandthebeast_1991_comb,Comb,COMB,M,,False,False,False,2,6,0,
beautyandthebeast_1991,beautyandthebeast_1991_patron,Patron,PATRON,M,,False,False,False,2,26,0,
beautyandthebeast_1991,beautyandthebeast_1991_pedestrian,Pedestrian,PEDESTRIAN,Unknown,,False,False,False,2,29,0,
beautyandthebeast_1991,beautyandthebeast_1991_stove,Stove,STOVE,M,,False,False,False,2,44,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_butcher,A Butcher,A BUTCHER,M,,False,False,False,1,1,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_merchant,A Merchant,A MERCHANT,M,,False,False,False,1,16,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_milkmaid,A Milkmaid,A MILKMAID,F,,False,False,False,1,1,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_mother,A Mother,A MOTHER,F,,False,False,False,1,1,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_prisoner,A Prisoner,A PRISONER,M,,False,False,False,1,1,0,
beautyandthebeast_1991,beautyandthebeast_1991_a_wife,A Wife,A WIFE,F,,False,False,False,1,10,0,
beautyandthebeast_1991,beautyandthebeast_1991_baker_and_fishmonger,Baker And Fishmonger,BAKER AND FISHMONGER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_baker_s_customer,Baker'S Customer,BAKER'S CUSTOMER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_belle_the_duke,Belle/ The Duke,BELLE/ THE DUKE,Both,,False,False,False,1,23,0,
beautyandthebeast_1991,beautyandthebeast_1991_blacksmith,Blacksmith,BLACKSMITH,M,,False,False,False,1,1,0,
beautyandthebeast_1991,beautyandthebeast_1991_both_customers,Both Customers,BOTH CUSTOMERS,Both,,False,False,False,1,14,0,
beautyandthebeast_1991,beautyandthebeast_1991_cheese_buyer,Cheese Buyer,CHEESE BUYER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_duke,Duke,DUKE,M,,False,False,False,1,23,0,
beautyandthebeast_1991,beautyandthebeast_1991_elderly_woman,Elderly Woman,ELDERLY WOMAN,F,,False,False,False,1,18,0,
beautyandthebeast_1991,beautyandthebeast_1991_fabric_buyer,Fabric Buyer,FABRIC BUYER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_fishmonger_s_customer,Fishmonger'S Customer,FISHMONGER'S CUSTOMER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_footstool,Footstool,FOOTSTOOL,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_fruit_shopper,Fruit Shopper,FRUIT SHOPPER,M,,False,False,False,1,10,0,
beautyandthebeast_1991,beautyandthebeast_1991_handsome_brute,Handsome Brute.,HANDSOME BRUTE.,M,,False,False,False,1,100,0,
beautyandthebeast_1991,beautyandthebeast_1991_lady,Lady,LADY,F,,False,False,False,1,4,0,
beautyandthebeast_1991,beautyandthebeast_1991_lady_s_friend,Lady'S Friend,LADY'S FRIEND,M,,False,False,False,1,4,0,
beautyandthebeast_1991,beautyandthebeast_1991_large_man,Large Man,LARGE MAN,M,,False,False,False,1,16,0,
beautyandthebeast_1991,beautyandthebeast_1991_maitre_d,Maitre 'D,MAITRE 'D,M,,False,False,False,1,36,0,
beautyandthebeast_1991,beautyandthebeast_1991_man_in_a_cart,Man In A Cart,MAN IN A CART,M,,False,False,False,1,7,0,
beautyandthebeast_1991,beautyandthebeast_1991_matronly_woman,Matronly Woman,MATRONLY WOMAN,F,,False,False,False,1,4,0,
beautyandthebeast_1991,beautyandthebeast_1991_neighbor,Neighbor,NEIGHBOR,M,,False,False,False,1,3,0,
beautyandthebeast_1991,beautyandthebeast_1991_neighbor_s_wife,Neighbor'S Wife,NEIGHBOR'S WIFE,F,,False,False,False,1,4,0,
beautyandthebeast_1991,beautyandthebeast_1991_shopkeeper,Shopkeeper,SHOPKEEPER,M,,False,False,False,1,2,0,
beautyandthebeast_1991,beautyandthebeast_1991_silly_girls,Silly Girls,SILLY GIRLS,F,,False,False,False,1,0,27,
beautyandthebeast_1991,beautyandthebeast_1991_tavern_owner,Tavern Owner,TAVERN OWNER,M,,False,False,False,1,5,0,
beautyandthebeast_1991,beautyandthebeast_1991_townsfolk,Townsfolk,TOWNSFOLK,Both,,False,False,False,1,15,0,
beautyandthebeast_1991,beautyandthebeast_1991_townsfolk_merchants,Townsfolk & Merchants,TOWNSFOLK & MERCHANTS,Both,,False,False,False,1,21,0,
