film_id,character,gender,betw_obs,null_mean,null_std,z_score,percentile,p_high
beautyandthebeast_1991,beautyandthebeast_1991_belle,F,0.5909,0.4355,0.1039,1.497,93.7,0.0635
beautyandthebeast_1991,beautyandthebeast_1991_beast,M,0.4545,0.3061,0.1102,1.348,90.0,0.1004
beautyandthebeast_1991,beautyandthebeast_1991_mantleclock,M,0.2545,0.2413,0.1056,0.125,56.0,0.4403
beautyandthebeast_1991,beautyandthebeast_1991_gaston,M,0.1636,0.1227,0.1017,0.402,68.6,0.3143
beautyandthebeast_1991,beautyandthebeast_1991_teapot,F,0.1636,0.1274,0.1022,0.355,67.3,0.3273
beautyandthebeast_1991,beautyandthebeast_1991_maurice,M,0.0818,0.1711,0.1062,-0.841,19.3,0.8071
beautyandthebeast_1991,beautyandthebeast_1991_lefou,M,0.0,0.025,0.0514,-0.487,0.0,1.0
beautyandthebeast_1991,beautyandthebeast_1991_wardrobe,F,0.0,0.0252,0.049,-0.514,0.0,1.0
beautyandthebeast_1991,beautyandthebeast_1991_candelabra,M,0.0,0.0752,0.0831,-0.905,0.0,1.0
beautyandthebeast_1991,beautyandthebeast_1991_chip,M,0.0,0.0253,0.048,-0.526,0.0,1.0
beautyandthebeast_1991,beautyandthebeast_1991_tavern_keeper,M,0.0,0.0,0.0,,0.0,1.0
beautyandthebeast_1991,beautyandthebeast_1991_monsieur_d_arque,M,0.0,0.0,0.0,,0.0,1.0
