film_id,parser_character_id,review_character_id,parser_canonical_name,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,gender,gender_rationale,is_named,is_protagonist,included_in_network,merge_into_character_id,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,review_notes
beautyandthebeast_1991,beautyandthebeast_1991_belle,beautyandthebeast_1991_belle,Belle,Belle,BELLE | BELLE (O.S.),2,F,,1,1,1,,168,164,4,4124,3950,174,beautyandthebeast_1991_s002,2,
beautyandthebeast_1991,beautyandthebeast_1991_beast,beautyandthebeast_1991_beast,Beast,Beast,BEAST | BEAST (O.S.),2,M,,1,0,1,,69,69,0,1139,1139,0,beautyandthebeast_1991_s016,166,
beautyandthebeast_1991,beautyandthebeast_1991_gaston,beautyandthebeast_1991_gaston,Gaston,Gaston,GASTON | GASTON (O.S.),2,M,,1,0,1,,61,54,7,1206,1121,85,beautyandthebeast_1991_s005,44,
beautyandthebeast_1991,beautyandthebeast_1991_maurice,beautyandthebeast_1991_maurice,Maurice,Maurice,MAURICE | MAURICE (O.S.),2,M,,1,0,1,,61,61,0,1656,1656,0,beautyandthebeast_1991_s007,89,
beautyandthebeast_1991,beautyandthebeast_1991_mantleclock,beautyandthebeast_1991_mantleclock,Mantleclock,Mantleclock,MANTLECLOCK | MANTLECLOCK (O.S.),2,M,,1,0,1,,55,54,1,1322,1291,31,beautyandthebeast_1991_s013,110,
beautyandthebeast_1991,beautyandthebeast_1991_candelabra,beautyandthebeast_1991_candelabra,Candelabra,Candelabra,CANDELABRA | CANDELABRA (.O.S.) | CANDELABRA (O.S.),3,M,,1,0,1,,50,47,3,877,811,66,beautyandthebeast_1991_s013,111,
beautyandthebeast_1991,beautyandthebeast_1991_teapot,beautyandthebeast_1991_teapot,Teapot,Teapot,TEAPOT | TEAPOT (O.S.),2,F,,1,0,1,,38,36,2,691,635,56,beautyandthebeast_1991_s013,114,
beautyandthebeast_1991,beautyandthebeast_1991_lefou,beautyandthebeast_1991_lefou,Lefou,Lefou,LEFOU | LEFOU (O.S.),2,M,,1,0,1,,28,26,2,517,489,28,beautyandthebeast_1991_s005,43,
beautyandthebeast_1991,beautyandthebeast_1991_wardrobe,beautyandthebeast_1991_wardrobe,Wardrobe,Wardrobe,WARDROBE | WARDROBE (O.S.),2,F,,1,0,1,,23,23,0,450,450,0,beautyandthebeast_1991_s032,256,corrected gender M→F (Madame de la Grande Bouche)
beautyandthebeast_1991,beautyandthebeast_1991_monsieur_d_arque,beautyandthebeast_1991_monsieur_d_arque,Monsieur D'Arque,Monsieur D'Arque,MONSIEUR D'ARQUE,1,M,,0,0,1,,6,6,0,110,110,0,beautyandthebeast_1991_s072,535,
beautyandthebeast_1991,beautyandthebeast_1991_music_box,beautyandthebeast_1991_music_box,Music Box,Music Box,MUSIC BOX,1,M,,0,0,1,,6,6,0,154,154,0,beautyandthebeast_1991_s015,137,
beautyandthebeast_1991,beautyandthebeast_1991_chip,beautyandthebeast_1991_chip,Chip,Chip,CHIP,1,M,,1,0,1,,5,5,0,22,22,0,beautyandthebeast_1991_s027,208,
beautyandthebeast_1991,beautyandthebeast_1991_objects,beautyandthebeast_1991_objects,Objects,Objects,OBJECTS | OBJECTS (CONT. O.S.) | OBJECTS (CONT.),3,Both,,0,0,1,,5,1,4,93,55,38,beautyandthebeast_1991_s050,477,
beautyandthebeast_1991,beautyandthebeast_1991_tavern_keeper,beautyandthebeast_1991_tavern_keeper,Tavern Keeper,Tavern Keeper,TAVERN KEEPER,1,M,,0,0,1,,5,5,0,34,34,0,beautyandthebeast_1991_s037,351,
beautyandthebeast_1991,beautyandthebeast_1991_cronie,beautyandthebeast_1991_cronie,Cronie,Cronie,CRONIE,1,M,,0,0,0,,4,4,0,50,50,0,beautyandthebeast_1991_s037,359,
beautyandthebeast_1991,beautyandthebeast_1991_featherduster,beautyandthebeast_1991_featherduster,Featherduster,Featherduster,FEATHERDUSTER,1,F,,0,0,0,,4,4,0,49,49,0,beautyandthebeast_1991_s027,216,
beautyandthebeast_1991,beautyandthebeast_1991_baker,beautyandthebeast_1991_baker,Baker,Baker,BAKER,1,M,,0,0,0,,3,3,0,31,31,0,beautyandthebeast_1991_s002,10,
beautyandthebeast_1991,beautyandthebeast_1991_bookseller,beautyandthebeast_1991_bookseller,Bookseller,Bookseller,BOOKSELLER,1,M,,0,0,0,,3,3,0,18,18,0,beautyandthebeast_1991_s004,28,
beautyandthebeast_1991,beautyandthebeast_1991_brush,beautyandthebeast_1991_brush,Brush,Brush,BRUSH,1,F,,0,0,0,,2,2,0,8,8,0,beautyandthebeast_1991_s032,271,
beautyandthebeast_1991,beautyandthebeast_1991_comb,beautyandthebeast_1991_comb,Comb,Comb,COMB,1,M,,0,0,0,,2,2,0,6,6,0,beautyandthebeast_1991_s032,272,
beautyandthebeast_1991,beautyandthebeast_1991_patron,beautyandthebeast_1991_patron,Patron,Patron,PATRON,1,M,,0,0,0,,2,2,0,26,26,0,beautyandthebeast_1991_s037,353,
beautyandthebeast_1991,beautyandthebeast_1991_pedestrian,beautyandthebeast_1991_pedestrian,Pedestrian,Pedestrian,PEDESTRIAN,1,Unknown,,0,0,0,,2,2,0,29,29,0,beautyandthebeast_1991_s038,382,
beautyandthebeast_1991,beautyandthebeast_1991_stove,beautyandthebeast_1991_stove,Stove,Stove,STOVE,1,M,,0,0,0,,2,2,0,44,44,0,beautyandthebeast_1991_s041,404,
beautyandthebeast_1991,beautyandthebeast_1991_a_butcher,beautyandthebeast_1991_a_butcher,A Butcher,A Butcher,A BUTCHER,1,M,,0,0,0,,1,1,0,1,1,0,beautyandthebeast_1991_s002,5,
beautyandthebeast_1991,beautyandthebeast_1991_a_merchant,beautyandthebeast_1991_a_merchant,A Merchant,A Merchant,A MERCHANT,1,M,,0,0,0,,1,1,0,16,16,0,beautyandthebeast_1991_s002,8,
beautyandthebeast_1991,beautyandthebeast_1991_a_milkmaid,beautyandthebeast_1991_a_milkmaid,A Milkmaid,A Milkmaid,A MILKMAID,1,F,,0,0,0,,1,1,0,1,1,0,beautyandthebeast_1991_s002,6,
beautyandthebeast_1991,beautyandthebeast_1991_a_mother,beautyandthebeast_1991_a_mother,A Mother,A Mother,A MOTHER,1,F,,0,0,0,,1,1,0,1,1,0,beautyandthebeast_1991_s002,4,
beautyandthebeast_1991,beautyandthebeast_1991_a_prisoner,beautyandthebeast_1991_a_prisoner,A Prisoner,A Prisoner,A PRISONER,1,M,,0,0,0,,1,1,0,1,1,0,beautyandthebeast_1991_s002,7,
beautyandthebeast_1991,beautyandthebeast_1991_a_wife,beautyandthebeast_1991_a_wife,A Wife,A Wife,A WIFE,1,F,,0,0,0,,1,1,0,10,10,0,beautyandthebeast_1991_s092,655,
beautyandthebeast_1991,beautyandthebeast_1991_baker_and_fishmonger,beautyandthebeast_1991_baker_and_fishmonger,Baker And Fishmonger,Baker And Fishmonger,BAKER AND FISHMONGER,1,M,,0,0,0,,1,1,0,2,2,0,beautyandthebeast_1991_s005,68,
beautyandthebeast_1991,beautyandthebeast_1991_baker_s_customer,beautyandthebeast_1991_baker_s_customer,Baker'S Customer,Baker'S Customer,BAKER'S CUSTOMER,1,M,,0,0,0,,1,1,0,2,2,0,beautyandthebeast_1991_s005,66,
beautyandthebeast_1991,beautyandthebeast_1991_belle_the_duke,beautyandthebeast_1991_belle_the_duke,Belle/ The Duke,Belle/ The Duke,BELLE/ THE DUKE,1,Both,,0,0,0,,1,1,0,23,23,0,beautyandthebeast_1991_s121,763,
beautyandthebeast_1991,beautyandthebeast_1991_blacksmith,beautyandthebeast_1991_blacksmith,Blacksmith,Blacksmith,BLACKSMITH,1,M,,0,0,0,,1,1,0,1,1,0,beautyandthebeast_1991_s005,58,
beautyandthebeast_1991,beautyandthebeast_1991_both_customers,beautyandthebeast_1991_both_customers,Both Customers,Both Customers,BOTH CUSTOMERS,1,Both,,0,0,0,,1,1,0,14,14,0,beautyandthebeast_1991_s005,69,
beautyandthebeast_1991,beautyandthebeast_1991_cheese_buyer,beautyandthebeast_1991_cheese_buyer,Cheese Buyer,Cheese Buyer,CHEESE BUYER,1,M,,0,0,0,,1,1,0,2,2,0,beautyandthebeast_1991_s005,63,
beautyandthebeast_1991,beautyandthebeast_1991_duke,beautyandthebeast_1991_duke,Duke,Duke,DUKE,1,M,,0,0,0,,1,1,0,23,23,0,beautyandthebeast_1991_s121,767,
beautyandthebeast_1991,beautyandthebeast_1991_elderly_woman,beautyandthebeast_1991_elderly_woman,Elderly Woman,Elderly Woman,ELDERLY WOMAN,1,F,,0,0,0,,1,1,0,18,18,0,beautyandthebeast_1991_s002,18,
beautyandthebeast_1991,beautyandthebeast_1991_fabric_buyer,beautyandthebeast_1991_fabric_buyer,Fabric Buyer,Fabric Buyer,FABRIC BUYER,1,M,,0,0,0,,1,1,0,2,2,0,beautyandthebeast_1991_s005,62,
beautyandthebeast_1991,beautyandthebeast_1991_fishmonger_s_customer,beautyandthebeast_1991_fishmonger_s_customer,Fishmonger'S Customer,Fishmonger'S Customer,FISHMONGER'S CUSTOMER,1,M,,0,0,0,,1,1,0,2,2,0,beautyandthebeast_1991_s005,67,
beautyandthebeast_1991,beautyandthebeast_1991_footstool,beautyandthebeast_1991_footstool,Footstool,Footstool,FOOTSTOOL,1,M,,0,0,0,,1,1,0,2,2,0,beautyandthebeast_1991_s028,221,
beautyandthebeast_1991,beautyandthebeast_1991_fruit_shopper,beautyandthebeast_1991_fruit_shopper,Fruit Shopper,Fruit Shopper,FRUIT SHOPPER,1,M,,0,0,0,,1,1,0,10,10,0,beautyandthebeast_1991_s005,61,
beautyandthebeast_1991,beautyandthebeast_1991_handsome_brute,beautyandthebeast_1991_handsome_brute,Handsome Brute.,Handsome Brute.,HANDSOME BRUTE.,1,M,,0,0,0,,1,1,0,100,100,0,beautyandthebeast_1991_s005,57,
beautyandthebeast_1991,beautyandthebeast_1991_lady,beautyandthebeast_1991_lady,Lady,Lady,LADY,1,F,,0,0,0,,1,1,0,4,4,0,beautyandthebeast_1991_s092,652,
beautyandthebeast_1991,beautyandthebeast_1991_lady_s_friend,beautyandthebeast_1991_lady_s_friend,Lady'S Friend,Lady'S Friend,LADY'S FRIEND,1,M,,0,0,0,,1,1,0,4,4,0,beautyandthebeast_1991_s092,653,
beautyandthebeast_1991,beautyandthebeast_1991_large_man,beautyandthebeast_1991_large_man,Large Man,Large Man,LARGE MAN,1,M,,0,0,0,,1,1,0,16,16,0,beautyandthebeast_1991_s002,20,
