speaker_clean,addressee_clean,utterance_count
beautyandthebeast_1991_belle,beautyandthebeast_1991_beast,48
beautyandthebeast_1991_beast,beautyandthebeast_1991_belle,47
beautyandthebeast_1991_maurice,beautyandthebeast_1991_belle,27
beautyandthebeast_1991_belle,beautyandthebeast_1991_maurice,24
beautyandthebeast_1991_lefou,beautyandthebeast_1991_gaston,21
beautyandthebeast_1991_belle,beautyandthebeast_1991_gaston,21
beautyandthebeast_1991_wardrobe,beautyandthebeast_1991_belle,19
beautyandthebeast_1991_belle,beautyandthebeast_1991_wardrobe,16
beautyandthebeast_1991_gaston,beautyandthebeast_1991_belle,16
beautyandthebeast_1991_mantleclock,beautyandthebeast_1991_candelabra,13
beautyandthebeast_1991_gaston,beautyandthebeast_1991_lefou,11
beautyandthebeast_1991_candelabra,beautyandthebeast_1991_mantleclock,11
beautyandthebeast_1991_candelabra,beautyandthebeast_1991_maurice,7
beautyandthebeast_1991_candelabra,beautyandthebeast_1991_beast,7
beautyandthebeast_1991_mantleclock,beautyandthebeast_1991_beast,6
beautyandthebeast_1991_teapot,beautyandthebeast_1991_beast,6
beautyandthebeast_1991_mantleclock,beautyandthebeast_1991_belle,5
beautyandthebeast_1991_mantleclock,beautyandthebeast_1991_maurice,5
beautyandthebeast_1991_chip,beautyandthebeast_1991_teapot,5
beautyandthebeast_1991_mantleclock,beautyandthebeast_1991_teapot,4
beautyandthebeast_1991_gaston,beautyandthebeast_1991_beast,3
beautyandthebeast_1991_beast,beautyandthebeast_1991_maurice,3
beautyandthebeast_1991_beast,beautyandthebeast_1991_mantleclock,3
beautyandthebeast_1991_maurice,beautyandthebeast_1991_beast,3
beautyandthebeast_1991_tavern_keeper,beautyandthebeast_1991_maurice,3
beautyandthebeast_1991_monsieur_d_arque,beautyandthebeast_1991_belle,3
beautyandthebeast_1991_teapot,beautyandthebeast_1991_belle,3
beautyandthebeast_1991_teapot,beautyandthebeast_1991_chip,3
