character,name,betweenness,degree_centrality,in_degree,out_degree,clustering
beautyandthebeast_1991_belle,Belle,0.5909,1.0,7,4,0.0629
beautyandthebeast_1991_beast,Beast,0.4545,0.8182,6,3,0.1023
beautyandthebeast_1991_mantleclock,Mantleclock,0.2545,0.6364,2,5,0.1035
beautyandthebeast_1991_gaston,Gaston,0.1636,0.4545,2,3,0.093
beautyandthebeast_1991_teapot,Teapot,0.1636,0.4545,2,3,0.066
beautyandthebeast_1991_maurice,Maurice,0.0818,0.6364,5,2,0.0881
beautyandthebeast_1991_chip,Chip,0.0,0.1818,1,1,0.0
beautyandthebeast_1991_candelabra,Candelabra,0.0,0.3636,1,3,0.1439
beautyandthebeast_1991_lefou,Lefou,0.0,0.1818,1,1,0.0
beautyandthebeast_1991_monsieur_d_arque,Monsieur D'Arque,0.0,0.0909,0,1,0.0
beautyandthebeast_1991_tavern_keeper,Tavern Keeper,0.0,0.0909,0,1,0.0
beautyandthebeast_1991_wardrobe,Wardrobe,0.0,0.1818,1,1,0.0
