film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
beautyandthebeast_1991,beautyandthebeast_1991_s001,1,EXT. THE VILLAGE - A BRISK MORNING IN LATE FALL,slug_line,68,73,0.0,1,1,0
beautyandthebeast_1991,beautyandthebeast_1991_s002,2,EXT. BELLE'S COTTAGE,slug_line,74,150,0.0083,20,18,2
beautyandthebeast_1991,beautyandthebeast_1991_s003,3,EXT. THE BOOKSHOP,slug_line,151,152,0.0167,0,0,0
beautyandthebeast_1991,beautyandthebeast_1991_s004,4,INT. BOOKSHOP,slug_line,153,189,0.025,12,12,0
beautyandthebeast_1991,beautyandthebeast_1991_s005,5,EXT. VILLAGE,slug_line,190,371,0.0333,41,40,1
beautyandthebeast_1991,beautyandthebeast_1991_s006,6,EXT. CHINA STORE,slug_line,372,429,0.0417,14,14,0
beautyandthebeast_1991,beautyandthebeast_1991_s007,7,EXT. BELLE'S COTTAGE,slug_line,430,461,0.05,8,8,0
beautyandthebeast_1991,beautyandthebeast_1991_s008,8,INT. MAURICE'S WORKSHOP,slug_line,462,482,0.0583,3,3,0
beautyandthebeast_1991,beautyandthebeast_1991_s009,9,EXT. MAURICE'S WORKSHOP,slug_line,483,488,0.0667,1,1,0
beautyandthebeast_1991,beautyandthebeast_1991_s010,10,EXT. BELLE'S COTTAGE,slug_line,489,511,0.075,6,6,0
beautyandthebeast_1991,beautyandthebeast_1991_s011,11,EXT. COUNTRY ROAD,slug_line,512,589,0.0833,2,2,0
beautyandthebeast_1991,beautyandthebeast_1991_s012,12,EXT. BEAST'S CASTLE,slug_line,590,596,0.0917,0,0,0
beautyandthebeast_1991,beautyandthebeast_1991_s013,13,EXT. CASTLE,slug_line,597,616,0.1,6,6,0
beautyandthebeast_1991,beautyandthebeast_1991_s014,14,EXT. CASTLE - MAURICE,slug_line,617,619,0.1083,0,0,0
beautyandthebeast_1991,beautyandthebeast_1991_s015,15,INT. THE BEAST'S CASTLE,slug_line,620,725,0.1167,25,25,0
beautyandthebeast_1991,beautyandthebeast_1991_s016,16,INT. THE FOYER,slug_line,726,907,0.125,37,27,10
beautyandthebeast_1991,beautyandthebeast_1991_s017,17,INT. BELLE'S HOUSE - CLOSE ON CAKE,slug_line,908,919,0.1333,1,1,0
