film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name,confidence
beautyandthebeast_1991,2,beautyandthebeast_1991_s002,beautyandthebeast_1991_s002_u0002,0.0083,BELLE,BELLE,beautyandthebeast_1991_belle,Belle,"LITTLE TOWN, IT'S A QUIET VILLAGE",6,song,monologue,monologue,82,(singing),standalone,F,,1,1,1,Belle,high
beautyandthebeast_1991,4,beautyandthebeast_1991_s002,beautyandthebeast_1991_s002_u0004,0.0083,A MOTHER,A MOTHER,beautyandthebeast_1991_a_mother,A Mother,Bonjour..,1,spoken,group,group,94,,standalone,F,,0,0,0,A Mother,medium
beautyandthebeast_1991,5,beautyandthebeast_1991_s002,beautyandthebeast_1991_s002_u0005,0.0083,A BUTCHER,A BUTCHER,beautyandthebeast_1991_a_butcher,A Butcher,Bonjour...,1,spoken,group,group,96,,standalone,M,,0,0,0,A Butcher,medium
beautyandthebeast_1991,6,beautyandthebeast_1991_s002,beautyandthebeast_1991_s002_u0006,0.0083,A MILKMAID,A MILKMAID,beautyandthebeast_1991_a_milkmaid,A Milkmaid,Bonjour...,1,spoken,group,group,98,,standalone,F,,0,0,0,A Milkmaid,medium
beautyandthebeast_1991,7,beautyandthebeast_1991_s002,beautyandthebeast_1991_s002_u0007,0.0083,A PRISONER,A PRISONER,beautyandthebeast_1991_a_prisoner,A Prisoner,Bonjour...,1,spoken,group,group,100,,standalone,M,,0,0,0,A Prisoner,medium
beautyandthebeast_1991,8,beautyandthebeast_1991_s002,beautyandthebeast_1991_s002_u0008,0.0083,A MERCHANT,A MERCHANT,beautyandthebeast_1991_a_merchant,A Merchant,Bonjour... A baker unloads a tray of rolls from his wagon to sell in the marketplace.,16,spoken,group,group,102,,standalone,M,,0,0,0,A Merchant,medium
beautyandthebeast_1991,9,beautyandthebeast_1991_s002,beautyandthebeast_1991_s002_u0009,0.0083,BELLE,BELLE,beautyandthebeast_1991_belle,Belle,"THERE GOES THE BAKER WITH HIS TRAY,",7,spoken,monologue,monologue,106,,standalone,F,,1,1,1,Belle,high
beautyandthebeast_1991,10,beautyandthebeast_1991_s002,beautyandthebeast_1991_s002_u0010,0.0083,BAKER,BAKER,beautyandthebeast_1991_baker,Baker,"Good morning, Belle.",3,spoken,beautyandthebeast_1991_belle,individual,113,,standalone,M,,0,0,0,Baker,high
beautyandthebeast_1991,11,beautyandthebeast_1991_s002,beautyandthebeast_1991_s002_u0011,0.0083,BELLE,BELLE,beautyandthebeast_1991_belle,Belle,"Morning, Monsieur.",2,spoken,unclear,unclear,115,,standalone,F,,1,1,1,Belle,medium
beautyandthebeast_1991,12,beautyandthebeast_1991_s002,beautyandthebeast_1991_s002_u0012,0.0083,BAKER,BAKER,beautyandthebeast_1991_baker,Baker,Where you off to?,4,spoken,beautyandthebeast_1991_belle,individual,117,,standalone,M,,0,0,0,Baker,high
