film_id,parser_character_id,review_character_id,parser_canonical_name,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,gender,gender_rationale,is_named,is_protagonist,included_in_network,merge_into_character_id,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,review_notes
cars2,cars2_mater,cars2_mater,Mater,Mater,MATER | MATER (CONT'D),2,M,,True,True,True,,277,276,1,2846,2823,23,cars2_s003,28,
cars2,cars2_mcqueen,cars2_mcqueen,Mcqueen,Mcqueen,MCQUEEN,1,M,,True,False,True,,147,147,0,1324,1324,0,cars2_s004,48,
cars2,cars2_finn,cars2_finn,Finn,Finn,FINN,1,M,,True,False,True,,120,120,0,926,926,0,cars2_s001,2,
cars2,cars2_holley,cars2_holley,Holley,Holley,HOLLEY,1,F,,True,False,True,,112,112,0,840,840,0,cars2_s015,175,
cars2,cars2_francesco,cars2_francesco,Francesco,Francesco,FRANCESCO | FRANCESCO (CONT'D),2,M,,True,False,True,,32,31,1,352,344,8,cars2_s014,145,
cars2,cars2_professor_zundapp,cars2_professor_zundapp,Professor Zundapp,Professor Zundapp,PROFESSOR ZUNDAPP,1,M,,True,False,True,,30,30,0,301,301,0,cars2_s002,11,
cars2,cars2_grem,cars2_grem,Grem,Grem,GREM,1,M,,True,False,True,,27,27,0,168,168,0,cars2_s002,20,
cars2,cars2_acer,cars2_acer,Acer,Acer,ACER,1,M,,True,False,True,,24,24,0,165,165,0,cars2_s002,21,
cars2,cars2_miles_axlerod,cars2_miles_axlerod,Miles Axlerod,Miles Axlerod,MILES AXLEROD,1,M,,True,False,True,,22,22,0,244,244,0,cars2_s015,174,
cars2,cars2_mater_s_computer,cars2_mater_s_computer,Mater'S Computer,Mater'S Computer,MATER'S COMPUTER,1,Unknown,,False,False,False,,15,15,0,38,38,0,cars2_s042,551,
cars2,cars2_luigi,cars2_luigi,Luigi,Luigi,LUIGI,1,M,,True,False,True,,14,14,0,131,131,0,cars2_s004,42,
cars2,cars2_sally,cars2_sally,Sally,Sally,SALLY,1,F,,True,False,True,,14,14,0,123,123,0,cars2_s012,89,
cars2,cars2_uncle_topolino,cars2_uncle_topolino,Uncle Topolino,Uncle Topolino,UNCLE TOPOLINO,1,M,,True,False,True,,13,13,0,162,162,0,cars2_s040,524,
cars2,cars2_engine_voice,cars2_engine_voice,Engine Voice,Engine Voice,ENGINE VOICE,1,Unknown,,False,False,False,,12,12,0,142,142,0,cars2_s053,638,
cars2,cars2_tomber,cars2_tomber,Tomber,Tomber,TOMBER,1,M,,True,False,True,,12,12,0,126,126,0,cars2_s035,467,
cars2,cars2_otis,cars2_otis,Otis,Otis,OTIS,1,M,,True,False,True,,10,10,0,91,91,0,cars2_s003,30,
cars2,cars2_rod_redline,cars2_rod_redline,Rod Redline,Rod Redline,ROD REDLINE,1,M,,True,False,True,,9,9,0,90,90,0,cars2_s016,224,
cars2,cars2_vladimir_trunkov,cars2_vladimir_trunkov,Vladimir Trunkov,Vladimir Trunkov,VLADIMIR TRUNKOV,1,M,,True,False,True,,9,9,0,60,60,0,cars2_s051,626,
cars2,cars2_sarge,cars2_sarge,Sarge,Sarge,SARGE,1,M,,True,False,True,,8,8,0,129,129,0,cars2_s004,45,
cars2,cars2_fillmore,cars2_fillmore,Fillmore,Fillmore,FILLMORE,1,M,,True,False,True,,7,7,0,65,65,0,cars2_s004,44,
cars2,cars2_flo,cars2_flo,Flo,Flo,FLO,1,F,,True,False,True,,7,7,0,63,63,0,cars2_s004,43,
cars2,cars2_alexander_hugo,cars2_alexander_hugo,Alexander Hugo,Alexander Hugo,ALEXANDER HUGO,1,M,,True,False,True,,6,6,0,58,58,0,cars2_s046,599,
cars2,cars2_brent_mustangburger,cars2_brent_mustangburger,Brent Mustangburger,Brent Mustangburger,BRENT MUSTANGBURGER,1,M,,True,False,True,,6,6,0,108,108,0,cars2_s025,299,
cars2,cars2_crabby,cars2_crabby,Crabby,Crabby,CRABBY,1,M,,True,False,True,,6,6,0,80,80,0,cars2_s001,1,
cars2,cars2_tubbs_pacer,cars2_tubbs_pacer,Tubbs Pacer,Tubbs Pacer,TUBBS PACER,1,M,,True,False,True,,6,6,0,32,32,0,cars2_s051,627,
cars2,cars2_press_liaison,cars2_press_liaison,Press Liaison,Press Liaison,PRESS LIAISON,1,Unknown,,False,False,False,,5,5,0,33,33,0,cars2_s072,699,
cars2,cars2_victor_hugo,cars2_victor_hugo,Victor Hugo,Victor Hugo,VICTOR HUGO,1,M,,True,False,True,,5,5,0,27,27,0,cars2_s047,614,
cars2,cars2_combat_ship,cars2_combat_ship,Combat Ship,Combat Ship,COMBAT SHIP,1,Unknown,,False,False,False,,4,4,0,21,21,0,cars2_s001,6,
cars2,cars2_darrell_cartrip,cars2_darrell_cartrip,Darrell Cartrip,Darrell Cartrip,DARRELL CARTRIP,1,M,,True,False,False,,4,4,0,64,64,0,cars2_s027,355,
cars2,cars2_lewis_hamilton,cars2_lewis_hamilton,Lewis Hamilton,Lewis Hamilton,LEWIS HAMILTON,1,M,,True,False,False,,4,4,0,29,29,0,cars2_s014,131,
cars2,cars2_queen,cars2_queen,Queen,Queen,QUEEN,1,F,,True,False,False,,4,4,0,24,24,0,cars2_s103,902,
cars2,cars2_ramone,cars2_ramone,Ramone,Ramone,RAMONE,1,M,,True,False,False,,4,4,0,33,33,0,cars2_s005,52,
cars2,cars2_siddeley,cars2_siddeley,Siddeley,Siddeley,SIDDELEY,1,M,,True,False,False,,4,4,0,11,11,0,cars2_s029,397,
cars2,cars2_guido,cars2_guido,Guido,Guido,GUIDO,1,M,,True,False,False,,3,3,0,8,8,0,cars2_s012,100,
cars2,cars2_jeff_gorvette,cars2_jeff_gorvette,Jeff Gorvette,Jeff Gorvette,JEFF GORVETTE,1,M,,True,False,False,,3,3,0,17,17,0,cars2_s014,134,
cars2,cars2_nosy_pacer,cars2_nosy_pacer,Nosy Pacer,Nosy Pacer,NOSY PACER,1,M,,False,False,False,,3,3,0,22,22,0,cars2_s002,13,
cars2,cars2_sheriff,cars2_sheriff,Sheriff,Sheriff,SHERIFF,1,M,,True,False,False,,3,3,0,26,26,0,cars2_s004,46,
cars2,cars2_van,cars2_van,Van,Van,VAN,1,M,,True,False,False,,3,3,0,30,30,0,cars2_s108,953,
cars2,cars2_lizzie,cars2_lizzie,Lizzie,Lizzie,LIZZIE,1,F,,True,False,False,,2,2,0,14,14,0,cars2_s004,47,
cars2,cars2_mack,cars2_mack,Mack,Mack,MACK,1,M,,True,False,False,,2,2,0,16,16,0,cars2_s006,60,
