speaker_clean,addressee_clean,utterance_count
cars2_mcqueen,cars2_mater,80
cars2_mater,cars2_mcqueen,59
cars2_holley,cars2_mater,45
cars2_holley,cars2_finn,41
cars2_finn,cars2_holley,41
cars2_finn,cars2_mater,38
cars2_mater,cars2_holley,32
cars2_mater,cars2_finn,29
cars2_mcqueen,cars2_francesco,19
cars2_francesco,cars2_mcqueen,17
cars2_uncle_topolino,cars2_mcqueen,13
cars2_grem,cars2_mater,10
cars2_mcqueen,cars2_sally,9
cars2_sally,cars2_mcqueen,9
cars2_miles_axlerod,cars2_mater,8
cars2_grem,cars2_acer,7
cars2_acer,cars2_grem,7
cars2_acer,cars2_mater,6
cars2_tomber,cars2_finn,6
cars2_otis,cars2_mater,6
cars2_mater,cars2_otis,6
cars2_mater,cars2_alexander_hugo,6
cars2_mater,cars2_francesco,6
cars2_acer,cars2_rod_redline,6
cars2_luigi,cars2_mater,5
cars2_miles_axlerod,cars2_mcqueen,5
cars2_mcqueen,cars2_miles_axlerod,5
cars2_grem,cars2_professor_zundapp,5
cars2_mcqueen,cars2_uncle_topolino,5
cars2_mater,cars2_professor_zundapp,4
cars2_finn,cars2_tomber,4
cars2_crabby,cars2_finn,4
cars2_acer,cars2_finn,3
cars2_fillmore,cars2_mcqueen,3
cars2_finn,cars2_professor_zundapp,3
cars2_luigi,cars2_mcqueen,3
cars2_francesco,cars2_mater,3
cars2_grem,cars2_rod_redline,3
cars2_mater,cars2_miles_axlerod,3
cars2_professor_zundapp,cars2_rod_redline,3
cars2_professor_zundapp,cars2_tubbs_pacer,3
cars2_vladimir_trunkov,cars2_victor_hugo,3
