film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
cars2,cars2_s001,1,EXT. SOMEWHERE IN THE NORTH PACIFIC - NIGHT,slug_line,67,174,0.0,10,10,0
cars2,cars2_s002,2,EXT. PLATFORM - OIL DERRICK - MOMENTS LATER,slug_line,175,437,0.009,17,17,0
cars2,cars2_s003,3,EXT. RADIATOR SPRINGS - DAY,slug_line,438,563,0.018,14,14,0
cars2,cars2_s004,4,EXT. RADIATOR SPRINGS - DAY,slug_line,564,624,0.027,10,10,0
cars2,cars2_s005,5,INT. RAMONE'S - CONTINUOUS,slug_line,625,648,0.036,4,4,0
cars2,cars2_s006,6,EXT. RADIATOR SPRINGS - CONTINUOUS,slug_line,649,695,0.045,7,7,0
cars2,cars2_s007,7,INT. RADIATOR SPRINGS MUSEUM - DAY,slug_line,696,735,0.0541,3,3,0
cars2,cars2_s008,8,EXT. RADIATOR SPRINGS - LATER,slug_line,736,760,0.0631,3,3,0
cars2,cars2_s009,9,EXT. RADIATOR SPRINGS - DAY,slug_line,761,802,0.0721,3,3,0
cars2,cars2_s010,10,EXT. FIELD - OUTSIDE RADIATOR SPRINGS - LATER,slug_line,803,824,0.0811,2,2,0
cars2,cars2_s011,11,INT. RADIATOR SPRINGS - DUSK,slug_line,825,916,0.0901,15,15,0
cars2,cars2_s012,12,EXT. THE WHEEL WELL - NIGHT,slug_line,917,1588,0.0991,38,38,0
cars2,cars2_s013,13,EXT. MUSEUM - TOKYO - NIGHT,slug_line,1589,1598,0.1081,0,0,0
cars2,cars2_s014,14,INT. TOKYO MUSEUM - NIGHT,slug_line,1599,1932,0.1171,46,45,1
cars2,cars2_s015,15,INT. PARTY - MOMENTS LATER,slug_line,1933,2354,0.1261,47,47,0
cars2,cars2_s016,16,INT. MEN'S ROOM - NIGHT,slug_line,2355,2415,0.1351,5,5,0
cars2,cars2_s017,17,INT. PARTY - SAME,slug_line,2416,2431,0.1441,0,0,0
cars2,cars2_s018,18,INT. BATHROOM - SAME,slug_line,2432,2465,0.1532,0,0,0
cars2,cars2_s019,19,INT. PARTY - SAME,slug_line,2466,2494,0.1622,6,6,0
cars2,cars2_s020,20,INT. BATHROOM - OUTSIDE THE STALL,slug_line,2495,2613,0.1712,14,14,0
cars2,cars2_s021,21,EXT. BATHROOM - MOMENTS LATER,slug_line,2614,2749,0.1802,16,16,0
cars2,cars2_s022,22,INT. PARTY - MOMENTS LATER,slug_line,2750,2812,0.1892,11,11,0
cars2,cars2_s023,23,EXT. SHIPYARD - THE DOCKS - TOKYO NIGHT,slug_line,2813,2816,0.1982,0,0,0
cars2,cars2_s024,24,INT. SHIPYARD - NIGHT,slug_line,2817,3067,0.2072,27,27,0
cars2,cars2_s025,25,EXT. JAPAN - DAY,slug_line,3068,3223,0.2162,2,2,0
cars2,cars2_s026,26,EXT. STARTING LINE - DAY,slug_line,3224,3902,0.2252,54,54,0
cars2,cars2_s027,27,EXT. PRESS STAGE - LATER,slug_line,3903,4145,0.2342,13,13,0
cars2,cars2_s028,28,INT. AIRPORT - JAPAN - DAY,slug_line,4146,4307,0.2432,16,16,0
cars2,cars2_s029,29,EXT. TARMAC - AIRPORT - JAPAN,slug_line,4308,4493,0.2523,14,14,0
cars2,cars2_s030,30,INT. LOBBY - HOTEL - TOKYO - DAY,slug_line,4494,4558,0.2613,4,4,0
cars2,cars2_s031,31,EXT. SKY - DAY,slug_line,4559,4562,0.2703,0,0,0
cars2,cars2_s032,32,INT. JET - DAY,slug_line,4563,4902,0.2793,43,42,1
cars2,cars2_s033,33,EXT. JET - MOVING,slug_line,4903,4923,0.2883,0,0,0
cars2,cars2_s034,34,EXT. STREET - DAY,slug_line,4924,5016,0.2973,12,12,0
