film_id,character,gender,betw_obs,null_mean,null_std,z_score,percentile,p_high
coco_2017,coco_2017_miguel,M,0.5098,0.4549,0.0296,1.856,97.8,0.023
coco_2017,coco_2017_h_ctor,M,0.1144,0.1218,0.0549,-0.135,47.9,0.5207
coco_2017,coco_2017_de_la_cruz,M,0.0327,0.0822,0.0533,-0.928,16.8,0.8321
coco_2017,coco_2017_abuelita,F,0.0261,0.028,0.0374,-0.049,54.0,0.4608
coco_2017,coco_2017_mam_imelda,F,0.0,0.0782,0.0511,-1.532,0.0,1.0
coco_2017,coco_2017_pap,M,0.0,0.0137,0.024,-0.572,0.0,1.0
coco_2017,coco_2017_frida,F,0.0,0.005,0.0169,-0.295,0.0,1.0
coco_2017,coco_2017_chicharr_n,M,0.0,0.0052,0.0182,-0.283,0.0,1.0
coco_2017,coco_2017_mam_coco,F,0.0,0.0277,0.0381,-0.727,0.0,1.0
coco_2017,coco_2017_plaza_mariachi,M,0.0,0.0,0.0,,0.0,1.0
coco_2017,coco_2017_clerk,M,0.0,0.0,0.0,,0.0,1.0
coco_2017,coco_2017_pap_julio,M,0.0,0.0,0.0,,0.0,1.0
coco_2017,coco_2017_mam,F,0.0,0.0043,0.0154,-0.281,0.0,1.0
coco_2017,coco_2017_t_a_rosita,F,0.0,0.0,0.0,,0.0,1.0
coco_2017,coco_2017_corrections_officer,M,0.0,0.0,0.0,,0.0,1.0
coco_2017,coco_2017_t_a_victoria,F,0.0,0.0053,0.0183,-0.29,0.0,1.0
coco_2017,coco_2017_security_guard,M,0.0,0.0,0.0,,0.0,1.0
coco_2017,coco_2017_t_o_berto,M,0.0,0.0,0.0,,0.0,1.0
coco_2017,coco_2017_t_o_oscar,M,0.0,0.0,0.0,,0.0,1.0
