film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
coco_2017,coco_2017_miguel,Miguel,MIGUEL | MIGUEL (CONT'D) | MIGUEL (O.S.) | MIGUEL (V.O) | MIGUEL (V.O.),5,343,329,14,2754,2424,330,coco_2017_s001,1,
coco_2017,coco_2017_h_ctor,H Ctor,H CTOR | H CTOR (CONT'D) | H CTOR (O.S.) | H CTOR (V.O.) | YOUNG H CTOR,5,182,177,5,1816,1692,124,coco_2017_s029,294,
coco_2017,coco_2017_de_la_cruz,De La Cruz,DE LA CRUZ | DE LA CRUZ (CONT'D) | DE LA CRUZ (FILM CLIP) | YOUNG DE LA CRUZ | YOUNG DE LA CRUZ (CONT'D),5,89,81,8,894,746,148,coco_2017_s009,53,
coco_2017,coco_2017_mam_imelda,Mam Imelda,MAM  IMELDA | MAM  IMELDA (CONT'D),2,69,63,6,571,503,68,coco_2017_s031,314,
coco_2017,coco_2017_abuelita,Abuelita,ABUELITA | ABUELITA (CONT'D) | ABUELITA (O.S.),3,51,51,0,406,406,0,coco_2017_s004,22,
coco_2017,coco_2017_pap,Pap,PAP | PAP  (O.S.),2,22,22,0,146,146,0,coco_2017_s013,95,
coco_2017,coco_2017_pap_julio,Pap Julio,PAP  JULIO | PAP  JULIO (CONT'D),2,18,18,0,83,83,0,coco_2017_s027,241,
coco_2017,coco_2017_chicharr_n,Chicharr N,CHICHARR N,1,13,13,0,89,89,0,coco_2017_s049,516,
coco_2017,coco_2017_clerk,Clerk,CLERK,1,13,13,0,143,143,0,coco_2017_s031,324,
coco_2017,coco_2017_frida,Frida,FRIDA | FRIDA (CONT'D),2,13,13,0,177,177,0,coco_2017_s045,450,
coco_2017,coco_2017_mam_coco,Mam Coco,MAM  COCO | MAM  COCO (CONT'D),2,13,13,0,67,67,0,coco_2017_s001,16,
coco_2017,coco_2017_t_a_rosita,T A Rosita,T A ROSITA,1,13,13,0,65,65,0,coco_2017_s027,242,
coco_2017,coco_2017_mam,Mam,MAM | MAM  (CONT'D),2,10,10,0,73,73,0,coco_2017_s009,37,
coco_2017,coco_2017_departures_agent,Departures Agent,DEPARTURES AGENT | DEPARTURES AGENT (CONT'D),2,9,9,0,53,53,0,coco_2017_s029,286,
coco_2017,coco_2017_plaza_mariachi,Plaza Mariachi,PLAZA MARIACHI | PLAZA MARIACHI (CONT'D),2,9,9,0,124,124,0,coco_2017_s011,61,
coco_2017,coco_2017_t_a_victoria,T A Victoria,T A VICTORIA,1,8,8,0,37,37,0,coco_2017_s027,243,
coco_2017,coco_2017_t_o_oscar,T O Oscar,T O OSCAR,1,8,8,0,33,33,0,coco_2017_s027,258,
coco_2017,coco_2017_emcee,Emcee,EMCEE | EMCEE (CONT'D) | EMCEE (O.S.),3,7,7,0,101,101,0,coco_2017_s051,556,
coco_2017,coco_2017_security_guard,Security Guard,SECURITY GUARD,1,7,7,0,31,31,0,coco_2017_s055,650,
coco_2017,coco_2017_t_o_felipe,T O Felipe,T O FELIPE,1,6,6,0,27,27,0,coco_2017_s027,257,
coco_2017,coco_2017_corrections_officer,Corrections Officer,CORRECTIONS OFFICER,1,5,5,0,53,53,0,coco_2017_s035,386,
coco_2017,coco_2017_t_o_berto,T O Berto,T O BERTO,1,5,5,0,32,32,0,coco_2017_s011,84,
coco_2017,coco_2017_arrivals_agent,Arrivals Agent,ARRIVALS AGENT | ARRIVALS AGENT (O.S.),2,4,4,0,16,16,0,coco_2017_s029,282,
coco_2017,coco_2017_crowd,Crowd,CROWD,1,4,4,0,8,8,0,coco_2017_s052,570,
coco_2017,coco_2017_crowd_member,Crowd Member,CROWD MEMBER,1,4,4,0,8,8,0,coco_2017_s077,888,
coco_2017,coco_2017_gustavo,Gustavo,GUSTAVO,1,4,4,0,62,62,0,coco_2017_s045,474,
coco_2017,coco_2017_patrolman,Patrolman,PATROLMAN,1,4,4,0,19,19,0,coco_2017_s033,382,
coco_2017,coco_2017_stagehand,Stagehand,STAGEHAND,1,4,4,0,29,29,0,coco_2017_s052,569,
coco_2017,coco_2017_canned_loop,Canned Loop,CANNED LOOP (V.O.),1,3,3,0,48,48,0,coco_2017_s029,281,
coco_2017,coco_2017_don_hidalgo,Don Hidalgo,DON HIDALGO (FILM CLIP),1,3,3,0,27,27,0,coco_2017_s059,699,
coco_2017,coco_2017_nun,Nun,NUN (FILM CLIP),1,3,3,0,22,22,0,coco_2017_s016,145,
coco_2017,coco_2017_tour_guide,Tour Guide,TOUR GUIDE | TOUR GUIDE (CONT'D) | TOUR GUIDE (O.S.),3,3,3,0,69,69,0,coco_2017_s009,49,
coco_2017,coco_2017_woman,Woman,WOMAN | WOMAN (CONT'D),2,3,3,0,15,15,0,coco_2017_s009,40,
coco_2017,coco_2017_audience_member,Audience Member,AUDIENCE MEMBER | AUDIENCE MEMBER (O.S.),2,2,2,0,9,9,0,coco_2017_s052,599,
coco_2017,coco_2017_band_leader,Band Leader,BAND LEADER,1,2,2,0,20,20,0,coco_2017_s055,658,
coco_2017,coco_2017_cecilia,Cecilia,CECILIA,1,2,2,0,30,30,0,coco_2017_s042,442,
coco_2017,coco_2017_dante,Dante,DANTE (O.S) | DANTE (O.S.),2,2,2,0,3,3,0,coco_2017_s071,821,
coco_2017,coco_2017_de_la_cruz_mam_imelda,De La Cruz/Mam Imelda,DE LA CRUZ/MAM  IMELDA,1,2,0,2,21,0,21,coco_2017_s077,898,
coco_2017,coco_2017_groundskeeper,Groundskeeper,GROUNDSKEEPER,1,2,2,0,7,7,0,coco_2017_s026,223,
coco_2017,coco_2017_guest,Guest,GUEST,1,2,2,0,6,6,0,coco_2017_s055,651,
coco_2017,coco_2017_musicians,Musicians,MUSICIANS,1,2,1,1,9,5,4,coco_2017_s008,32,
coco_2017,coco_2017_skeleton_head,Skeleton Head,SKELETON HEAD,1,2,2,0,4,4,0,coco_2017_s027,233,
coco_2017,coco_2017_stage_manager,Stage Manager,STAGE MANAGER,1,2,2,0,21,21,0,coco_2017_s023,210,
coco_2017,coco_2017_t_a_chelo,T A Chelo,T A CHELO,1,2,2,0,15,15,0,coco_2017_s048,509,
coco_2017,coco_2017_announcer,Announcer,ANNOUNCER (O.S.),1,1,1,0,12,12,0,coco_2017_s077,887,
coco_2017,coco_2017_audience,Audience,AUDIENCE,1,1,1,0,3,3,0,coco_2017_s052,612,
coco_2017,coco_2017_case_worker,Case Worker,CASE WORKER,1,1,1,0,13,13,0,coco_2017_s031,315,
coco_2017,coco_2017_coco,Coco,YOUNG COCO,1,1,1,0,2,2,0,coco_2017_s070,812,
coco_2017,coco_2017_crowd_members,Crowd Members,CROWD MEMBERS,1,1,1,0,21,21,0,coco_2017_s053,635,
coco_2017,coco_2017_distressed_traveler,Distressed Traveler,DISTRESSED TRAVELER,1,1,1,0,13,13,0,coco_2017_s031,312,
coco_2017,coco_2017_elderly_couple,Elderly Couple,ELDERLY COUPLE,1,1,1,0,1,1,0,coco_2017_s029,288,
coco_2017,coco_2017_family,Family,FAMILY,1,1,1,0,24,24,0,coco_2017_s074,832,
coco_2017,coco_2017_interviewer,Interviewer,INTERVIEWER (FILM CLIP),1,1,1,0,15,15,0,coco_2017_s016,150,
coco_2017,coco_2017_juan_ortodoncia,Juan Ortodoncia,JUAN ORTODONCIA,1,1,1,0,1,1,0,coco_2017_s029,292,
coco_2017,coco_2017_lola,Lola,LOLA (FILM CLIP),1,1,1,0,9,9,0,coco_2017_s016,148,
coco_2017,coco_2017_miffed_wife,Miffed Wife,MIFFED WIFE,1,1,1,0,12,12,0,coco_2017_s031,313,
coco_2017,coco_2017_miguel_de_la_cruz,Miguel & De La Cruz,MIGUEL & DE LA CRUZ,1,1,0,1,12,0,12,coco_2017_s057,678,
coco_2017,coco_2017_officer,Officer,OFFICER,1,1,1,0,1,1,0,coco_2017_s029,301,
coco_2017,coco_2017_opera_singers,Opera Singers,OPERA SINGERS,1,1,0,1,8,0,8,coco_2017_s052,566,
coco_2017,coco_2017_pap_franco,Pap Franco,PAP  FRANCO,1,1,1,0,2,2,0,coco_2017_s013,102,
coco_2017,coco_2017_patrolwoman,Patrolwoman,PATROLWOMAN,1,1,1,0,9,9,0,coco_2017_s033,380,
coco_2017,coco_2017_prima_rosa,Prima Rosa,PRIMA ROSA,1,1,1,0,12,12,0,coco_2017_s013,107,
coco_2017,coco_2017_primo_abel,Primo Abel,PRIMO ABEL,1,1,1,0,8,8,0,coco_2017_s013,108,
coco_2017,coco_2017_ratty_group,Ratty Group,RATTY GROUP,1,1,1,0,3,3,0,coco_2017_s048,503,
coco_2017,coco_2017_ratty_member,Ratty Member,RATTY MEMBER,1,1,1,0,2,2,0,coco_2017_s048,505,
coco_2017,coco_2017_skeleton_abuela,Skeleton Abuela,SKELETON ABUELA,1,1,1,0,5,5,0,coco_2017_s027,237,
coco_2017,coco_2017_skeleton_mother,Skeleton Mother,SKELETON MOTHER,1,1,1,0,11,11,0,coco_2017_s028,276,
coco_2017,coco_2017_skeleton_musician,Skeleton Musician,SKELETON MUSICIAN,1,1,0,1,10,0,10,coco_2017_s052,565,
coco_2017,coco_2017_street_vendor,Street Vendor,STREET VENDOR,1,1,1,0,3,3,0,coco_2017_s009,43,
coco_2017,coco_2017_t_a_gloria,T A Gloria,T A GLORIA,1,1,1,0,6,6,0,coco_2017_s021,190,
coco_2017,coco_2017_t_o_felipe_t_o_oscar,T O Felipe/T O Oscar,T O FELIPE/T O OSCAR,1,1,1,0,8,8,0,coco_2017_s052,609,
coco_2017,coco_2017_t_o_oscar_t_o_felipe,T O Oscar/T O Felipe,T O OSCAR/T O FELIPE,1,1,1,0,1,1,0,coco_2017_s077,929,
coco_2017,coco_2017_tias,Tias,OLD TIAS,1,1,1,0,2,2,0,coco_2017_s048,511,
coco_2017,coco_2017_traveler,Traveler,TRAVELER,1,1,1,0,5,5,0,coco_2017_s029,283,
coco_2017,coco_2017_vendor,Vendor,VENDOR,1,1,1,0,5,5,0,coco_2017_s050,555,
coco_2017,coco_2017_voice_over_p_a,Voice Over P.A.,VOICE OVER P.A.,1,1,1,0,10,10,0,coco_2017_s030,309,
coco_2017,coco_2017_voices,Voices,VOICES (O.S.),1,1,1,0,14,14,0,coco_2017_s026,222,
