speaker_clean,addressee_clean,utterance_count
coco_2017_h_ctor,coco_2017_miguel,97
coco_2017_miguel,coco_2017_h_ctor,81
coco_2017_mam_imelda,coco_2017_miguel,37
coco_2017_abuelita,coco_2017_miguel,33
coco_2017_miguel,coco_2017_de_la_cruz,24
coco_2017_miguel,coco_2017_mam_imelda,24
coco_2017_h_ctor,coco_2017_de_la_cruz,24
coco_2017_de_la_cruz,coco_2017_miguel,22
coco_2017_de_la_cruz,coco_2017_h_ctor,18
coco_2017_pap,coco_2017_miguel,17
coco_2017_miguel,coco_2017_abuelita,15
coco_2017_frida,coco_2017_miguel,13
coco_2017_chicharr_n,coco_2017_h_ctor,13
coco_2017_h_ctor,coco_2017_chicharr_n,13
coco_2017_miguel,coco_2017_mam_coco,12
coco_2017_h_ctor,coco_2017_mam_imelda,10
coco_2017_plaza_mariachi,coco_2017_miguel,9
coco_2017_clerk,coco_2017_miguel,8
coco_2017_mam_imelda,coco_2017_h_ctor,8
coco_2017_pap_julio,coco_2017_miguel,7
coco_2017_miguel,coco_2017_frida,7
coco_2017_mam,coco_2017_miguel,6
coco_2017_t_a_rosita,coco_2017_miguel,6
coco_2017_corrections_officer,coco_2017_h_ctor,5
coco_2017_abuelita,coco_2017_mam_coco,5
coco_2017_miguel,coco_2017_pap,5
coco_2017_t_a_victoria,coco_2017_miguel,5
coco_2017_mam_coco,coco_2017_abuelita,5
coco_2017_de_la_cruz,coco_2017_mam_imelda,5
coco_2017_mam_coco,coco_2017_pap,4
coco_2017_mam_imelda,coco_2017_de_la_cruz,4
coco_2017_pap_julio,coco_2017_mam_imelda,4
coco_2017_miguel,coco_2017_mam,4
coco_2017_miguel,coco_2017_t_a_victoria,3
coco_2017_security_guard,coco_2017_de_la_cruz,3
coco_2017_t_o_berto,coco_2017_miguel,3
coco_2017_t_o_oscar,coco_2017_miguel,3
