film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
coco_2017,coco_2017_s001,1,EXT. MARIGOLD PATH - DUSK,slug_line,14,171,0.0,17,17,0
coco_2017,coco_2017_s002,2,EXT. COURTYARD,slug_line,172,186,0.0112,2,2,0
coco_2017,coco_2017_s003,3,INT. MAM  COCO'S ROOM,slug_line,187,199,0.0225,1,1,0
coco_2017,coco_2017_s004,4,EXT. DINING AREA,slug_line,200,245,0.0337,9,9,0
coco_2017,coco_2017_s005,5,INT. OFRENDA ROOM - DAY,slug_line,246,251,0.0449,0,0,0
coco_2017,coco_2017_s006,6,INT. KITCHEN - MOMENTS LATER,slug_line,252,260,0.0562,1,1,0
coco_2017,coco_2017_s007,7,INT. MAM  COCO'S ROOM - DAY,slug_line,261,269,0.0674,1,1,0
coco_2017,coco_2017_s008,8,EXT. STREET - EVENING,slug_line,270,291,0.0787,3,2,1
coco_2017,coco_2017_s009,9,INT. RIVERA WORKSHOP - DAY,slug_line,292,479,0.0899,24,21,3
coco_2017,coco_2017_s010,10,EXT. CEMETERY - MOMENTS LATER,slug_line,480,493,0.1011,1,1,0
coco_2017,coco_2017_s011,11,EXT. MARIACHI PLAZA - DAY,slug_line,494,659,0.1124,28,28,0
coco_2017,coco_2017_s012,12,EXT. STREET - MOMENTS LATER,slug_line,660,696,0.1236,6,6,0
coco_2017,coco_2017_s013,13,INT. RIVERA WORKSHOP,slug_line,697,781,0.1348,16,16,0
coco_2017,coco_2017_s014,14,INT. OFRENDA ROOM - MOMENTS LATER,slug_line,782,906,0.1461,24,24,0
coco_2017,coco_2017_s015,15,EXT. SIDE STREET,slug_line,907,916,0.1573,0,0,0
coco_2017,coco_2017_s016,16,INT. ROOFTOP HIDEOUT,slug_line,917,1075,0.1685,21,19,2
coco_2017,coco_2017_s017,17,EXT. RIVERA COMPOUND - SUNSET,slug_line,1076,1127,0.1798,7,7,0
coco_2017,coco_2017_s018,18,INT. OFRENDA ROOM,slug_line,1128,1270,0.191,19,19,0
coco_2017,coco_2017_s019,19,INT. ROOFTOP HIDEOUT,slug_line,1271,1280,0.2022,1,1,0
