film_id,character,gender,betw_obs,null_mean,null_std,z_score,percentile,p_high
elemental_2023,elemental_2023_ember,F,0.6667,0.5634,0.0454,2.276,99.2,0.008
elemental_2023,elemental_2023_wade,M,0.1111,0.1632,0.0895,-0.582,27.5,0.7251
elemental_2023,elemental_2023_bernie,M,0.0,0.1152,0.0875,-1.317,0.0,1.0
elemental_2023,elemental_2023_cinder,F,0.0,0.0402,0.0693,-0.58,0.0,1.0
elemental_2023,elemental_2023_gale,F,0.0,0.012,0.032,-0.376,0.0,1.0
elemental_2023,elemental_2023_clod,M,0.0,0.0029,0.0166,-0.174,0.0,1.0
elemental_2023,elemental_2023_fern,M,0.0,0.0,0.0,,0.0,1.0
elemental_2023,elemental_2023_brook,F,0.0,0.0232,0.0598,-0.389,0.0,1.0
elemental_2023,elemental_2023_sparkler_customer,M,0.0,0.0,0.0,,0.0,1.0
elemental_2023,elemental_2023_customer,,0.0,0.0,0.0,,0.0,1.0
