film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
elemental_2023,elemental_2023_ember,Ember,EMBER | EMBER (O.S.) | EMBER (V.O.),3,316,314,2,6030,5955,75,elemental_2023_s017,86,
elemental_2023,elemental_2023_wade,Wade,WADE | WADE (CONT’D) | WADE (O.S.) | WADE (V.O.),4,253,253,0,4566,4566,0,elemental_2023_s028,190,
elemental_2023,elemental_2023_bernie,Bernie,BERNIE | BERNIE (CONT’D) | BERNIE (O.S.) | BERNIE (V.O.),4,128,128,0,2155,2155,0,elemental_2023_s003,7,
elemental_2023,elemental_2023_cinder,Cinder,CINDER | CINDER (CONT'D) | CINDER (O.S.) | CINDER (V.O) | CINDER (V.O.),5,57,57,0,979,979,0,elemental_2023_s003,8,
elemental_2023,elemental_2023_gale,Gale,GALE,1,28,28,0,479,479,0,elemental_2023_s045,323,
elemental_2023,elemental_2023_brook,Brook,BROOK | BROOK (CONT’D),2,19,17,2,491,442,49,elemental_2023_s081,610,
elemental_2023,elemental_2023_clod,Clod,CLOD,1,14,14,0,197,197,0,elemental_2023_s022,138,
elemental_2023,elemental_2023_teenage_ember,Teenage Ember,TEENAGE EMBER,1,10,10,0,171,171,0,elemental_2023_s016,63,
elemental_2023,elemental_2023_harold,Harold,HAROLD,1,9,9,0,218,218,0,elemental_2023_s082,635,
elemental_2023,elemental_2023_alan,Alan,ALAN,1,6,6,0,88,88,0,elemental_2023_s082,621,
elemental_2023,elemental_2023_flarrietta,Flarrietta,FLARRIETTA,1,6,6,0,52,52,0,elemental_2023_s017,94,
elemental_2023,elemental_2023_big_kid_ember,Big Kid Ember,BIG KID EMBER,1,5,4,1,103,88,15,elemental_2023_s013,47,
elemental_2023,elemental_2023_customer,Customer,CUSTOMER | CUSTOMER (O.S.),2,5,5,0,73,73,0,elemental_2023_s017,85,
elemental_2023,elemental_2023_fern,Fern,FERN,1,5,5,0,85,85,0,elemental_2023_s037,253,
elemental_2023,elemental_2023_kid_ember,Kid Ember,LITTLE KID EMBER,1,5,5,0,91,91,0,elemental_2023_s010,32,
elemental_2023,elemental_2023_sparkler_customer,Sparkler Customer,SPARKLER CUSTOMER,1,5,5,0,57,57,0,elemental_2023_s016,67,
