film_id,parser_character_id,review_character_id,parser_canonical_name,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,gender,gender_rationale,is_named,is_protagonist,included_in_network,merge_into_character_id,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,review_notes
elemental_2023,elemental_2023_ember,elemental_2023_ember,Ember,Ember,EMBER | EMBER (O.S.) | EMBER (V.O.),3,F,,1,1,1,,316,314,2,6030,5955,75,elemental_2023_s017,86,
elemental_2023,elemental_2023_wade,elemental_2023_wade,Wade,Wade,WADE | WADE (CONT’D) | WADE (O.S.) | WADE (V.O.),4,M,,1,0,1,,253,253,0,4566,4566,0,elemental_2023_s028,190,
elemental_2023,elemental_2023_bernie,elemental_2023_bernie,Bernie,Bernie,BERNIE | BERNIE (CONT’D) | BERNIE (O.S.) | BERNIE (V.O.),4,M,,1,0,1,,128,128,0,2155,2155,0,elemental_2023_s003,7,
elemental_2023,elemental_2023_cinder,elemental_2023_cinder,Cinder,Cinder,CINDER | CINDER (CONT'D) | CINDER (O.S.) | CINDER (V.O) | CINDER (V.O.),5,F,,1,0,1,,57,57,0,979,979,0,elemental_2023_s003,8,
elemental_2023,elemental_2023_brook,elemental_2023_brook,Brook,Brook,BROOK | BROOK (CONT’D),2,F,,1,0,1,,19,17,2,491,442,49,elemental_2023_s081,610,
elemental_2023,elemental_2023_gale,elemental_2023_gale,Gale,Gale,GALE,1,F,,1,0,1,,28,28,0,479,479,0,elemental_2023_s045,323,
elemental_2023,elemental_2023_harold,elemental_2023_harold,Harold,Harold,HAROLD,1,M,,1,0,1,,9,9,0,218,218,0,elemental_2023_s082,635,
elemental_2023,elemental_2023_clod,elemental_2023_clod,Clod,Clod,CLOD,1,M,,1,0,1,,14,14,0,197,197,0,elemental_2023_s022,138,
elemental_2023,elemental_2023_earth_kids,elemental_2023_earth_kids,Earth Kids.,Earth Kids.,EARTH KIDS.,1,Both,,0,0,1,,1,1,0,172,172,0,elemental_2023_s034,235,
elemental_2023,elemental_2023_teenage_ember,elemental_2023_teenage_ember,Teenage Ember,Teenage Ember,TEENAGE EMBER,1,F,,1,1,1,elemental_2023_ember,10,10,0,171,171,0,elemental_2023_s016,63,
elemental_2023,elemental_2023_big_kid_ember,elemental_2023_big_kid_ember,Big Kid Ember,Big Kid Ember,BIG KID EMBER,1,F,,1,1,1,elemental_2023_ember,5,4,1,103,88,15,elemental_2023_s013,47,
elemental_2023,elemental_2023_kid_ember,elemental_2023_kid_ember,Kid Ember,Kid Ember,LITTLE KID EMBER,1,F,,1,1,1,elemental_2023_ember,5,5,0,91,91,0,elemental_2023_s010,32,
elemental_2023,elemental_2023_water_passenger,elemental_2023_water_passenger,Water Passenger,Water Passenger,WATER PASSENGER 1 | WATER PASSENGER 2,2,F,,0,0,0,,2,2,0,90,90,0,elemental_2023_s002,3,
