speaker_clean,addressee_clean,utterance_count
elemental_2023_wade,elemental_2023_ember,156
elemental_2023_ember,elemental_2023_wade,126
elemental_2023_bernie,elemental_2023_ember,59
elemental_2023_ember,elemental_2023_bernie,48
elemental_2023_bernie,elemental_2023_wade,19
elemental_2023_cinder,elemental_2023_ember,19
elemental_2023_ember,elemental_2023_gale,14
elemental_2023_bernie,elemental_2023_cinder,11
elemental_2023_wade,elemental_2023_bernie,11
elemental_2023_clod,elemental_2023_ember,11
elemental_2023_cinder,elemental_2023_bernie,10
elemental_2023_ember,elemental_2023_clod,10
elemental_2023_gale,elemental_2023_ember,9
elemental_2023_ember,elemental_2023_cinder,9
elemental_2023_wade,elemental_2023_fern,8
elemental_2023_brook,elemental_2023_ember,7
elemental_2023_brook,elemental_2023_wade,6
elemental_2023_sparkler_customer,elemental_2023_ember,4
elemental_2023_ember,elemental_2023_brook,4
elemental_2023_customer,elemental_2023_ember,3
elemental_2023_wade,elemental_2023_gale,3
