film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
elemental_2023,elemental_2023_s001,1,EXT. OCEAN - DAY,slug_line,12,31,0.0,1,1,0
elemental_2023,elemental_2023_s002,2,EXT. GRAND GATEWAY DOCKS - DAY,slug_line,32,62,0.0083,3,3,0
elemental_2023,elemental_2023_s003,3,INT. IMMIGRATION HALL - DAY - CONTINUOUS,slug_line,63,92,0.0167,7,7,0
elemental_2023,elemental_2023_s004,4,EXT. ELEMENT CITY - STREET - SHORTLY AFTER,slug_line,93,106,0.025,3,3,0
elemental_2023,elemental_2023_s005,5,INT. TRAIN - SHORTLY AFTER,slug_line,107,119,0.0333,1,1,0
elemental_2023,elemental_2023_s006,6,EXT. ELEMENT CITY EARTH/WATER NEIGHBORHOODS,slug_line,120,134,0.0417,1,1,0
elemental_2023,elemental_2023_s007,7,EXT. RUNDOWN NEIGHBORHOOD,slug_line,135,146,0.05,1,1,0
elemental_2023,elemental_2023_s008,8,INT. BERNIE’S SHOP - DAY,slug_line,147,171,0.0583,6,6,0
elemental_2023,elemental_2023_s009,9,INT. BERNIE’S SHOP - NIGHT,slug_line,172,194,0.0667,5,5,0
elemental_2023,elemental_2023_s010,10,INT. BERNIE’S SHOP - LATER,slug_line,195,242,0.075,8,8,0
elemental_2023,elemental_2023_s011,11,INT. BERNIE’S SHOP,slug_line,243,275,0.0833,9,9,0
elemental_2023,elemental_2023_s012,12,EXT. BERNIE’S SHOP - NIGHT,slug_line,276,278,0.0917,0,0,0
elemental_2023,elemental_2023_s013,13,EXT. FIRE TOWN - A FEW YEARS LATER,slug_line,279,285,0.1,2,2,0
elemental_2023,elemental_2023_s014,14,INT. BERNIE’S SHOP - ANOTHER YEAR,slug_line,286,321,0.1083,7,7,0
elemental_2023,elemental_2023_s015,15,EXT. BERNIE’S SHOP - RIGHT AFTER,slug_line,322,340,0.1167,4,3,1
elemental_2023,elemental_2023_s016,16,INT. BERNIE’S SHOP - MORE YEARS LATER,slug_line,341,454,0.125,25,25,0
elemental_2023,elemental_2023_s017,17,INT. BERNIE’S SHOP - SEVERAL YEARS LATER - PRESENT DAY,slug_line,455,609,0.1333,37,37,0
elemental_2023,elemental_2023_s018,18,INT. BERNIE’S SHOP - SAME TIME,slug_line,610,617,0.1417,1,1,0
elemental_2023,elemental_2023_s019,19,INT. CINDER’S MATCHMAKING OFFICE - CONTINUOUS,slug_line,618,666,0.15,12,12,0
elemental_2023,elemental_2023_s020,20,INT. BEDROOM - FLASHBACK,slug_line,667,674,0.1583,0,0,0
elemental_2023,elemental_2023_s021,21,INT. CINDER’S MATCHMAKING OFFICE - BACK TO SCENE,slug_line,675,686,0.1667,3,3,0
elemental_2023,elemental_2023_s022,22,EXT. BERNIE’S SHOP - SOON AFTER,slug_line,687,751,0.175,15,15,0
elemental_2023,elemental_2023_s023,23,EXT. FIRE TOWN - CONTINUOUS,slug_line,752,786,0.1833,4,4,0
elemental_2023,elemental_2023_s024,24,INT. BERNIE’S SHOP - THAT NIGHT,slug_line,787,860,0.1917,15,15,0
elemental_2023,elemental_2023_s025,25,EXT. FIRETOWN - SAME TIME,slug_line,861,863,0.2,0,0,0
elemental_2023,elemental_2023_s026,26,EXT. BERNIE’S SHOP - THE NEXT MORNING,slug_line,864,865,0.2083,0,0,0
elemental_2023,elemental_2023_s027,27,INT. BERNIE’S SHOP - CONTINUOUS,slug_line,866,938,0.2167,13,13,0
elemental_2023,elemental_2023_s028,28,INT. BERNIE’S SHOP - BASEMENT,slug_line,939,1099,0.225,36,36,0
elemental_2023,elemental_2023_s029,29,EXT. FIRETOWN - RIGHT AFTER,slug_line,1100,1109,0.2333,1,1,0
elemental_2023,elemental_2023_s030,30,INT. ELEVATED TRAIN CAR - RIGHT AFTER,slug_line,1110,1129,0.2417,3,3,0
elemental_2023,elemental_2023_s031,31,EXT. TRAIN - RIGHT AFTER,slug_line,1130,1135,0.25,0,0,0
elemental_2023,elemental_2023_s032,32,INT. TRAIN CAR - CONTINUOUS,slug_line,1136,1168,0.2583,6,6,0
elemental_2023,elemental_2023_s033,33,EXT. ELEMENT CITY - TRAIN STATION - RIGHT AFTER,slug_line,1169,1189,0.2667,4,4,0
elemental_2023,elemental_2023_s034,34,EXT. STREET - VARIOUS - RIGHT AFTER,slug_line,1190,1214,0.275,1,1,0
elemental_2023,elemental_2023_s035,35,EXT. CITY HALL - CONTINUOUS,slug_line,1215,1285,0.2833,15,15,0
elemental_2023,elemental_2023_s036,36,INT. CITY HALL - HALLWAY - RIGHT AFTER,slug_line,1286,1289,0.2917,0,0,0
elemental_2023,elemental_2023_s037,37,INT. FERN’S OFFICE - CONTINUOUS,slug_line,1290,1389,0.3,27,27,0
elemental_2023,elemental_2023_s038,38,EXT. BERNIE’S SHOP - LATER,slug_line,1390,1400,0.3083,1,1,0
elemental_2023,elemental_2023_s039,39,INT. BERNIE’S SHOP - CONTINUOUS,slug_line,1401,1481,0.3167,20,20,0
elemental_2023,elemental_2023_s040,40,EXT. FIRE LAND - FLASHBACK,slug_line,1482,1534,0.325,7,7,0
elemental_2023,elemental_2023_s041,41,INT. BERNIE’S SHOP - BACK TO SCENE,slug_line,1535,1550,0.3333,3,3,0
elemental_2023,elemental_2023_s042,42,EXT. CITY HALL - THE NEXT MORNING,slug_line,1551,1554,0.3417,0,0,0
elemental_2023,elemental_2023_s043,43,INT. CITY HALL - HALLWAY - CONTINUOUS,slug_line,1555,1607,0.35,12,12,0
elemental_2023,elemental_2023_s044,44,EXT. CYCLONE STADIUM - LATER,slug_line,1608,1614,0.3583,0,0,0
elemental_2023,elemental_2023_s045,45,INT. CYCLONE STADIUM - AFTER,slug_line,1615,1828,0.3667,45,45,0
elemental_2023,elemental_2023_s046,46,EXT. CYCLONE STADIUM - LATER,slug_line,1829,1971,0.375,33,33,0
elemental_2023,elemental_2023_s047,47,EXT. CULVERT WORKSITE - FLASHBACK - DAY,slug_line,1972,2012,0.3833,10,10,0
elemental_2023,elemental_2023_s048,48,EXT. BERNIE’S SHOP - BACK TO SCENE,slug_line,2013,2030,0.3917,4,4,0
elemental_2023,elemental_2023_s049,49,EXT. ROOF OF BERNIE’S SHOP - SHORTLY AFTER,slug_line,2031,2121,0.4,19,19,0
elemental_2023,elemental_2023_s050,50,EXT. GARDEN CENTRAL STATION - FLASHBACK - DAY,slug_line,2122,2159,0.4083,8,8,0
elemental_2023,elemental_2023_s051,51,INT. HOT AIR BALLOON - BACK TO SCENE,slug_line,2160,2204,0.4167,11,11,0
elemental_2023,elemental_2023_s052,52,EXT. CULVERT - SHORTLY AFTER,slug_line,2205,2334,0.425,28,28,0
elemental_2023,elemental_2023_s053,53,INT. BERNIE’S SHOP - NEXT AFTERNOON,slug_line,2335,2359,0.4333,5,5,0
elemental_2023,elemental_2023_s054,54,EXT. BERNIE'S SHOP - RIGHT AFTER,slug_line,2360,2384,0.4417,6,6,0
elemental_2023,elemental_2023_s055,55,EXT. ELEMENT CITY - ALKALI THEATER,slug_line,2385,2389,0.45,0,0,0
elemental_2023,elemental_2023_s056,56,INT. ALKALI THEATER,slug_line,2390,2393,0.4583,0,0,0
elemental_2023,elemental_2023_s057,57,EXT. ELEMENT CITY STREET - PHOTO BOOTH,slug_line,2394,2398,0.4667,0,0,0
elemental_2023,elemental_2023_s058,58,INT. ELEMENT CITY BUILDING - ELEVATOR,slug_line,2399,2403,0.475,0,0,0
elemental_2023,elemental_2023_s059,59,INT. OBSERVATION DECK - CONTINUOUS,slug_line,2404,2410,0.4833,0,0,0
elemental_2023,elemental_2023_s060,60,INT. BERNIE’S SHOP - DAY,slug_line,2411,2429,0.4917,1,1,0
elemental_2023,elemental_2023_s061,61,EXT. OUTDOOR CAFE - DAY,slug_line,2430,2443,0.5,0,0,0
elemental_2023,elemental_2023_s062,62,EXT. MINERAL LAKE - DAY,slug_line,2444,2472,0.5083,6,6,0
elemental_2023,elemental_2023_s063,63,EXT. FIRETOWN - EVENING,slug_line,2473,2480,0.5167,0,0,0
elemental_2023,elemental_2023_s064,64,EXT. CULVERT - THE NEXT DAY,slug_line,2481,2484,0.525,0,0,0
elemental_2023,elemental_2023_s065,65,EXT. BERNIE’S SHOP - LATER,slug_line,2485,2487,0.5333,0,0,0
elemental_2023,elemental_2023_s066,66,INT. BERNIE’S SHOP - SAME TIME,slug_line,2488,2527,0.5417,8,8,0
elemental_2023,elemental_2023_s067,67,INT. BERNIE’S SHOP - BASEMENT - CONTINUOUS,slug_line,2528,2547,0.55,5,5,0
elemental_2023,elemental_2023_s068,68,INT. CONSTRUCTION SITE - FLASHBACK - DAY,slug_line,2548,2555,0.5583,1,1,0
elemental_2023,elemental_2023_s069,69,INT. BERNIE’S SHOP - BACK TO SCENE,slug_line,2556,2636,0.5667,22,21,1
elemental_2023,elemental_2023_s070,70,INT. BERNIE’S SHOP - RIGHT AFTER,slug_line,2637,2740,0.575,23,23,0
elemental_2023,elemental_2023_s071,71,EXT. BERNIE'S SHOP - CONTINUOUS,slug_line,2741,2748,0.5833,1,1,0
elemental_2023,elemental_2023_s072,72,INT. BERNIE’S SHOP - CONTINUOUS,slug_line,2749,2771,0.5917,5,5,0
elemental_2023,elemental_2023_s073,73,EXT. BEACH - SUNSET,slug_line,2772,2859,0.6,14,13,1
elemental_2023,elemental_2023_s074,74,EXT. CULVERT - LATER THAT NIGHT,slug_line,2860,2913,0.6083,9,9,0
elemental_2023,elemental_2023_s075,75,EXT. BERNIE’S SHOP - THE NEXT EVENING,slug_line,2914,2915,0.6167,0,0,0
elemental_2023,elemental_2023_s076,76,INT. BERNIE’S SHOP - EMBER’S ROOM - CONTINUOUS,slug_line,2916,2921,0.625,0,0,0
elemental_2023,elemental_2023_s077,77,INT. BERNIE’S SHOP - RIGHT AFTER,slug_line,2922,2957,0.6333,7,7,0
elemental_2023,elemental_2023_s078,78,INT. BERNIE’S SHOP - CINDER’S MATCHMAKING OFFICE,slug_line,2958,2963,0.6417,1,1,0
elemental_2023,elemental_2023_s079,79,EXT. BERNIE’S SHOP - LATER,slug_line,2964,2969,0.65,0,0,0
