film_id,character,gender,betw_obs,null_mean,null_std,z_score,percentile,p_high
encanto_2021,encanto_2021_mirabel,F,0.75,0.745,0.0053,0.945,63.2,0.3683
encanto_2021,encanto_2021_isabela,F,0.0682,0.0333,0.0358,0.974,56.6,0.4343
encanto_2021,encanto_2021_tio_bruno,M,0.0,0.0328,0.0353,-0.93,0.0,1.0
encanto_2021,encanto_2021_luisa,F,0.0,0.0023,0.0131,-0.179,0.0,1.0
encanto_2021,encanto_2021_abuela_alma,F,0.0,0.0179,0.0334,-0.536,0.0,1.0
encanto_2021,encanto_2021_julieta,F,0.0,0.0021,0.0125,-0.17,0.0,1.0
encanto_2021,encanto_2021_antonio,M,0.0,0.018,0.0341,-0.528,0.0,1.0
encanto_2021,encanto_2021_kids_town,,0.0,0.0,0.0,,0.0,1.0
encanto_2021,encanto_2021_pepa,F,0.0,0.0338,0.0355,-0.951,0.0,1.0
encanto_2021,encanto_2021_mariano,M,0.0,0.0015,0.0106,-0.143,0.0,1.0
encanto_2021,encanto_2021_innocent_cecilia,F,0.0,0.0,0.0,,0.0,1.0
encanto_2021,encanto_2021_agustin,M,0.0,0.0,0.0,,0.0,1.0
encanto_2021,encanto_2021_dolores,F,0.0,0.0016,0.011,-0.148,0.0,1.0
