film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
encanto_2021,encanto_2021_mirabel,Mirabel,MIRABEL | MIRABEL (CONT'D) | MIRABEL (O.S.) | MIRABEL (PRELAP) | MIRABEL (V.O.) | YOUNG MIRABEL,6,220,205,15,4518,4310,208,encanto_2021_s001,2,
encanto_2021,encanto_2021_abuela_alma,Abuela Alma,ABUELA ALMA | ABUELA ALMA (CONT'D) | ABUELA ALMA (O.S.) | ABUELA ALMA (V.O.),4,75,74,1,1619,1611,8,encanto_2021_s001,1,
encanto_2021,encanto_2021_tio_bruno,Tio Bruno,TIO BRUNO | TIO BRUNO (CONT'D),2,54,54,0,1308,1308,0,encanto_2021_s038,446,
encanto_2021,encanto_2021_luisa,Luisa,LUISA | LUISA (CONT'D) | LUISA (O.S.),3,36,30,6,474,407,67,encanto_2021_s005,62,
encanto_2021,encanto_2021_isabela,Isabela,ISABELA | ISABELA (CONT'D) | ISABELA (O.S.),3,29,24,5,452,379,73,encanto_2021_s006,98,
encanto_2021,encanto_2021_julieta,Julieta,JULIETA | JULIETA (CONT'D) | JULIETA (O.S.),3,26,24,2,604,588,16,encanto_2021_s008,116,
encanto_2021,encanto_2021_pepa,Pepa,PEPA | PEPA (CONT'D) | PEPA (O.S.),3,26,22,4,480,435,45,encanto_2021_s006,101,
encanto_2021,encanto_2021_camilo,Camilo,CAMILO | CAMILO (AS FÉLIX) | CAMILO (CONT'D) | CAMILO (O.S.),4,14,14,0,338,338,0,encanto_2021_s007,104,
encanto_2021,encanto_2021_song,Song,SONG | SONG (CONT'D),2,14,14,0,517,517,0,encanto_2021_s052,641,
encanto_2021,encanto_2021_antonio,Antonio,ANTONIO | ANTONIO (CONT'D) | ANTONIO (O.S.),3,13,13,0,350,350,0,encanto_2021_s010,138,
encanto_2021,encanto_2021_dolores,Dolores,DOLORES | DOLORES (CONT'D),2,11,11,0,331,331,0,encanto_2021_s006,91,
encanto_2021,encanto_2021_mariano,Mariano,MARIANO | MARIANO (CONT'D) | MARIANO (O.S.),3,10,10,0,168,168,0,encanto_2021_s033,407,
encanto_2021,encanto_2021_kids_town,Kids/Town,KIDS/TOWN,1,9,9,0,21,21,0,encanto_2021_s005,67,
encanto_2021,encanto_2021_innocent_cecilia,Innocent Cecilia,INNOCENT CECILIA,1,7,7,0,120,120,0,encanto_2021_s005,33,
encanto_2021,encanto_2021_agustin,Agustin,AGUSTIN | AGUSTIN (O.S.),2,5,5,0,82,82,0,encanto_2021_s033,417,
encanto_2021,encanto_2021_alejandra,Alejandra,LITTLE ALEJANDRA,1,5,5,0,87,87,0,encanto_2021_s005,11,
encanto_2021,encanto_2021_abuela_guzman,Abuela Guzman,ABUELA GUZMAN | ABUELA GUZMAN (O.S.),2,4,4,0,131,131,0,encanto_2021_s033,403,
encanto_2021,encanto_2021_kids,Kids,KIDS,1,4,4,0,43,43,0,encanto_2021_s005,15,
encanto_2021,encanto_2021_pumped_juancho,Pumped Juancho,PUMPED JUANCHO,1,4,4,0,21,21,0,encanto_2021_s005,9,
encanto_2021,encanto_2021_under_the_surface,Under The Surface,UNDER THE SURFACE,1,4,4,0,63,63,0,encanto_2021_s022,271,
