film_id,parser_character_id,review_character_id,parser_canonical_name,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,gender,gender_rationale,is_named,is_protagonist,included_in_network,merge_into_character_id,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,review_notes
encanto_2021,encanto_2021_mirabel,encanto_2021_mirabel,Mirabel,Mirabel,MIRABEL | MIRABEL (CONT'D) | MIRABEL (O.S.) | MIRABEL (PRELAP) | MIRABEL (V.O.) | YOUNG MIRABEL,6,F,,1,1,1,,220,205,15,4518,4310,208,encanto_2021_s001,2,
encanto_2021,encanto_2021_abuela_alma,encanto_2021_abuela_alma,Abuela Alma,Abuela Alma,ABUELA ALMA | ABUELA ALMA (CONT'D) | ABUELA ALMA (O.S.) | ABUELA ALMA (V.O.),4,F,,1,0,1,,75,74,1,1619,1611,8,encanto_2021_s001,1,
encanto_2021,encanto_2021_tio_bruno,encanto_2021_tio_bruno,Tio Bruno,Tio Bruno,TIO BRUNO | TIO BRUNO (CONT'D),2,M,,1,0,1,,54,54,0,1308,1308,0,encanto_2021_s038,446,
encanto_2021,encanto_2021_luisa,encanto_2021_luisa,Luisa,Luisa,LUISA | LUISA (CONT'D) | LUISA (O.S.),3,F,,1,0,1,,36,30,6,474,407,67,encanto_2021_s005,62,
encanto_2021,encanto_2021_isabela,encanto_2021_isabela,Isabela,Isabela,ISABELA | ISABELA (CONT'D) | ISABELA (O.S.),3,F,,1,0,1,,29,24,5,452,379,73,encanto_2021_s006,98,
encanto_2021,encanto_2021_julieta,encanto_2021_julieta,Julieta,Julieta,JULIETA | JULIETA (CONT'D) | JULIETA (O.S.),3,F,,1,0,1,,26,24,2,604,588,16,encanto_2021_s008,116,
encanto_2021,encanto_2021_pepa,encanto_2021_pepa,Pepa,Pepa,PEPA | PEPA (CONT'D) | PEPA (O.S.),3,F,,1,0,1,,26,22,4,480,435,45,encanto_2021_s006,101,
encanto_2021,encanto_2021_camilo,encanto_2021_camilo,Camilo,Camilo,CAMILO | CAMILO (AS FÉLIX) | CAMILO (CONT'D) | CAMILO (O.S.),4,M,,1,0,1,,14,14,0,338,338,0,encanto_2021_s007,104,
encanto_2021,encanto_2021_antonio,encanto_2021_antonio,Antonio,Antonio,ANTONIO | ANTONIO (CONT'D) | ANTONIO (O.S.),3,M,,1,0,1,,13,13,0,350,350,0,encanto_2021_s010,138,
encanto_2021,encanto_2021_dolores,encanto_2021_dolores,Dolores,Dolores,DOLORES | DOLORES (CONT'D),2,F,,1,0,1,,11,11,0,331,331,0,encanto_2021_s006,91,
encanto_2021,encanto_2021_mariano,encanto_2021_mariano,Mariano,Mariano,MARIANO | MARIANO (CONT'D) | MARIANO (O.S.),3,M,,1,0,1,,10,10,0,168,168,0,encanto_2021_s033,407,
encanto_2021,encanto_2021_kids_town,encanto_2021_kids_town,Kids/Town,Kids/Town,KIDS/TOWN,1,Unknown,,0,0,1,,9,9,0,21,21,0,encanto_2021_s005,67,
encanto_2021,encanto_2021_innocent_cecilia,encanto_2021_innocent_cecilia,Innocent Cecilia,Innocent Cecilia,INNOCENT CECILIA,1,F,,1,0,1,,7,7,0,120,120,0,encanto_2021_s005,33,
encanto_2021,encanto_2021_agustin,encanto_2021_agustin,Agustin,Agustin,AGUSTIN | AGUSTIN (O.S.),2,M,,1,0,1,,5,5,0,82,82,0,encanto_2021_s033,417,
encanto_2021,encanto_2021_alejandra,encanto_2021_alejandra,Alejandra,Alejandra,LITTLE ALEJANDRA,1,F,,1,0,1,,5,5,0,87,87,0,encanto_2021_s005,11,
encanto_2021,encanto_2021_abuela_guzman,encanto_2021_abuela_guzman,Abuela Guzman,Abuela Guzman,ABUELA GUZMAN | ABUELA GUZMAN (O.S.),2,F,,1,0,0,,4,4,0,131,131,0,encanto_2021_s033,403,
encanto_2021,encanto_2021_kids,encanto_2021_kids,Kids,Kids,KIDS,1,Unknown,,0,0,0,,4,4,0,43,43,0,encanto_2021_s005,15,
encanto_2021,encanto_2021_pumped_juancho,encanto_2021_pumped_juancho,Pumped Juancho,Pumped Juancho,PUMPED JUANCHO,1,M,,1,0,0,,4,4,0,21,21,0,encanto_2021_s005,9,
encanto_2021,encanto_2021_donkey_delivery_guy,encanto_2021_donkey_delivery_guy,Donkey Delivery Guy,Donkey Delivery Guy,DONKEY DELIVERY GUY,1,M,,1,0,0,,2,2,0,66,66,0,encanto_2021_s006,93,
encanto_2021,encanto_2021_family,encanto_2021_family,Family,Family,FAMILY,1,Unknown,,0,0,0,,2,2,0,46,46,0,encanto_2021_s031,383,
encanto_2021,encanto_2021_isabela_mirabel,encanto_2021_isabela_mirabel,Isabela/Mirabel,Isabela/Mirabel,ISABELA/MIRABEL,1,F,,1,0,0,,2,2,0,43,43,0,encanto_2021_s044,576,
encanto_2021,encanto_2021_sr_rendon,encanto_2021_sr_rendon,Sr. Rendon,Sr. Rendon,SR. RENDON | SR. RENDON (O.S.),2,M,,1,0,0,,2,2,0,9,9,0,encanto_2021_s022,249,
encanto_2021,encanto_2021_townsfolk,encanto_2021_townsfolk,Townsfolk,Townsfolk,TOWNSFOLK,1,Both,,0,0,0,,2,2,0,7,7,0,encanto_2021_s005,59,
encanto_2021,encanto_2021_townspeople,encanto_2021_townspeople,Townspeople,Townspeople,TOWNSPEOPLE,1,Both,,0,0,0,,2,1,1,26,6,20,encanto_2021_s063,699,
encanto_2021,encanto_2021_abuela,encanto_2021_abuela,Abuela,Abuela,ABUELA (O.S.),1,F,,1,0,1,encanto_2021_abuela_alma,1,1,0,12,12,0,encanto_2021_s007,103,
encanto_2021,encanto_2021_abuela_alba,encanto_2021_abuela_alba,Abuela Alba,Abuela Alba,ABUELA ALBA,1,F,,1,0,0,,1,1,0,39,39,0,encanto_2021_s013,156,
encanto_2021,encanto_2021_abuela_mirabel,encanto_2021_abuela_mirabel,Abuela/Mirabel,Abuela/Mirabel,ABUELA/MIRABEL,1,F,,1,0,0,,1,1,0,8,8,0,encanto_2021_s063,681,
encanto_2021,encanto_2021_arturo,encanto_2021_arturo,Arturo,Arturo,OLD ARTURO,1,M,,1,0,0,,1,1,0,16,16,0,encanto_2021_s041,498,
encanto_2021,encanto_2021_crowd,encanto_2021_crowd,Crowd,Crowd,CROWD,1,Unknown,,0,0,0,,1,1,0,7,7,0,encanto_2021_s005,39,
encanto_2021,encanto_2021_dolores_camilo,encanto_2021_dolores_camilo,Dolores/Camilo,Dolores/Camilo,DOLORES/CAMILO,1,Both,,1,0,0,,1,1,0,36,36,0,encanto_2021_s031,370,
encanto_2021,encanto_2021_everyone,encanto_2021_everyone,Everyone,Everyone,EVERYONE,1,Both,,0,0,0,,1,1,0,48,48,0,encanto_2021_s033,405,
encanto_2021,encanto_2021_family_everyone,encanto_2021_family_everyone,Family / Everyone,Family / Everyone,FAMILY / EVERYONE,1,Both,,0,0,0,,1,1,0,45,45,0,encanto_2021_s014,170,
encanto_2021,encanto_2021_family_walla,encanto_2021_family_walla,Family Walla,Family Walla,FAMILY WALLA (O.S.),1,Both,,0,0,0,,1,1,0,55,55,0,encanto_2021_s047,629,
encanto_2021,encanto_2021_family_and_mirabel,encanto_2021_family_and_mirabel,Family... And Mirabel,Family... And Mirabel,FAMILY... AND MIRABEL,1,Both,,0,0,0,,1,1,0,3,3,0,encanto_2021_s064,732,
encanto_2021,encanto_2021_isabela_luisa,encanto_2021_isabela_luisa,Isabela/Luisa,Isabela/Luisa,ISABELA/LUISA,1,F,,1,0,0,,1,1,0,5,5,0,encanto_2021_s063,707,
encanto_2021,encanto_2021_isabela_luisa_mirabel_dolores,encanto_2021_isabela_luisa_mirabel_dolores,Isabela/Luisa/Mirabel/Dolores,Isabela/Luisa/Mirabel/Dolores,ISABELA/LUISA/MIRABEL/DOLORES,1,F,,1,0,0,,1,1,0,14,14,0,encanto_2021_s063,708,
encanto_2021,encanto_2021_julieta_mirabel,encanto_2021_julieta_mirabel,Julieta/Mirabel,Julieta/Mirabel,JULIETA/MIRABEL,1,F,,1,0,0,,1,1,0,6,6,0,encanto_2021_s063,709,
encanto_2021,encanto_2021_julieta_pepa,encanto_2021_julieta_pepa,Julieta/Pepa,Julieta/Pepa,JULIETA/PEPA,1,F,,1,0,0,,1,1,0,5,5,0,encanto_2021_s063,695,
encanto_2021,encanto_2021_luisa_isabela,encanto_2021_luisa_isabela,Luisa/Isabela,Luisa/Isabela,LUISA/ISABELA,1,F,,1,0,0,,1,0,1,7,0,7,encanto_2021_s063,724,
encanto_2021,encanto_2021_mirabel_family,encanto_2021_mirabel_family,Mirabel/ Family,Mirabel/ Family,MIRABEL/ FAMILY,1,Both,,1,0,0,,1,1,0,4,4,0,encanto_2021_s021,243,
encanto_2021,encanto_2021_mirabel_abuela_townspeople,encanto_2021_mirabel_abuela_townspeople,Mirabel/Abuela/Townspeople,Mirabel/Abuela/Townspeople,MIRABEL/ABUELA/TOWNSPEOPLE,1,Both,,1,0,0,,1,1,0,29,29,0,encanto_2021_s063,719,
encanto_2021,encanto_2021_mirabel_kids_town,encanto_2021_mirabel_kids_town,Mirabel/Kids/Town,Mirabel/Kids/Town,MIRABEL/KIDS/TOWN,1,Both,,1,0,0,,1,1,0,2,2,0,encanto_2021_s005,54,
encanto_2021,encanto_2021_osvaldo_orozco_ortiz,encanto_2021_osvaldo_orozco_ortiz,Osvaldo Orozco Ortiz,Osvaldo Orozco Ortiz,OSVALDO OROZCO ORTIZ,1,M,,1,0,0,,1,1,0,9,9,0,encanto_2021_s031,372,
encanto_2021,encanto_2021_prima_donna,encanto_2021_prima_donna,Prima Donna,Prima Donna,PRIMA DONNA,1,F,,1,0,0,,1,0,1,13,0,13,encanto_2021_s005,82,
encanto_2021,encanto_2021_sr_flores,encanto_2021_sr_flores,Sr. Flores,Sr. Flores,SR. FLORES,1,F,,1,0,0,,1,1,0,17,17,0,encanto_2021_s022,254,
encanto_2021,encanto_2021_sra_osma,encanto_2021_sra_osma,Sra. Osma,Sra. Osma,SRA. OSMA,1,F,,1,0,0,,1,1,0,6,6,0,encanto_2021_s022,247,
