speaker_clean,addressee_clean,utterance_count
encanto_2021_tio_bruno,encanto_2021_mirabel,39
encanto_2021_mirabel,encanto_2021_tio_bruno,34
encanto_2021_abuela_alma,encanto_2021_mirabel,33
encanto_2021_mirabel,encanto_2021_abuela_alma,27
encanto_2021_luisa,encanto_2021_mirabel,23
encanto_2021_julieta,encanto_2021_mirabel,19
encanto_2021_mirabel,encanto_2021_isabela,17
encanto_2021_mirabel,encanto_2021_luisa,16
encanto_2021_isabela,encanto_2021_mirabel,13
encanto_2021_mirabel,encanto_2021_antonio,10
encanto_2021_mirabel,encanto_2021_julieta,9
encanto_2021_kids_town,encanto_2021_mirabel,9
encanto_2021_pepa,encanto_2021_mirabel,6
encanto_2021_mirabel,encanto_2021_mariano,6
encanto_2021_innocent_cecilia,encanto_2021_mirabel,5
encanto_2021_mirabel,encanto_2021_agustin,5
encanto_2021_mirabel,encanto_2021_pepa,5
encanto_2021_mariano,encanto_2021_isabela,4
encanto_2021_antonio,encanto_2021_mirabel,3
encanto_2021_antonio,encanto_2021_tio_bruno,3
encanto_2021_dolores,encanto_2021_mirabel,3
encanto_2021_abuela_alma,encanto_2021_pepa,3
encanto_2021_mirabel,encanto_2021_dolores,3
