film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
encanto_2021,encanto_2021_s001,1,INT. CASA MADRIGAL - NURSERY - EVENING,slug_line,84,112,0.0,5,5,0
encanto_2021,encanto_2021_s002,2,INT. MIRABEL’S BEDROOM - DAWN,slug_line,113,129,0.0159,2,2,0
encanto_2021,encanto_2021_s003,3,INT. CASA MADRIGAL - VARIOUS INTERIORS,slug_line,130,134,0.0317,1,1,0
encanto_2021,encanto_2021_s004,4,EXT. TOWN OF ENCANTO - SAME TIME,slug_line,135,137,0.0476,0,0,0
encanto_2021,encanto_2021_s005,5,INT. CASA MADRIGAL - VARIOUS,slug_line,138,433,0.0635,79,65,14
encanto_2021,encanto_2021_s006,6,EXT. CASA MADRIGAL - FRONT YARD - LATE AFTERNOON,slug_line,434,490,0.0794,14,14,0
encanto_2021,encanto_2021_s007,7,EXT./INT. CASA MADRIGAL ENTRANCE - MOMENTS LATER,slug_line,491,552,0.0952,14,14,0
encanto_2021,encanto_2021_s008,8,INT. CASA MADRIGAL - KITCHEN - MOMENTS LATER,slug_line,553,614,0.1111,9,9,0
encanto_2021,encanto_2021_s009,9,EXT. CASA MADRIGAL - UPPER BALCONY - MOMENTS LATER,slug_line,615,674,0.127,11,11,0
encanto_2021,encanto_2021_s010,10,INT. NURSERY/MIRABEL’S BEDROOM - CONTINUOUS,slug_line,675,750,0.1429,12,12,0
encanto_2021,encanto_2021_s011,11,EXT. ENCANTO - DUSK - ESTABLISHING,slug_line,751,755,0.1587,0,0,0
encanto_2021,encanto_2021_s012,12,EXT. CASA MADRIGAL - FRONT DOOR - SAME,slug_line,756,772,0.1746,2,2,0
encanto_2021,encanto_2021_s013,13,INT. CASA MADRIGAL - FOYER - LATER,slug_line,773,874,0.1905,14,14,0
encanto_2021,encanto_2021_s014,14,INT. ANTONIO’S ROOM - CONTINUOUS,slug_line,875,1036,0.2063,32,27,5
encanto_2021,encanto_2021_s015,15,INT. ANTONIO’S RAINFOREST ROOM - MOMENTS LATER,slug_line,1037,1058,0.2222,3,3,0
