film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name,confidence
encanto_2021,1,encanto_2021_s001,encanto_2021_s001_u0001,0.0,ABUELA ALMA,ABUELA ALMA,encanto_2021_abuela_alma,Abuela Alma,"Tonight, this candle will give you your gift, mi vida. Strengthen our community, strengthen our home. Make your family proud.",20,spoken,encanto_2021_mirabel,individual,87,,standalone,F,,1,0,1,Abuela Alma,high
encanto_2021,2,encanto_2021_s001,encanto_2021_s001_u0002,0.0,YOUNG MIRABEL,YOUNG MIRABEL,encanto_2021_mirabel,Mirabel,"Make my family proud. Mirabel nods, solemn but bursting with pride. Abuela beams. As fireworks explode, the magical House knocks a CLOCK toward them, nudging that it’s time to start the ceremony.",32,spoken,encanto_2021_abuela_alma,individual,92,"(solemn, nodding)",standalone,F,,1,1,1,Mirabel,high
encanto_2021,3,encanto_2021_s001,encanto_2021_s001_u0003,0.0,ABUELA ALMA,ABUELA ALMA,encanto_2021_abuela_alma,Abuela Alma,"Yes, yes, Casita, we’re going. The House brings Mirabel her shoes. She giggles, then helps Abuela to the door, holding her hand, excited and nervous.",25,spoken,non_human,unclear,98,,standalone,F,,1,0,1,Abuela Alma,high
encanto_2021,4,encanto_2021_s001,encanto_2021_s001_u0004,0.0,YOUNG MIRABEL,YOUNG MIRABEL,encanto_2021_mirabel,Mirabel,"What do you think my gift will be? Abuela Alma bends down to Mirabel, full of love and pride.",19,spoken,encanto_2021_abuela_alma,individual,102,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,5,encanto_2021_s001,encanto_2021_s001_u0005,0.0,ABUELA ALMA,ABUELA ALMA,encanto_2021_abuela_alma,Abuela Alma,"You are a wonder, Mirabel Madrigal. Whatever gift awaits, will be just as special as you. On Mirabel’s face, we match to her standing in the courtyard as the curtain opens on her GIFT CEREMONY. As Mirabel stares at her undulating door, full of wonder, its glittering magic blooms brighter and brighter, and we transition to our title:",58,spoken,encanto_2021_mirabel,individual,105,,standalone,F,,1,0,1,Abuela Alma,high
encanto_2021,7,encanto_2021_s002,encanto_2021_s002_u0007,0.0159,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,Make your family proud.,4,spoken,group,unclear,128,,standalone,F,,1,1,1,Mirabel,medium
encanto_2021,8,encanto_2021_s003,encanto_2021_s003_u0008,0.0317,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,"Morning, Abuelo.",2,spoken,encanto_2021_abuela_alma,individual,133,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,9,encanto_2021_s005,encanto_2021_s005_u0009,0.0635,PUMPED JUANCHO,PUMPED JUANCHO,encanto_2021_pumped_juancho,Pumped Juancho,Hey! When’s the magic gift happen?!,6,spoken,encanto_2021_mirabel,individual,144,,standalone,M,,1,0,0,Pumped Juancho,high
encanto_2021,10,encanto_2021_s005,encanto_2021_s005_u0010,0.0635,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,"My cousin’s ceremony is tonight. She goes back to setting the table, but:",13,spoken,group,unclear,146,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,11,encanto_2021_s005,encanto_2021_s005_u0011,0.0635,LITTLE ALEJANDRA,LITTLE ALEJANDRA,encanto_2021_alejandra,Alejandra,What’s his gift?!,3,spoken,encanto_2021_mirabel,individual,149,,standalone,F,,1,0,1,Alejandra,high
encanto_2021,12,encanto_2021_s005,encanto_2021_s005_u0012,0.0635,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,We’re gonna find out.,4,spoken,group,unclear,151,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,13,encanto_2021_s005,encanto_2021_s005_u0013,0.0635,PUMPED JUANCHO,PUMPED JUANCHO,encanto_2021_pumped_juancho,Pumped Juancho,What’s your gift?!,3,spoken,encanto_2021_mirabel,individual,153,(MORE),standalone,M,,1,0,0,Pumped Juancho,high
encanto_2021,14,encanto_2021_s005,encanto_2021_s005_u0014,0.0635,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,Who’s asking?,2,song,encanto_2021_pumped_juancho,individual,156,"(working, playful teasing)",standalone,F,,1,1,1,Mirabel,high
encanto_2021,15,encanto_2021_s005,encanto_2021_s005_u0015,0.0635,KIDS,KIDS,encanto_2021_kids,Kids,Us!,1,spoken,encanto_2021_mirabel,individual,159,,standalone,Unknown,,0,0,0,Kids,high
encanto_2021,16,encanto_2021_s005,encanto_2021_s005_u0016,0.0635,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,"Well, “us,” I can’t just talk about myself... I’m only part of the amazing Madrigals.",15,spoken,group,unclear,161,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,17,encanto_2021_s005,encanto_2021_s005_u0017,0.0635,KIDS,KIDS,encanto_2021_kids,Kids,Who’s all the amazing Madrigals?,5,spoken,encanto_2021_mirabel,individual,165,,standalone,Unknown,,0,0,0,Kids,high
encanto_2021,18,encanto_2021_s005,encanto_2021_s005_u0018,0.0635,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,"Aw, you’re not gonna leave me alone, are you? Casita, help me out. AND THE MUSIC KICKS IN!",18,spoken,non_human,unclear,167,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,19,encanto_2021_s005,encanto_2021_s005_u0019,0.0635,MIRABEL,MIRABEL (CONT'D),encanto_2021_mirabel,Mirabel,Drawers. Floors. Doors -- Let’s goooo!,6,song,group,unclear,172,(House moves its drawers) | (House moves its floors) | (the magic doors glow) | (singing),standalone,F,,1,1,1,Mirabel,high
encanto_2021,22,encanto_2021_s005,encanto_2021_s005_u0022,0.0635,MIRABEL,MIRABEL (CONT'D),encanto_2021_mirabel,Mirabel,"THIS IS MY FAMILY,",4,spoken,group,unclear,186,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,25,encanto_2021_s005,encanto_2021_s005_u0025,0.0635,MIRABEL,MIRABEL (CONT'D),encanto_2021_mirabel,Mirabel,"WHOA, BUT LET’S BE CLEAR, ABUELA",6,spoken,encanto_2021_abuela_alma,individual,194,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,27,encanto_2021_s005,encanto_2021_s005_u0027,0.0635,MIRABEL,MIRABEL (CONT'D),encanto_2021_mirabel,Mirabel,"WHOA, AND EVERY YEAR OUR FAMILY BLESSINGS GROW! THERE’S JUST A LOT YOU’VE SIMPLY GOT TO KNOW, SO!",18,song,group,unclear,200,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,30,encanto_2021_s005,encanto_2021_s005_u0030,0.0635,KIDS,KIDS,encanto_2021_kids,Kids,"Oh my gosh, it’s them!/ What are the gifts?! / I can’t remember all the gifts/ Who is who?",19,spoken,encanto_2021_mirabel,individual,217,,standalone,Unknown,,0,0,0,Kids,high
encanto_2021,31,encanto_2021_s005,encanto_2021_s005_u0031,0.0635,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,"Alright, alright, relax.",3,spoken,group,unclear,221,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,32,encanto_2021_s005,encanto_2021_s005_u0032,0.0635,LITTLE ALEJANDRA,LITTLE ALEJANDRA,encanto_2021_alejandra,Alejandra,It is physically impossible to relax!,6,spoken,encanto_2021_mirabel,individual,223,,standalone,F,,1,0,1,Alejandra,high
encanto_2021,33,encanto_2021_s005,encanto_2021_s005_u0033,0.0635,INNOCENT CECILIA,INNOCENT CECILIA,encanto_2021_innocent_cecilia,Innocent Cecilia,Tell us everything! What are your powers?,7,spoken,encanto_2021_mirabel,individual,226,,standalone,F,,1,0,1,Innocent Cecilia,high
encanto_2021,34,encanto_2021_s005,encanto_2021_s005_u0034,0.0635,PUMPED JUANCHO,PUMPED JUANCHO,encanto_2021_pumped_juancho,Pumped Juancho,JUST TELL US WHAT EVERYONE CAN DO!,7,spoken,encanto_2021_mirabel,individual,229,,standalone,M,,1,0,0,Pumped Juancho,high
encanto_2021,35,encanto_2021_s005,encanto_2021_s005_u0035,0.0635,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,And that’s why coffee’s for grownups. Mirabel takes Juancho’s coffee cup and steps up to a MURAL of the Madrigal family.,21,spoken,group,unclear,231,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,38,encanto_2021_s005,encanto_2021_s005_u0038,0.0635,MIRABEL,MIRABEL (CONT'D),encanto_2021_mirabel,Mirabel,MY TIO BRUNO --,4,spoken,group,unclear,244,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,39,encanto_2021_s005,encanto_2021_s005_u0039,0.0635,CROWD,CROWD,encanto_2021_crowd,Crowd,-- WE DON’T TALK ABOUT BRUNO --,7,spoken,group,unclear,246,,standalone,Unknown,,0,0,0,Crowd,high
encanto_2021,40,encanto_2021_s005,encanto_2021_s005_u0040,0.0635,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,"THEY SAY HE SAW THE FUTURE,",6,spoken,group,unclear,248,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,42,encanto_2021_s005,encanto_2021_s005_u0042,0.0635,MIRABEL,MIRABEL (CONT'D),encanto_2021_mirabel,Mirabel,"OH, AND THAT’S MY MOM JULIETA, HERE’S HER DEAL. WHOA, THE TRUTH IS, SHE CAN HEAL",16,song,group,unclear,255,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,45,encanto_2021_s005,encanto_2021_s005_u0045,0.0635,MIRABEL,MIRABEL (CONT'D),encanto_2021_mirabel,Mirabel,"WELCOME TO THE FAMILY MADRIGAL! THE HOME OF THE FAMILY MADRIGAL! HEY COMING THROUGH! I KNOW IT SOUNDS A BIT FANTASTICAL AND MAGICAL, BUT I’M PART OF THE FAMILY MADRIGAL! Mirabel points out her dad, Agustín, and Tio Félix.",39,song,group,unclear,268,,standalone,F,,1,1,1,Mirabel,high
encanto_2021,47,encanto_2021_s005,encanto_2021_s005_u0047,0.0635,MIRABEL,MIRABEL,encanto_2021_mirabel,Mirabel,AND NOW THEY’RE PART OF THE FAMILY,7,spoken,group,unclear,280,,standalone,F,,1,1,1,Mirabel,high
