film_id,character,gender,betw_obs,null_mean,null_std,z_score,percentile,p_high
findingnemo,findingnemo_nemo,M,0.3714,0.4181,0.0793,-0.588,28.0,0.7201
findingnemo,findingnemo_marlin,M,0.3476,0.3932,0.0812,-0.561,29.4,0.7061
findingnemo,findingnemo_gill,M,0.0667,0.0973,0.0696,-0.44,35.6,0.6442
findingnemo,findingnemo_darla,F,0.0571,0.0154,0.0297,1.407,93.8,0.063
findingnemo,findingnemo_dory,F,0.0524,0.0686,0.063,-0.257,51.2,0.4888
findingnemo,findingnemo_dentist,M,0.031,0.0307,0.0447,0.005,59.0,0.4103
findingnemo,findingnemo_bruce,M,0.0286,0.0504,0.0538,-0.406,37.9,0.6212
findingnemo,findingnemo_crush,M,0.0,0.0151,0.0287,-0.527,0.0,1.0
findingnemo,findingnemo_coral,F,0.0,0.0171,0.0333,-0.514,0.0,1.0
findingnemo,findingnemo_nigel,M,0.0,0.0955,0.0704,-1.357,0.0,1.0
findingnemo,findingnemo_peach,F,0.0,0.1349,0.0781,-1.727,0.0,1.0
findingnemo,findingnemo_bloat,M,0.0,0.0657,0.0605,-1.086,0.0,1.0
findingnemo,findingnemo_gurgle,M,0.0,0.0906,0.0699,-1.297,0.0,1.0
findingnemo,findingnemo_bob,M,0.0,0.0168,0.0322,-0.523,0.0,1.0
findingnemo,findingnemo_deb,F,0.0,0.0,0.0,,0.0,1.0
findingnemo,findingnemo_anchor,M,0.0,0.0,0.0,,0.0,1.0
findingnemo,findingnemo_barbara,F,0.0,0.0163,0.0314,-0.52,0.0,1.0
findingnemo,findingnemo_chum,M,0.0,0.0,0.0,,0.0,1.0
findingnemo,findingnemo_mr_ray,M,0.0,0.0167,0.0313,-0.534,0.0,1.0
findingnemo,findingnemo_bubbles,M,0.0,0.0,0.0,,0.0,1.0
findingnemo,findingnemo_squirt,M,0.0,0.0172,0.0319,-0.54,0.0,1.0
findingnemo,findingnemo_jacques,M,0.0,0.0514,0.0563,-0.912,0.0,1.0
