film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
findingnemo,findingnemo_marlin,Marlin,MARLIN,1,366,366,0,3322,3322,0,findingnemo_s001,1,
findingnemo,findingnemo_dory,Dory,DORY,1,248,248,0,1808,1808,0,findingnemo_s004,203,
findingnemo,findingnemo_nemo,Nemo,NEMO,1,153,153,0,647,647,0,findingnemo_s002,40,
findingnemo,findingnemo_gill,Gill,GILL,1,89,89,0,760,760,0,findingnemo_s006,440,
findingnemo,findingnemo_bloat,Bloat,BLOAT,1,42,42,0,469,469,0,findingnemo_s006,373,
findingnemo,findingnemo_gurgle,Gurgle,GURGLE,1,39,39,0,194,194,0,findingnemo_s006,379,
findingnemo,findingnemo_peach,Peach,PEACH,1,39,39,0,291,291,0,findingnemo_s006,369,
findingnemo,findingnemo_bruce,Bruce,BRUCE,1,38,38,0,280,280,0,findingnemo_s004,238,
findingnemo,findingnemo_nigel,Nigel,NIGEL,1,35,35,0,426,426,0,findingnemo_s006,421,
findingnemo,findingnemo_crush,Crush,CRUSH,1,29,29,0,272,272,0,findingnemo_s011,770,
findingnemo,findingnemo_dentist,Dentist,DENTIST,1,29,29,0,324,324,0,findingnemo_s006,360,
findingnemo,findingnemo_deb,Deb,DEB,1,24,24,0,120,120,0,findingnemo_s006,374,
findingnemo,findingnemo_mr_ray,Mr. Ray,MR. RAY,1,21,21,0,320,320,0,findingnemo_s003,121,
findingnemo,findingnemo_chum,Chum,CHUM,1,18,18,0,126,126,0,findingnemo_s004,255,
findingnemo,findingnemo_coral,Coral,CORAL,1,17,17,0,128,128,0,findingnemo_s001,2,
findingnemo,findingnemo_moonfish_leader,Moonfish Leader,MOONFISH LEADER,1,16,16,0,188,188,0,findingnemo_s009,594,
findingnemo,findingnemo_darla,Darla,DARLA,1,15,15,0,52,52,0,findingnemo_s019,1177,
findingnemo,findingnemo_anchor,Anchor,ANCHOR,1,14,14,0,64,64,0,findingnemo_s004,252,
findingnemo,findingnemo_bubbles,Bubbles,BUBBLES,1,14,14,0,47,47,0,findingnemo_s006,368,
findingnemo,findingnemo_squirt,Squirt,SQUIRT,1,12,12,0,92,92,0,findingnemo_s011,799,
findingnemo,findingnemo_crab,Crab,CRAB | CRAB 1 | CRAB 2,3,11,11,0,85,85,0,findingnemo_s011,860,
findingnemo,findingnemo_jacques,Jacques,JACQUES,1,11,11,0,25,25,0,findingnemo_s006,371,
findingnemo,findingnemo_bob,Bob,BOB,1,10,10,0,56,56,0,findingnemo_s003,93,
findingnemo,findingnemo_tad,Tad,TAD,1,9,9,0,51,51,0,findingnemo_s003,113,
findingnemo,findingnemo_gulls,Gulls,GULLS,1,8,8,0,45,45,0,findingnemo_s011,851,
findingnemo,findingnemo_marlin_dory,Marlin/Dory,MARLIN/DORY,1,7,7,0,13,13,0,findingnemo_s005,332,
