speaker_clean,addressee_clean,utterance_count
findingnemo_marlin,findingnemo_dory,105
findingnemo_dory,findingnemo_marlin,89
findingnemo_marlin,findingnemo_nemo,57
findingnemo_gill,findingnemo_nemo,55
findingnemo_nemo,findingnemo_marlin,55
findingnemo_nemo,findingnemo_gill,33
findingnemo_crush,findingnemo_marlin,22
findingnemo_marlin,findingnemo_coral,18
findingnemo_marlin,findingnemo_crush,18
findingnemo_coral,findingnemo_marlin,17
findingnemo_nemo,findingnemo_dory,11
findingnemo_dory,findingnemo_nemo,9
findingnemo_nigel,findingnemo_nemo,8
findingnemo_bob,findingnemo_marlin,8
findingnemo_gurgle,findingnemo_nemo,8
findingnemo_peach,findingnemo_gill,8
findingnemo_bloat,findingnemo_nemo,8
findingnemo_anchor,findingnemo_bruce,7
findingnemo_deb,findingnemo_nemo,7
findingnemo_dentist,findingnemo_barbara,7
findingnemo_gill,findingnemo_peach,7
findingnemo_dentist,findingnemo_darla,7
findingnemo_chum,findingnemo_bruce,6
findingnemo_nemo,findingnemo_nigel,6
findingnemo_marlin,findingnemo_nigel,6
findingnemo_nigel,findingnemo_marlin,5
findingnemo_nemo,findingnemo_mr_ray,5
findingnemo_bruce,findingnemo_dory,5
findingnemo_bloat,findingnemo_peach,5
findingnemo_gurgle,findingnemo_bloat,5
findingnemo_peach,findingnemo_nigel,4
findingnemo_marlin,findingnemo_bob,4
findingnemo_bubbles,findingnemo_nemo,4
findingnemo_barbara,findingnemo_dentist,4
findingnemo_bruce,findingnemo_marlin,4
findingnemo_squirt,findingnemo_marlin,4
findingnemo_peach,findingnemo_nemo,4
findingnemo_mr_ray,findingnemo_nemo,4
findingnemo_jacques,findingnemo_gill,4
findingnemo_jacques,findingnemo_nemo,4
findingnemo_bloat,findingnemo_gill,3
findingnemo_chum,findingnemo_marlin,3
findingnemo_bloat,findingnemo_gurgle,3
findingnemo_deb,findingnemo_peach,3
findingnemo_darla,findingnemo_nemo,3
findingnemo_gurgle,findingnemo_gill,3
findingnemo_gurgle,findingnemo_jacques,3
findingnemo_gurgle,findingnemo_peach,3
findingnemo_marlin,findingnemo_squirt,3
findingnemo_nemo,findingnemo_jacques,3
findingnemo_nigel,findingnemo_peach,3
