film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
findingnemo,findingnemo_s001,1,======================================================================================,separator_line,46,221,0.0,39,39,0
findingnemo,findingnemo_s002,2,======================================================================================,separator_line,222,364,0.0417,33,33,0
findingnemo,findingnemo_s003,3,======================================================================================,separator_line,365,728,0.0833,80,80,0
findingnemo,findingnemo_s004,4,======================================================================================,separator_line,729,1210,0.125,105,105,0
findingnemo,findingnemo_s005,5,======================================================================================,separator_line,1211,1636,0.1667,101,101,0
findingnemo,findingnemo_s006,6,======================================================================================,separator_line,1637,2064,0.2083,100,100,0
findingnemo,findingnemo_s007,7,======================================================================================,separator_line,2065,2375,0.25,73,73,0
findingnemo,findingnemo_s008,8,======================================================================================,separator_line,2376,2583,0.2917,44,44,0
findingnemo,findingnemo_s009,9,======================================================================================,separator_line,2584,3211,0.3333,141,141,0
findingnemo,findingnemo_s010,10,======================================================================================,separator_line,3212,3439,0.375,53,53,0
findingnemo,findingnemo_s011,11,======================================================================================,separator_line,3440,3845,0.4167,94,94,0
findingnemo,findingnemo_s012,12,======================================================================================,separator_line,3846,4136,0.4583,61,61,0
findingnemo,findingnemo_s013,13,======================================================================================,separator_line,4137,4277,0.5,32,32,0
findingnemo,findingnemo_s014,14,======================================================================================,separator_line,4278,4540,0.5417,57,57,0
findingnemo,findingnemo_s015,15,======================================================================================,separator_line,4541,4643,0.5833,24,24,0
findingnemo,findingnemo_s016,16,======================================================================================,separator_line,4644,4883,0.625,56,56,0
findingnemo,findingnemo_s017,17,======================================================================================,separator_line,4884,5075,0.6667,42,42,0
findingnemo,findingnemo_s018,18,======================================================================================,separator_line,5076,5242,0.7083,40,40,0
findingnemo,findingnemo_s019,19,======================================================================================,separator_line,5243,5519,0.75,68,68,0
findingnemo,findingnemo_s020,20,======================================================================================,separator_line,5520,5557,0.7917,7,7,0
findingnemo,findingnemo_s021,21,======================================================================================,separator_line,5558,5642,0.8333,20,20,0
findingnemo,findingnemo_s022,22,======================================================================================,separator_line,5643,5733,0.875,21,21,0
findingnemo,findingnemo_s023,23,======================================================================================,separator_line,5734,6048,0.9167,76,76,0
findingnemo,findingnemo_s024,24,======================================================================================,separator_line,6049,6202,0.9583,36,36,0
findingnemo,findingnemo_s025,25,======================================================================================,separator_line,6203,6299,1.0,12,12,0
