film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
frozen_2013,frozen_2013_anna,Anna,ANNA | ANNA (9) | ANNA (CONT'D) | ANNA (O.S.) | ANNA(CONT'D) | TEEN ANNA | YOUNG ANNA | YOUNG ANNA (CONT'D),8,329,310,19,2291,1869,422,frozen_2013_s003,9,
frozen_2013,frozen_2013_kristoff,Kristoff,KRISTOFF | KRISTOFF (CONT'D) | KRISTOFF(CONT'D) | YOUNG KRISTOFF,4,169,168,1,1046,978,68,frozen_2013_s008,32,
frozen_2013,frozen_2013_elsa,Elsa,ELSA | ELSA (12) | ELSA (CONT'D) | ELSA (O.S.) | TEEN ELSA | YOUNG ELSA | YOUNG ELSA (CONT'D) | YOUNG ELSA (O.S.),8,110,92,18,815,440,375,frozen_2013_s003,11,
frozen_2013,frozen_2013_olaf,Olaf,OLAF | OLAF (CONT'D) | OLAF (O.S.),3,107,97,10,961,773,188,frozen_2013_s033,445,
frozen_2013,frozen_2013_hans,Hans,HANS | HANS (CONT'D),2,87,85,2,615,587,28,frozen_2013_s015,111,
frozen_2013,frozen_2013_duke,Duke,DUKE | DUKE (CONT'D) | DUKE (O.S.),3,29,29,0,339,339,0,frozen_2013_s013,79,
frozen_2013,frozen_2013_oaken,Oaken,OAKEN | OAKEN (CONT'D) | OAKEN (O.S.),3,13,13,0,140,140,0,frozen_2013_s026,326,
frozen_2013,frozen_2013_both,Both,BOTH | BOTH (CONT'D),2,12,8,4,83,46,37,frozen_2013_s018,195,
frozen_2013,frozen_2013_kai,Kai,KAI | KAI (CONT'D) | KAI (O.S.),3,12,12,0,74,74,0,frozen_2013_s014,82,
frozen_2013,frozen_2013_king,King,KING | KING (CONT'D),2,11,11,0,66,66,0,frozen_2013_s005,27,
frozen_2013,frozen_2013_trolls,Trolls,TROLLS | TROLLS (TOGETHER) | TROLLS (VARIOUS),3,11,4,7,320,19,301,frozen_2013_s041,737,
frozen_2013,frozen_2013_bulda,Bulda,BULDA | BULDA (CONT'D),2,8,8,0,62,62,0,frozen_2013_s010,36,
frozen_2013,frozen_2013_grand_pabbie,Grand Pabbie,GRAND PABBIE | GRAND PABBIE (CONT'D),2,8,8,0,111,111,0,frozen_2013_s010,38,
frozen_2013,frozen_2013_ice_harvesters,Ice Harvesters,ICE HARVESTERS | ICE HARVESTERS (CONT'D),2,8,1,7,141,8,133,frozen_2013_s001,1,
frozen_2013,frozen_2013_gerda,Gerda,GERDA,1,4,4,0,29,29,0,frozen_2013_s034,513,
frozen_2013,frozen_2013_spanish_dignitary,Spanish Dignitary,SPANISH DIGNITARY,1,4,4,0,25,25,0,frozen_2013_s013,81,
frozen_2013,frozen_2013_bishop,Bishop,BISHOP | BISHOP (CONT'D),2,3,3,0,27,27,0,frozen_2013_s016,130,
frozen_2013,frozen_2013_citizen_one,Citizen One,CITIZEN ONE,1,3,3,0,18,18,0,frozen_2013_s034,507,
frozen_2013,frozen_2013_crowd,Crowd,CROWD,1,3,3,0,29,29,0,frozen_2013_s016,133,
frozen_2013,frozen_2013_marshmallow,Marshmallow,MARSHMALLOW,1,3,3,0,7,7,0,frozen_2013_s039,640,
frozen_2013,frozen_2013_pabbie,Pabbie,PABBIE | PABBIE (CONT'D),2,3,3,0,24,24,0,frozen_2013_s010,46,
frozen_2013,frozen_2013_boy,Boy,BOY,1,2,2,0,11,11,0,frozen_2013_s013,71,
frozen_2013,frozen_2013_citizen_two,Citizen Two,CITIZEN TWO,1,2,2,0,6,6,0,frozen_2013_s034,508,
frozen_2013,frozen_2013_french_dignitary,French Dignitary,FRENCH DIGNITARY,1,2,2,0,27,27,0,frozen_2013_s048,826,
frozen_2013,frozen_2013_guard,Guard,GUARD | GUARD (O.S.),2,2,2,0,10,10,0,frozen_2013_s047,815,
frozen_2013,frozen_2013_kid_troll,Kid Troll,KID TROLL,1,2,0,2,19,0,19,frozen_2013_s041,762,
frozen_2013,frozen_2013_queen,Queen,QUEEN,1,2,2,0,4,4,0,frozen_2013_s005,28,
frozen_2013,frozen_2013_troll_priest,Troll Priest,TROLL PRIEST,1,2,2,0,13,13,0,frozen_2013_s041,774,
frozen_2013,frozen_2013_aggie,Aggie,AGGIE,1,1,1,0,7,7,0,frozen_2013_s013,78,
frozen_2013,frozen_2013_all_trolls,All Trolls,ALL TROLLS,1,1,0,1,27,0,27,frozen_2013_s041,772,
frozen_2013,frozen_2013_anna_and_elsa,Anna And Elsa,ANNA AND ELSA (TOGETHER),1,1,1,0,1,1,0,frozen_2013_s017,145,
frozen_2013,frozen_2013_anna_hans,Anna/Hans,ANNA/HANS,1,1,1,0,2,2,0,frozen_2013_s019,237,
frozen_2013,frozen_2013_bowing_townsman,Bowing Townsman,BOWING TOWNSMAN,1,1,1,0,2,2,0,frozen_2013_s020,271,
frozen_2013,frozen_2013_crowd_wallah,Crowd Wallah,CROWD WALLAH,1,1,1,0,3,3,0,frozen_2013_s021,282,
frozen_2013,frozen_2013_dock_master,Dock Master,DOCK MASTER,1,1,1,0,3,3,0,frozen_2013_s013,70,
frozen_2013,frozen_2013_duke_s_thug,Duke'S Thug,DUKE'S THUG,1,1,1,0,2,2,0,frozen_2013_s042,796,
frozen_2013,frozen_2013_elsa_king,Elsa & King,YOUNG ELSA & KING,1,1,1,0,4,4,0,frozen_2013_s012,60,
frozen_2013,frozen_2013_girl_trolls,Girl Trolls,GIRL TROLLS,1,1,1,0,7,7,0,frozen_2013_s041,770,
frozen_2013,frozen_2013_irishman,Irishman,IRISHMAN,1,1,1,0,18,18,0,frozen_2013_s013,80,
frozen_2013,frozen_2013_kidney_stone_troll,Kidney Stone Troll,KIDNEY STONE TROLL,1,1,1,0,5,5,0,frozen_2013_s041,746,
frozen_2013,frozen_2013_mother,Mother,MOTHER,1,1,1,0,10,10,0,frozen_2013_s013,72,
frozen_2013,frozen_2013_mushroom_kid_troll,Mushroom Kid Troll,MUSHROOM KID TROLL,1,1,1,0,8,8,0,frozen_2013_s041,744,
frozen_2013,frozen_2013_naked_family,Naked Family,NAKED FAMILY,1,1,1,0,2,2,0,frozen_2013_s026,346,
frozen_2013,frozen_2013_olaf_and_kristoff,Olaf And Kristoff,OLAF AND KRISTOFF,1,1,1,0,1,1,0,frozen_2013_s037,572,
frozen_2013,frozen_2013_persi,Persi,PERSI,1,1,1,0,9,9,0,frozen_2013_s013,77,
frozen_2013,frozen_2013_pick_me_up_troll,Pick Me Up Troll,PICK ME UP TROLL,1,1,1,0,3,3,0,frozen_2013_s041,747,
frozen_2013,frozen_2013_thug,Thug,THUG,1,1,1,0,4,4,0,frozen_2013_s043,799,
frozen_2013,frozen_2013_townswoman,Townswoman,TOWNSWOMAN (O.S.),1,1,1,0,3,3,0,frozen_2013_s046,814,
frozen_2013,frozen_2013_townswoman_with_baby,Townswoman With Baby,TOWNSWOMAN WITH BABY,1,1,1,0,6,6,0,frozen_2013_s020,272,
frozen_2013,frozen_2013_troll_one,Troll One,TROLL ONE,1,1,1,0,5,5,0,frozen_2013_s041,740,
