speaker_clean,addressee_clean,utterance_count
frozen_2013_kristoff,frozen_2013_anna,103
frozen_2013_anna,frozen_2013_kristoff,101
frozen_2013_anna,frozen_2013_elsa,78
frozen_2013_elsa,frozen_2013_anna,60
frozen_2013_anna,frozen_2013_hans,54
frozen_2013_hans,frozen_2013_anna,54
frozen_2013_olaf,frozen_2013_anna,31
frozen_2013_anna,frozen_2013_olaf,27
frozen_2013_hans,frozen_2013_elsa,13
frozen_2013_duke,frozen_2013_anna,10
frozen_2013_olaf,frozen_2013_kristoff,10
frozen_2013_kristoff,frozen_2013_olaf,9
frozen_2013_elsa,frozen_2013_hans,7
frozen_2013_oaken,frozen_2013_kristoff,6
frozen_2013_anna,frozen_2013_kai,6
frozen_2013_anna,frozen_2013_duke,6
frozen_2013_king,frozen_2013_elsa,6
frozen_2013_duke,frozen_2013_hans,5
frozen_2013_hans,frozen_2013_duke,5
frozen_2013_kai,frozen_2013_anna,5
frozen_2013_duke,frozen_2013_elsa,4
frozen_2013_elsa,frozen_2013_olaf,4
frozen_2013_elsa,frozen_2013_duke,4
frozen_2013_kristoff,frozen_2013_oaken,4
frozen_2013_bulda,frozen_2013_anna,3
frozen_2013_grand_pabbie,frozen_2013_king,3
frozen_2013_elsa,frozen_2013_king,3
