character,name,betweenness,degree_centrality,in_degree,out_degree,clustering
frozen_2013_anna,Anna,0.7333,1.3,7,6,0.0533
frozen_2013_elsa,Elsa,0.2444,0.9,4,5,0.0734
frozen_2013_kristoff,Kristoff,0.1778,0.6,3,3,0.104
frozen_2013_king,King,0.0889,0.3,2,1,0.0
frozen_2013_bulda,Bulda,0.0,0.1,0,1,0.0
frozen_2013_duke,Duke,0.0,0.6,3,3,0.1112
frozen_2013_grand_pabbie,Grand Pabbie,0.0,0.1,0,1,0.0
frozen_2013_kai,Kai,0.0,0.2,1,1,0.0
frozen_2013_hans,Hans,0.0,0.6,3,3,0.1819
frozen_2013_oaken,Oaken,0.0,0.2,1,1,0.0
frozen_2013_olaf,Olaf,0.0,0.5,3,2,0.1684
