film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
frozen_2013,frozen_2013_s001,1,EXT. SNOW-CAPPED MOUNTAINS -- DUSK,slug_line,16,92,0.0,8,1,7
frozen_2013,frozen_2013_s002,2,EXT. THE KINGDOM OF ARENDELLE -- NIGHT,slug_line,93,97,0.0169,0,0,0
frozen_2013,frozen_2013_s003,3,"INT. CASTLE, NURSERY -- NIGHT",slug_line,98,138,0.0339,6,6,0
frozen_2013,frozen_2013_s004,4,INT. CASTLE STAIRCASE -- NIGHT,slug_line,139,148,0.0508,1,1,0
frozen_2013,frozen_2013_s005,5,INT. BALLROOM -- NIGHT,slug_line,149,255,0.0678,16,16,0
frozen_2013,frozen_2013_s006,6,INT. DARK ROOM -- NIGHT,slug_line,256,262,0.0847,0,0,0
frozen_2013,frozen_2013_s007,7,EXT. ARENDELLE -- NIGHT,slug_line,263,269,0.1017,0,0,0
frozen_2013,frozen_2013_s008,8,EXT. FJORD MOUNTAIN FOREST -- NIGHT,slug_line,270,281,0.1186,1,1,0
frozen_2013,frozen_2013_s009,9,EXT. BLACK MOUNTAINS -- NIGHT,slug_line,282,289,0.1356,1,1,0
frozen_2013,frozen_2013_s010,10,EXT. THE VALLEY OF THE LIVING ROCK -- NIGHT,slug_line,290,422,0.1525,16,16,0
frozen_2013,frozen_2013_s011,11,INT. CASTLE WINDOW -- DAY,slug_line,423,429,0.1695,0,0,0
frozen_2013,frozen_2013_s012,12,"INT. HALLWAY, ELSA'S DOOR -- DAY",slug_line,430,613,0.1864,20,15,5
frozen_2013,frozen_2013_s013,13,EXT. THE KINGDOM OF ARENDELLE -- MORNING,slug_line,614,702,0.2034,12,12,0
frozen_2013,frozen_2013_s014,14,"INT. CASTLE, ANNA'S BEDROOM -- DAY",slug_line,703,751,0.2203,10,10,0
frozen_2013,frozen_2013_s015,15,EXT. CASTLE HALL -- DAY,slug_line,752,1029,0.2373,38,27,11
frozen_2013,frozen_2013_s016,16,INT. CHURCH CHAPEL -- DAY,slug_line,1030,1070,0.2542,4,4,0
frozen_2013,frozen_2013_s017,17,INT. GREAT HALL -- NIGHT,slug_line,1071,1325,0.2712,46,46,0
frozen_2013,frozen_2013_s018,18,EXT. BALCONY -- NIGHT,slug_line,1326,1543,0.2881,51,44,7
frozen_2013,frozen_2013_s019,19,INT. BALL -- NIGHT,slug_line,1544,1724,0.3051,39,39,0
