film_id,character,gender,betw_obs,null_mean,null_std,z_score,percentile,p_high
incredibles_2_2018,incredibles_2_2018_bob,M,0.7115,0.5243,0.0899,2.083,98.4,0.016
incredibles_2_2018,incredibles_2_2018_elastigirl,F,0.5577,0.3917,0.1031,1.61,93.8,0.063
incredibles_2_2018,incredibles_2_2018_violet,F,0.1346,0.1408,0.0932,-0.067,50.6,0.4948
incredibles_2_2018,incredibles_2_2018_evelyn,F,0.0,0.0667,0.0716,-0.931,0.0,1.0
incredibles_2_2018,incredibles_2_2018_dash,M,0.0,0.0878,0.0831,-1.057,0.0,1.0
incredibles_2_2018,incredibles_2_2018_edna,F,0.0,0.008,0.0287,-0.28,0.0,1.0
incredibles_2_2018,incredibles_2_2018_frozone,M,0.0,0.0293,0.0526,-0.556,0.0,1.0
incredibles_2_2018,incredibles_2_2018_winston,M,0.0,0.0939,0.0819,-1.146,0.0,1.0
incredibles_2_2018,incredibles_2_2018_tony,M,0.0,0.0454,0.0609,-0.746,0.0,1.0
incredibles_2_2018,incredibles_2_2018_rick,M,0.0,0.03,0.0535,-0.561,0.0,1.0
incredibles_2_2018,incredibles_2_2018_voyd,F,0.0,0.0084,0.0285,-0.297,0.0,1.0
incredibles_2_2018,incredibles_2_2018_chad,M,0.0,0.0076,0.0275,-0.276,0.0,1.0
incredibles_2_2018,incredibles_2_2018_jack_jack,M,0.0,0.0288,0.0518,-0.556,0.0,1.0
incredibles_2_2018,incredibles_2_2018_ambassador,F,0.0,0.0,0.0,,0.0,1.0
