film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
incredibles_2_2018,incredibles_2_2018_bob,Bob,Bob,1,182,181,1,1877,1850,27,incredibles_2_2018_s002,78,
incredibles_2_2018,incredibles_2_2018_elastigirl,Elastigirl,Elastigirl,1,129,129,0,1296,1296,0,incredibles_2_2018_s001,16,
incredibles_2_2018,incredibles_2_2018_violet,Violet,Violet,1,127,124,3,1248,1233,15,incredibles_2_2018_s001,6,
incredibles_2_2018,incredibles_2_2018_dash,Dash,Dash,1,100,100,0,538,538,0,incredibles_2_2018_s001,22,
incredibles_2_2018,incredibles_2_2018_evelyn,Evelyn,Evelyn,1,96,95,1,951,948,3,incredibles_2_2018_s006,196,
incredibles_2_2018,incredibles_2_2018_helen,Helen,Helen,1,75,75,0,778,778,0,incredibles_2_2018_s003,86,
incredibles_2_2018,incredibles_2_2018_winston,Winston,Winston,1,59,59,0,1244,1244,0,incredibles_2_2018_s001,59,
incredibles_2_2018,incredibles_2_2018_mr_incredible,Mr. Incredible,Mr. Incredible,1,52,51,1,526,520,6,incredibles_2_2018_s001,15,
incredibles_2_2018,incredibles_2_2018_tony,Tony,Tony,1,30,29,1,312,309,3,incredibles_2_2018_s001,4,
incredibles_2_2018,incredibles_2_2018_lucius,Lucius,Lucius,1,23,23,0,276,276,0,incredibles_2_2018_s005,156,
incredibles_2_2018,incredibles_2_2018_frozone,Frozone,Frozone,1,22,22,0,180,180,0,incredibles_2_2018_s001,68,
incredibles_2_2018,incredibles_2_2018_edna,Edna,Edna,1,17,16,1,513,483,30,incredibles_2_2018_s023,687,
incredibles_2_2018,incredibles_2_2018_voyd,Voyd,Voyd,1,17,17,0,178,178,0,incredibles_2_2018_s019,490,
incredibles_2_2018,incredibles_2_2018_rick,Rick,Rick,1,14,14,0,186,186,0,incredibles_2_2018_s001,3,
incredibles_2_2018,incredibles_2_2018_chad,Chad,Chad,1,13,13,0,264,264,0,incredibles_2_2018_s017,421,
incredibles_2_2018,incredibles_2_2018_ambassador,Ambassador,Ambassador,1,10,10,0,84,84,0,incredibles_2_2018_s017,422,
incredibles_2_2018,incredibles_2_2018_jack_jack,Jack-Jack,Jack-Jack,1,9,9,0,19,19,0,incredibles_2_2018_s004,117,
incredibles_2_2018,incredibles_2_2018_underminer,Underminer,Underminer,1,7,7,0,136,136,0,incredibles_2_2018_s001,12,
incredibles_2_2018,incredibles_2_2018_man,Man,Man,1,6,6,0,36,36,0,incredibles_2_2018_s006,181,
incredibles_2_2018,incredibles_2_2018_screenslaver,Screenslaver,Screenslaver,1,5,5,0,204,204,0,incredibles_2_2018_s017,447,
incredibles_2_2018,incredibles_2_2018_tommy,Tommy,Tommy,1,4,4,0,24,24,0,incredibles_2_2018_s001,67,
incredibles_2_2018,incredibles_2_2018_brick,Brick,Brick,1,3,3,0,6,6,0,incredibles_2_2018_s019,499,
incredibles_2_2018,incredibles_2_2018_crew_member,Crew Member,Crew member,1,3,2,1,13,10,3,incredibles_2_2018_s034,922,
incredibles_2_2018,incredibles_2_2018_dispatcher,Dispatcher,Dispatcher,1,3,3,0,22,22,0,incredibles_2_2018_s011,325,
incredibles_2_2018,incredibles_2_2018_jonny_quest,Jonny Quest,Jonny Quest,1,3,3,0,17,17,0,incredibles_2_2018_s027,744,
incredibles_2_2018,incredibles_2_2018_krushauer,Krushauer,Krushauer,1,3,3,0,23,23,0,incredibles_2_2018_s036,978,
incredibles_2_2018,incredibles_2_2018_mayor,Mayor,Mayor,1,3,3,0,58,58,0,incredibles_2_2018_s013,343,
incredibles_2_2018,incredibles_2_2018_bodyguard,Bodyguard,Bodyguard,1,2,2,0,11,11,0,incredibles_2_2018_s017,428,
incredibles_2_2018,incredibles_2_2018_both,Both,Both,1,2,2,0,7,7,0,incredibles_2_2018_s005,154,
incredibles_2_2018,incredibles_2_2018_buyer,Buyer,Buyer,1,2,2,0,26,26,0,incredibles_2_2018_s022,607,
incredibles_2_2018,incredibles_2_2018_dr_quest,Dr. Quest,Dr. Quest,1,2,2,0,9,9,0,incredibles_2_2018_s027,745,
incredibles_2_2018,incredibles_2_2018_news_anchor,News Anchor,News anchor,1,2,2,0,26,26,0,incredibles_2_2018_s022,606,
incredibles_2_2018,incredibles_2_2018_officer,Officer,Officer,1,2,2,0,5,5,0,incredibles_2_2018_s001,65,
incredibles_2_2018,incredibles_2_2018_pizza_delivery_guy,Pizza Delivery Guy,Pizza Delivery Guy,1,2,2,0,16,16,0,incredibles_2_2018_s021,596,
incredibles_2_2018,incredibles_2_2018_producer,Producer,Producer,1,2,2,0,10,10,0,incredibles_2_2018_s017,425,
incredibles_2_2018,incredibles_2_2018_reporter,Reporter,Reporter,1,2,2,0,70,70,0,incredibles_2_2018_s002,70,
incredibles_2_2018,incredibles_2_2018_violet_and_dash,Violet And Dash,Violet and Dash,1,2,2,0,7,7,0,incredibles_2_2018_s029,809,
incredibles_2_2018,incredibles_2_2018_woman,Woman,Woman,1,2,2,0,13,13,0,incredibles_2_2018_s009,304,
incredibles_2_2018,incredibles_2_2018_cameraman,Cameraman,Cameraman,1,1,1,0,2,2,0,incredibles_2_2018_s017,436,
incredibles_2_2018,incredibles_2_2018_cop,Cop,Cop,1,1,1,0,6,6,0,incredibles_2_2018_s021,599,
incredibles_2_2018,incredibles_2_2018_driver,Driver,Driver,1,1,1,0,2,2,0,incredibles_2_2018_s013,370,
incredibles_2_2018,incredibles_2_2018_employee,Employee,Employee,1,1,1,0,11,11,0,incredibles_2_2018_s017,454,
incredibles_2_2018,incredibles_2_2018_frozone_and_winston,Frozone And Winston,Frozone and Winston,1,1,1,0,5,5,0,incredibles_2_2018_s006,193,
incredibles_2_2018,incredibles_2_2018_he_lectrix,He-Lectrix,He-Lectrix,1,1,1,0,14,14,0,incredibles_2_2018_s019,503,
incredibles_2_2018,incredibles_2_2018_honey,Honey,Honey,1,1,1,0,14,14,0,incredibles_2_2018_s029,820,
incredibles_2_2018,incredibles_2_2018_interviewer,Interviewer,Interviewer,1,1,1,0,11,11,0,incredibles_2_2018_s022,615,
incredibles_2_2018,incredibles_2_2018_judge,Judge,Judge,1,1,1,0,18,18,0,incredibles_2_2018_s036,1040,
incredibles_2_2018,incredibles_2_2018_mr_incredible_and_frozone,Mr. Incredible And Frozone,Mr. Incredible and Frozone,1,1,1,0,4,4,0,incredibles_2_2018_s036,987,
incredibles_2_2018,incredibles_2_2018_mr_incredible_and_winston,Mr. Incredible And Winston,Mr. Incredible and Winston,1,1,1,0,10,10,0,incredibles_2_2018_s006,191,
incredibles_2_2018,incredibles_2_2018_old_lady,Old Lady,Old Lady,1,1,1,0,25,25,0,incredibles_2_2018_s001,48,
incredibles_2_2018,incredibles_2_2018_passenger,Passenger,Passenger,1,1,1,0,5,5,0,incredibles_2_2018_s013,368,
incredibles_2_2018,incredibles_2_2018_pilot,Pilot,Pilot,1,1,1,0,6,6,0,incredibles_2_2018_s017,456,
incredibles_2_2018,incredibles_2_2018_pilots_and_bodyguard,Pilots And Bodyguard,Pilots and bodyguard,1,1,1,0,1,1,0,incredibles_2_2018_s017,463,
incredibles_2_2018,incredibles_2_2018_race,Race,Race,1,1,1,0,2,2,0,incredibles_2_2018_s027,746,
incredibles_2_2018,incredibles_2_2018_reflux,Reflux,Reflux,1,1,1,0,24,24,0,incredibles_2_2018_s019,504,
incredibles_2_2018,incredibles_2_2018_rick_dicker,Rick Dicker,Rick Dicker,1,1,1,0,10,10,0,incredibles_2_2018_s001,1,
incredibles_2_2018,incredibles_2_2018_screech,Screech,Screech,1,1,1,0,14,14,0,incredibles_2_2018_s019,497,
incredibles_2_2018,incredibles_2_2018_the_parr_family,The Parr Family,The Parr family,1,1,1,0,1,1,0,incredibles_2_2018_s001,63,
incredibles_2_2018,incredibles_2_2018_tony_rydinger,Tony Rydinger,Tony Rydinger,1,1,1,0,4,4,0,incredibles_2_2018_s001,2,
incredibles_2_2018,incredibles_2_2018_victor_catchet,Victor Catchet,Victor Catchet,1,1,1,0,6,6,0,incredibles_2_2018_s022,609,
