speaker_clean,addressee_clean,utterance_count
incredibles_2_2018_evelyn,incredibles_2_2018_elastigirl,66
incredibles_2_2018_elastigirl,incredibles_2_2018_evelyn,55
incredibles_2_2018_elastigirl,incredibles_2_2018_bob,51
incredibles_2_2018_bob,incredibles_2_2018_elastigirl,47
incredibles_2_2018_violet,incredibles_2_2018_bob,43
incredibles_2_2018_bob,incredibles_2_2018_violet,43
incredibles_2_2018_violet,incredibles_2_2018_dash,29
incredibles_2_2018_dash,incredibles_2_2018_bob,27
incredibles_2_2018_bob,incredibles_2_2018_dash,25
incredibles_2_2018_dash,incredibles_2_2018_violet,19
incredibles_2_2018_edna,incredibles_2_2018_bob,17
incredibles_2_2018_bob,incredibles_2_2018_frozone,17
incredibles_2_2018_frozone,incredibles_2_2018_bob,17
incredibles_2_2018_winston,incredibles_2_2018_elastigirl,17
incredibles_2_2018_violet,incredibles_2_2018_tony,16
incredibles_2_2018_tony,incredibles_2_2018_violet,15
incredibles_2_2018_elastigirl,incredibles_2_2018_winston,14
incredibles_2_2018_evelyn,incredibles_2_2018_winston,12
incredibles_2_2018_bob,incredibles_2_2018_edna,12
incredibles_2_2018_elastigirl,incredibles_2_2018_violet,10
incredibles_2_2018_tony,incredibles_2_2018_rick,10
incredibles_2_2018_voyd,incredibles_2_2018_elastigirl,10
incredibles_2_2018_elastigirl,incredibles_2_2018_chad,9
incredibles_2_2018_violet,incredibles_2_2018_elastigirl,9
incredibles_2_2018_bob,incredibles_2_2018_winston,9
incredibles_2_2018_bob,incredibles_2_2018_jack_jack,9
incredibles_2_2018_bob,incredibles_2_2018_tony,8
incredibles_2_2018_bob,incredibles_2_2018_rick,8
incredibles_2_2018_elastigirl,incredibles_2_2018_dash,7
incredibles_2_2018_winston,incredibles_2_2018_evelyn,7
incredibles_2_2018_chad,incredibles_2_2018_elastigirl,7
incredibles_2_2018_dash,incredibles_2_2018_jack_jack,6
incredibles_2_2018_rick,incredibles_2_2018_bob,6
incredibles_2_2018_elastigirl,incredibles_2_2018_voyd,6
incredibles_2_2018_winston,incredibles_2_2018_bob,6
incredibles_2_2018_rick,incredibles_2_2018_tony,5
incredibles_2_2018_elastigirl,incredibles_2_2018_frozone,5
incredibles_2_2018_ambassador,incredibles_2_2018_elastigirl,4
incredibles_2_2018_bob,incredibles_2_2018_evelyn,4
incredibles_2_2018_dash,incredibles_2_2018_elastigirl,4
incredibles_2_2018_evelyn,incredibles_2_2018_bob,4
incredibles_2_2018_jack_jack,incredibles_2_2018_bob,4
incredibles_2_2018_frozone,incredibles_2_2018_winston,4
incredibles_2_2018_violet,incredibles_2_2018_jack_jack,4
