film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name,confidence
incredibles_2_2018,1,incredibles_2_2018_s001,incredibles_2_2018_s001_u0001,0.0,Rick Dicker,Rick Dicker,incredibles_2_2018_rick,Rick,"File 82-712. Agent Rick Dicker interrogating. State your name, please.",10,spoken,incredibles_2_2018_tony,individual,6,,inline_colon,M,,1,0,1,Rick Dicker,high
incredibles_2_2018,2,incredibles_2_2018_s001,incredibles_2_2018_s001_u0002,0.0,Tony Rydinger,Tony Rydinger,incredibles_2_2018_tony,Tony,Uh... Tony... Tony Rydinger?,4,spoken,incredibles_2_2018_rick,individual,8,,inline_colon,M,,1,0,1,Tony Rydinger,high
incredibles_2_2018,3,incredibles_2_2018_s001,incredibles_2_2018_s001_u0003,0.0,Rick,Rick,incredibles_2_2018_rick,Rick,Tell me about the incident.,5,spoken,incredibles_2_2018_tony,individual,10,,inline_colon,M,,1,0,1,Rick,high
incredibles_2_2018,4,incredibles_2_2018_s001,incredibles_2_2018_s001_u0004,0.0,Tony,Tony,incredibles_2_2018_tony,Tony,"Well, there's this girl, um, in my class. I saw her at the track meet.",15,spoken,incredibles_2_2018_rick,individual,12,[off screen],inline_colon,M,,1,0,1,Tony,high
incredibles_2_2018,5,incredibles_2_2018_s001,incredibles_2_2018_s001_u0005,0.0,Tony,Tony,incredibles_2_2018_tony,Tony,"You're, uh, Violet, right?",4,spoken,incredibles_2_2018_violet,individual,16,,inline_colon,M,,1,0,1,Tony,high
incredibles_2_2018,6,incredibles_2_2018_s001,incredibles_2_2018_s001_u0006,0.0,Violet,Violet,incredibles_2_2018_violet,Violet,That's me.,2,spoken,incredibles_2_2018_tony,individual,18,,inline_colon,F,,1,0,1,Violet,high
incredibles_2_2018,7,incredibles_2_2018_s001,incredibles_2_2018_s001_u0007,0.0,Tony,Tony,incredibles_2_2018_tony,Tony,"I sort of knew her, but she'd changed. Relaxed. She was more sure of herself. Cool, cute. I asked her out to a movie.",24,spoken,incredibles_2_2018_rick,individual,20,[o.s.],inline_colon,M,,1,0,1,Tony,high
incredibles_2_2018,8,incredibles_2_2018_s001,incredibles_2_2018_s001_u0008,0.0,Tony,Tony,incredibles_2_2018_tony,Tony,"So, Friday?",2,spoken,incredibles_2_2018_violet,individual,22,,inline_colon,M,,1,0,1,Tony,high
incredibles_2_2018,9,incredibles_2_2018_s001,incredibles_2_2018_s001_u0009,0.0,Violet,Violet,incredibles_2_2018_violet,Violet,Friday.,1,spoken,incredibles_2_2018_tony,individual,24,,inline_colon,F,,1,0,1,Violet,high
incredibles_2_2018,10,incredibles_2_2018_s001,incredibles_2_2018_s001_u0010,0.0,Tony,Tony,incredibles_2_2018_tony,Tony,Friday.,1,spoken,incredibles_2_2018_violet,individual,26,,inline_colon,M,,1,0,1,Tony,high
incredibles_2_2018,11,incredibles_2_2018_s001,incredibles_2_2018_s001_u0011,0.0,Tony,Tony,incredibles_2_2018_tony,Tony,"And I went to watch the track meet. Not long after, this thing happened in the parking lot.",18,spoken,incredibles_2_2018_rick,individual,28,"[o.s.] | [Suddenly, crashing and screaming as a gigantic mining drill with two blades comes out of the ground.]",inline_colon,M,,1,0,1,Tony,high
incredibles_2_2018,12,incredibles_2_2018_s001,incredibles_2_2018_s001_u0012,0.0,Underminer,Underminer,incredibles_2_2018_underminer,Underminer,"BEHOLD, THE UNDERMINER!!! I am always beneath you, but nothing is beneath me!",13,spoken,group,unclear,32,,inline_colon,M,,1,0,1,Underminer,high
incredibles_2_2018,13,incredibles_2_2018_s001,incredibles_2_2018_s001_u0013,0.0,Tony,Tony,incredibles_2_2018_tony,Tony,"As if things aren't weird enough, I look over and I see these boots.",14,spoken,incredibles_2_2018_rick,individual,34,[o.s.],inline_colon,M,,1,0,1,Tony,high
incredibles_2_2018,14,incredibles_2_2018_s001,incredibles_2_2018_s001_u0014,0.0,Underminer,Underminer,incredibles_2_2018_underminer,Underminer,I hereby declare war on peace and happiness! Soon all will tremble BEFORE ME!,14,spoken,group,unclear,36,[voice fades],inline_colon,M,,1,0,1,Underminer,high
incredibles_2_2018,15,incredibles_2_2018_s001,incredibles_2_2018_s001_u0015,0.0,Mr. Incredible,Mr. Incredible,incredibles_2_2018_bob,Bob,"You two, stay here.",4,spoken,group,unclear,38,,inline_colon,M,,1,1,1,Mr. Incredible,high
incredibles_2_2018,16,incredibles_2_2018_s001,incredibles_2_2018_s001_u0016,0.0,Elastigirl,Elastigirl,incredibles_2_2018_elastigirl,Elastigirl,Wait. Should we be doing this? It is still illegal.,10,spoken,incredibles_2_2018_bob,individual,40,,inline_colon,F,,1,1,1,Elastigirl,high
incredibles_2_2018,17,incredibles_2_2018_s001,incredibles_2_2018_s001_u0017,0.0,Tony,Tony,incredibles_2_2018_tony,Tony,They looked like superheroes.,4,spoken,incredibles_2_2018_rick,individual,42,[o.s.],inline_colon,M,,1,0,1,Tony,high
incredibles_2_2018,18,incredibles_2_2018_s001,incredibles_2_2018_s001_u0018,0.0,Mr. Incredible,Mr. Incredible,incredibles_2_2018_bob,Bob,We're gonna lose him.,4,spoken,incredibles_2_2018_elastigirl,individual,44,,inline_colon,M,,1,1,1,Mr. Incredible,high
incredibles_2_2018,19,incredibles_2_2018_s001,incredibles_2_2018_s001_u0019,0.0,Elastigirl,Elastigirl,incredibles_2_2018_elastigirl,Elastigirl,"Oh, all right. One of you patrol the perimeter, keep the crowds back and safe. The other, watch after Jack-Jack.",20,spoken,group,unclear,46,,inline_colon,F,,1,1,1,Elastigirl,high
incredibles_2_2018,20,incredibles_2_2018_s001,incredibles_2_2018_s001_u0020,0.0,Violet,Violet,incredibles_2_2018_violet,Violet,But I thought we were gonna go with...,8,spoken,incredibles_2_2018_bob,individual,48,,inline_colon,F,,1,0,1,Violet,high
incredibles_2_2018,21,incredibles_2_2018_s001,incredibles_2_2018_s001_u0021,0.0,Mr. Incredible,Mr. Incredible,incredibles_2_2018_bob,Bob,You heard your mother. Trampoline me!,6,spoken,incredibles_2_2018_violet,individual,50,[to Violet] | [to Elastigirl] | [Elastigirl turns into a trampoline. Mr. Incredible jumps on her to get to the drill.],inline_colon,M,,1,1,1,Mr. Incredible,high
incredibles_2_2018,22,incredibles_2_2018_s001,incredibles_2_2018_s001_u0022,0.0,Dash,Dash,incredibles_2_2018_dash,Dash,I call perimeter!,3,spoken,group,unclear,54,,inline_colon,M,,1,0,1,Dash,high
incredibles_2_2018,23,incredibles_2_2018_s001,incredibles_2_2018_s001_u0023,0.0,Violet,Violet,incredibles_2_2018_violet,Violet,"You're not going anywhere, you little maggoty creep!",8,spoken,incredibles_2_2018_dash,individual,56,[creates force fields around Dash],inline_colon,F,,1,0,1,Violet,high
incredibles_2_2018,24,incredibles_2_2018_s001,incredibles_2_2018_s001_u0024,0.0,Tony,Tony,incredibles_2_2018_tony,Tony,"I see my chance to get out of there. But there's something familiar about one of the kids' voices. The girl, she's upset and she throws down her mask... and it's her!",32,spoken,incredibles_2_2018_rick,individual,58,[o.s.] | [Violet speaks indistinctly],inline_colon,M,,1,0,1,Tony,high
