film_id,character,gender,betw_obs,null_mean,null_std,z_score,percentile,p_high
inside_out_2015,inside_out_2015_joy,F,0.4,0.3983,0.0976,0.017,46.5,0.5352
inside_out_2015,inside_out_2015_anger,M,0.2333,0.2038,0.1032,0.286,61.0,0.3908
inside_out_2015,inside_out_2015_mr_andersen,M,0.1778,0.1094,0.0835,0.818,78.4,0.2169
inside_out_2015,inside_out_2015_riley,F,0.1,0.0755,0.0717,0.342,68.0,0.3208
inside_out_2015,inside_out_2015_disgust,F,0.0556,0.1588,0.0968,-1.067,12.4,0.8766
inside_out_2015,inside_out_2015_bing_bong,M,0.0,0.0802,0.0748,-1.072,0.0,1.0
inside_out_2015,inside_out_2015_sadness,F,0.0,0.0786,0.0723,-1.087,0.0,1.0
inside_out_2015,inside_out_2015_fear,M,0.0,0.1169,0.0884,-1.323,0.0,1.0
inside_out_2015,inside_out_2015_mrs_andersen,F,0.0,0.0799,0.074,-1.079,0.0,1.0
inside_out_2015,inside_out_2015_female_forgetter,F,0.0,0.0,0.0,,0.0,1.0
inside_out_2015,inside_out_2015_male_forgetter,M,0.0,0.0,0.0,,0.0,1.0
