speaker_clean,addressee_clean,utterance_count
inside_out_2015_joy,inside_out_2015_sadness,96
inside_out_2015_sadness,inside_out_2015_joy,77
inside_out_2015_joy,inside_out_2015_bing_bong,55
inside_out_2015_mrs_andersen,inside_out_2015_riley,34
inside_out_2015_bing_bong,inside_out_2015_joy,28
inside_out_2015_mr_andersen,inside_out_2015_riley,28
inside_out_2015_riley,inside_out_2015_mrs_andersen,14
inside_out_2015_fear,inside_out_2015_joy,13
inside_out_2015_mrs_andersen,inside_out_2015_mr_andersen,11
inside_out_2015_disgust,inside_out_2015_joy,10
inside_out_2015_disgust,inside_out_2015_anger,9
inside_out_2015_riley,inside_out_2015_mr_andersen,8
inside_out_2015_anger,inside_out_2015_joy,8
inside_out_2015_fear,inside_out_2015_anger,8
inside_out_2015_disgust,inside_out_2015_fear,7
inside_out_2015_sadness,inside_out_2015_bing_bong,6
inside_out_2015_bing_bong,inside_out_2015_sadness,6
inside_out_2015_anger,inside_out_2015_disgust,5
inside_out_2015_female_forgetter,inside_out_2015_joy,5
inside_out_2015_anger,inside_out_2015_fear,5
inside_out_2015_fear,inside_out_2015_disgust,5
inside_out_2015_joy,inside_out_2015_disgust,5
inside_out_2015_mr_andersen,inside_out_2015_mrs_andersen,5
inside_out_2015_anger,inside_out_2015_mr_andersen,4
inside_out_2015_male_forgetter,inside_out_2015_joy,4
inside_out_2015_joy,inside_out_2015_anger,4
