film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name
inside_out_2015,1,inside_out_2015_s001,inside_out_2015_s001_u0001,0.0,Joy,Joy,inside_out_2015_joy,Joy,"Do you ever look at someone and wonder, ""What is going on inside their head?"" Well, I know. ...Well, I know Riley's head.",23,song,,,4,"(Fades up in a white space; Bill and Jill Andersen are admiring their newborn baby Riley, who wakes up and coos happily. Zoom in on Riley's head.) | (In Riley's mind, everything is black. From out of the darkness steps a glowing figure, Joy. She comes forward and sees a blank screen above her; below her is a single button. She presses it, and it turns yellow like her. Riley is heard cooing.)",inline_colon,F,,1,1,1,Joy
inside_out_2015,2,inside_out_2015_s001,inside_out_2015_s001_u0002,0.0,Joy,Joy,inside_out_2015_joy,Joy,Hmm?,1,spoken,,,10,"(Zoom back from Joy to the real world, showing the baby Riley as she coos and giggles happily.)",inline_colon,F,,1,1,1,Joy
inside_out_2015,3,inside_out_2015_s001,inside_out_2015_s001_u0003,0.0,Joy,Joy,inside_out_2015_joy,Joy,And there she was...,4,spoken,,,14,"(On the screen, Bill and Jill's faces materialize into view.)",inline_colon,F,,1,1,1,Joy
inside_out_2015,4,inside_out_2015_s001,inside_out_2015_s001_u0004,0.0,Mrs. Andersen,Mrs. Andersen,inside_out_2015_mrs_andersen,Mrs. Andersen,"Hello, Riley.",2,spoken,,,18,,inline_colon,F,,1,0,1,Mrs. Andersen
inside_out_2015,5,inside_out_2015_s001,inside_out_2015_s001_u0005,0.0,Mr. Andersen,Mr. Andersen,inside_out_2015_mr_andersen,Mr. Andersen,"Oh, look at you. Aren't you a little bundle of joy?",11,spoken,,,20,"(A ding is heard, and a glowing yellow orb of what just happened is formed from behind the screen. Joy examines it.)",inline_colon,M,,1,0,1,Mr. Andersen
inside_out_2015,6,inside_out_2015_s001,inside_out_2015_s001_u0006,0.0,Memory Mr. Andersen,Memory Mr. Andersen,inside_out_2015_memory_mr_andersen,Memory Mr. Andersen,Aren't you a little bundle of joy?,7,spoken,,,24,,inline_colon,M,,0,0,0,Memory Mr. Andersen
inside_out_2015,7,inside_out_2015_s001,inside_out_2015_s001_u0007,0.0,Joy,Joy,inside_out_2015_joy,Joy,Whoa.,1,spoken,,,26,"(She puts the memory back in place and it rolls across a rack around the area, making the lights come up and revealing a red-violet space of gears, as Headquarters is starting to form. Joy is astounded; she presses the button again, and Riley coos in response. Joy beams.)",inline_colon,F,,1,1,1,Joy
inside_out_2015,8,inside_out_2015_s001,inside_out_2015_s001_u0008,0.0,Joy,Joy,inside_out_2015_joy,Joy,It was amazing. Just Riley and me... Forever.,8,spoken,,,30,"(Riley keeps giggling and Joy smiles in reply; suddenly, Riley starts crying, which confuses her.)",inline_colon,F,,1,1,1,Joy
inside_out_2015,9,inside_out_2015_s001,inside_out_2015_s001_u0009,0.0,Joy,Joy,inside_out_2015_joy,Joy,"Well, for 33 seconds.",4,spoken,,,34,"(Next to Joy, a droopy and gloomy blue figure, Sadness, is working the button, which turns blue in response.)",inline_colon,F,,1,1,1,Joy
inside_out_2015,10,inside_out_2015_s001,inside_out_2015_s001_u0010,0.0,Sadness,Sadness,inside_out_2015_sadness,Sadness,I'm Sadness.,2,spoken,,,38,,inline_colon,F,,1,0,1,Sadness
inside_out_2015,11,inside_out_2015_s001,inside_out_2015_s001_u0011,0.0,Joy,Joy,inside_out_2015_joy,Joy,"Oh, hello. I... I'm Joy. So... Can I just... If you could... I just want to fix that. Thanks.",19,spoken,,,40,(The two start arguing over the button as she speaks.),inline_colon,F,,1,1,1,Joy
inside_out_2015,12,inside_out_2015_s001,inside_out_2015_s001_u0012,0.0,Joy,Joy,inside_out_2015_joy,Joy,And that was just the beginning. Headquarters only got more crowded from there.,13,song,,,44,"(Riley, now a toddler, runs through the house pulling a wagon and giggling. In her mind, in the now formed Headquarters, Fear, a jagged purple figure, comes out from behind joy. The single button is now replaced with a control console.)",inline_colon,F,,1,1,1,Joy
inside_out_2015,13,inside_out_2015_s001,inside_out_2015_s001_u0013,0.0,Fear,Fear,inside_out_2015_fear,Fear,"Very nice. Okay, looks like you got this. Very good.",10,spoken,,,48,"(The screen shows everything through Riley's eyes, as she is running.)",inline_colon,M,,1,0,1,Fear
inside_out_2015,14,inside_out_2015_s001,inside_out_2015_s001_u0014,0.0,Fear,Fear,inside_out_2015_fear,Fear,"Whoa, sharp turn! NO, LOOK OUT! NO!",7,spoken,,,52,(He takes action; the console turns purple in response.),inline_colon,M,,1,0,1,Fear
inside_out_2015,15,inside_out_2015_s001,inside_out_2015_s001_u0015,0.0,Joy,Joy,inside_out_2015_joy,Joy,That's Fear. He's really good at keeping Riley safe.,9,spoken,,,56,"(Fear's actions prompt Riley to stop running and notice the plugged cable, and step over it slowly.)",inline_colon,F,,1,1,1,Joy
inside_out_2015,16,inside_out_2015_s001,inside_out_2015_s001_u0016,0.0,Fear,Fear,inside_out_2015_fear,Fear,"Easy, easy. AGH! OH, MY! Oh, we're good. We're good.",10,spoken,,,60,"(In Headquarters, the memories have been nestled on a shelf off to the left; a purple memory, indicating a fearful one, rolls in to nestle against the yellow one on the right.)",inline_colon,M,,1,0,1,Fear
inside_out_2015,17,inside_out_2015_s001,inside_out_2015_s001_u0017,0.0,Joy,Joy,inside_out_2015_joy,Joy,Whew!,1,spoken,,,64,,inline_colon,F,,1,1,1,Joy
inside_out_2015,18,inside_out_2015_s001,inside_out_2015_s001_u0018,0.0,Sadness,Sadness,inside_out_2015_sadness,Sadness,Good job.,2,spoken,,,66,,inline_colon,F,,1,0,1,Sadness
inside_out_2015,19,inside_out_2015_s001,inside_out_2015_s001_u0019,0.0,Fear,Fear,inside_out_2015_fear,Fear,Thank you. Thank you very much.,6,spoken,,,68,,inline_colon,M,,1,0,1,Fear
