film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
monsters_inc_2001,monsters_inc_2001_mike,Mike,Mike,1,312,302,10,3441,3282,159,monsters_inc_2001_s002,18,
monsters_inc_2001,monsters_inc_2001_sulley,Sulley,Sulley,1,260,254,6,1664,1631,33,monsters_inc_2001_s002,19,
monsters_inc_2001,monsters_inc_2001_waternoose,Waternoose,Waternoose,1,73,71,2,804,775,29,monsters_inc_2001_s001,12,
monsters_inc_2001,monsters_inc_2001_randall,Randall,Randall,1,64,61,3,559,538,21,monsters_inc_2001_s005,133,
monsters_inc_2001,monsters_inc_2001_celia,Celia,Celia,1,41,40,1,271,270,1,monsters_inc_2001_s004,113,
monsters_inc_2001,monsters_inc_2001_boo,Boo,Boo,1,36,35,1,69,67,2,monsters_inc_2001_s009,271,
monsters_inc_2001,monsters_inc_2001_cda_agent,Cda Agent,CDA agent | CDA agent #1 | CDA agent #2 | CDA agent #3 | CDA agent #4 | CDA agent #5 | CDA agent #82472,7,32,31,1,171,167,4,monsters_inc_2001_s007,202,
monsters_inc_2001,monsters_inc_2001_fungus,Fungus,Fungus,1,18,17,1,148,147,1,monsters_inc_2001_s006,163,
monsters_inc_2001,monsters_inc_2001_needleman,Needleman,Needleman,1,14,14,0,78,78,0,monsters_inc_2001_s004,98,
monsters_inc_2001,monsters_inc_2001_roz,Roz,Roz,1,14,13,1,141,126,15,monsters_inc_2001_s006,146,
monsters_inc_2001,monsters_inc_2001_yeti,Yeti,Yeti,1,13,12,1,268,262,6,monsters_inc_2001_s022,712,
monsters_inc_2001,monsters_inc_2001_jerry,Jerry,Jerry,1,12,12,0,84,84,0,monsters_inc_2001_s002,40,
monsters_inc_2001,monsters_inc_2001_charlie,Charlie,Charlie,1,8,8,0,70,70,0,monsters_inc_2001_s007,192,
monsters_inc_2001,monsters_inc_2001_george,George,George,1,8,8,0,43,43,0,monsters_inc_2001_s007,195,
monsters_inc_2001,monsters_inc_2001_ms_flint,Ms. Flint,Ms. Flint,1,8,8,0,73,73,0,monsters_inc_2001_s001,2,
monsters_inc_2001,monsters_inc_2001_sulley_and_mike,Sulley And Mike,Sulley and Mike,1,8,7,1,8,7,1,monsters_inc_2001_s011,349,
monsters_inc_2001,monsters_inc_2001_smitty,Smitty,Smitty,1,7,7,0,35,35,0,monsters_inc_2001_s004,99,
monsters_inc_2001,monsters_inc_2001_announcer,Announcer,Announcer,1,4,4,0,68,68,0,monsters_inc_2001_s002,34,
monsters_inc_2001,monsters_inc_2001_bile,Bile,Bile,1,4,4,0,27,27,0,monsters_inc_2001_s001,3,
monsters_inc_2001,monsters_inc_2001_tony,Tony,Tony,1,3,3,0,16,16,0,monsters_inc_2001_s003,77,
monsters_inc_2001,monsters_inc_2001_ward_s_assistant,Ward's Assistant,Ward's assistant,1,3,3,0,23,23,0,monsters_inc_2001_s006,169,
monsters_inc_2001,monsters_inc_2001_animatronic_boy,Animatronic Boy,Animatronic Boy,1,2,2,0,9,9,0,monsters_inc_2001_s025,922,
monsters_inc_2001,monsters_inc_2001_cda_agents,Cda Agents,CDA agents,1,2,2,0,22,22,0,monsters_inc_2001_s013,426,
monsters_inc_2001,monsters_inc_2001_computer_voice,Computer Voice,Computer voice,1,2,2,0,18,18,0,monsters_inc_2001_s007,197,
monsters_inc_2001,monsters_inc_2001_computerized_voice,Computerized Voice,Computerized Voice,1,2,2,0,14,14,0,monsters_inc_2001_s001,1,
monsters_inc_2001,monsters_inc_2001_day_care_worker,Day Care Worker,Day care worker,1,2,2,0,12,12,0,monsters_inc_2001_s018,558,
monsters_inc_2001,monsters_inc_2001_employee,Employee,Employee #1 | Employee #2,2,2,2,0,7,7,0,monsters_inc_2001_s004,95,
monsters_inc_2001,monsters_inc_2001_interviewee,Interviewee,Interviewee #1 | Interviewee #2,2,2,2,0,28,28,0,monsters_inc_2001_s011,343,
monsters_inc_2001,monsters_inc_2001_lead_cda_agent,Lead Cda Agent,Lead CDA Agent,1,2,2,0,18,18,0,monsters_inc_2001_s013,410,
monsters_inc_2001,monsters_inc_2001_mother,Mother,Mother,1,2,2,0,6,6,0,monsters_inc_2001_s021,669,
monsters_inc_2001,monsters_inc_2001_nick_schmidt,Nick Schmidt,Nick Schmidt,1,2,2,0,17,17,0,monsters_inc_2001_s010,325,
monsters_inc_2001,monsters_inc_2001_photographer,Photographer,Photographer,1,2,1,1,7,3,4,monsters_inc_2001_s010,322,
monsters_inc_2001,monsters_inc_2001_redneck_boy,Redneck Boy,Redneck boy,1,2,2,0,13,13,0,monsters_inc_2001_s024,871,
monsters_inc_2001,monsters_inc_2001_ward,Ward,Ward,1,2,2,0,19,19,0,monsters_inc_2001_s006,170,
monsters_inc_2001,monsters_inc_2001_betty,Betty,Betty,1,1,1,0,3,3,0,monsters_inc_2001_s002,37,
monsters_inc_2001,monsters_inc_2001_blobby,Blobby,Blobby,1,1,1,0,2,2,0,monsters_inc_2001_s003,86,
monsters_inc_2001,monsters_inc_2001_cda_helicopter_pilot,Cda Helicopter Pilot,CDA Helicopter Pilot,1,1,1,0,8,8,0,monsters_inc_2001_s010,331,
monsters_inc_2001,monsters_inc_2001_day_care_kid,Day Care Kid,Day care kid,1,1,1,0,2,2,0,monsters_inc_2001_s018,582,
monsters_inc_2001,monsters_inc_2001_day_care_kids,Day-care Kids,Day-care kids,1,1,1,0,2,2,0,monsters_inc_2001_s018,575,
monsters_inc_2001,monsters_inc_2001_employee_walla,Employee Walla,Employee Walla,1,1,1,0,6,6,0,monsters_inc_2001_s024,796,
monsters_inc_2001,monsters_inc_2001_father,Father,Father,1,1,1,0,3,3,0,monsters_inc_2001_s021,671,
monsters_inc_2001,monsters_inc_2001_frank,Frank,Frank,1,1,1,0,2,2,0,monsters_inc_2001_s013,404,
monsters_inc_2001,monsters_inc_2001_giant_eye_monster,Giant Eye Monster,Giant Eye Monster,1,1,1,0,2,2,0,monsters_inc_2001_s003,75,
