speaker_clean,addressee_clean,utterance_count
monsters_inc_2001_mike,monsters_inc_2001_sulley,138
monsters_inc_2001_sulley,monsters_inc_2001_mike,73
monsters_inc_2001_sulley,monsters_inc_2001_boo,54
monsters_inc_2001_waternoose,monsters_inc_2001_sulley,30
monsters_inc_2001_celia,monsters_inc_2001_mike,29
monsters_inc_2001_mike,monsters_inc_2001_celia,25
monsters_inc_2001_sulley,monsters_inc_2001_waternoose,21
monsters_inc_2001_randall,monsters_inc_2001_mike,20
monsters_inc_2001_boo,monsters_inc_2001_sulley,19
monsters_inc_2001_mike,monsters_inc_2001_boo,17
monsters_inc_2001_mike,monsters_inc_2001_randall,17
monsters_inc_2001_randall,monsters_inc_2001_fungus,14
monsters_inc_2001_fungus,monsters_inc_2001_randall,10
monsters_inc_2001_mike,monsters_inc_2001_roz,8
monsters_inc_2001_roz,monsters_inc_2001_mike,8
monsters_inc_2001_mike,monsters_inc_2001_waternoose,7
monsters_inc_2001_needleman,monsters_inc_2001_smitty,6
monsters_inc_2001_randall,monsters_inc_2001_sulley,5
monsters_inc_2001_yeti,monsters_inc_2001_sulley,5
monsters_inc_2001_waternoose,monsters_inc_2001_randall,4
monsters_inc_2001_waternoose,monsters_inc_2001_mike,4
monsters_inc_2001_boo,monsters_inc_2001_mike,4
monsters_inc_2001_sulley,monsters_inc_2001_randall,4
monsters_inc_2001_mike,monsters_inc_2001_yeti,3
monsters_inc_2001_charlie,monsters_inc_2001_george,3
monsters_inc_2001_jerry,monsters_inc_2001_sulley,3
monsters_inc_2001_sulley,monsters_inc_2001_celia,3
monsters_inc_2001_smitty,monsters_inc_2001_needleman,3
monsters_inc_2001_roz,monsters_inc_2001_sulley,3
monsters_inc_2001_sulley,monsters_inc_2001_yeti,3
