film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
mulan_1998,mulan_1998_mushu,Mushu,Mushu,1,53,53,0,2476,2476,0,mulan_1998_s012,55,
mulan_1998,mulan_1998_shang,Shang,Shang,1,29,29,0,1927,1927,0,mulan_1998_s015,97,
mulan_1998,mulan_1998_mulan,Mulan,Mulan,1,27,27,0,1460,1460,0,mulan_1998_s002,8,
mulan_1998,mulan_1998_chi_fu,Chi Fu,Chi Fu,1,18,18,0,565,565,0,mulan_1998_s001,2,
mulan_1998,mulan_1998_fa_zhou,Fa Zhou,Fa Zhou,1,12,12,0,382,382,0,mulan_1998_s003,9,
mulan_1998,mulan_1998_emperor,Emperor,Emperor,1,9,9,0,733,733,0,mulan_1998_s001,5,
mulan_1998,mulan_1998_yao,Yao,Yao,1,9,9,0,669,669,0,mulan_1998_s015,90,
mulan_1998,mulan_1998_shan_yu,Shan-Yu,Shan-Yu,1,7,7,0,598,598,0,mulan_1998_s018,134,
mulan_1998,mulan_1998_fa_li,Fa Li,Fa Li,1,6,6,0,184,184,0,mulan_1998_s004,18,
mulan_1998,mulan_1998_general_li,General Li,General Li,1,6,6,0,336,336,0,mulan_1998_s001,1,
mulan_1998,mulan_1998_ling,Ling,Ling,1,6,6,0,391,391,0,mulan_1998_s015,94,
mulan_1998,mulan_1998_chien_po,Chien-Po,Chien-Po,1,5,5,0,241,241,0,mulan_1998_s015,88,
mulan_1998,mulan_1998_grandma_fa,Grandma Fa,Grandma Fa,1,5,5,0,197,197,0,mulan_1998_s004,19,
mulan_1998,mulan_1998_first_ancestor,First Ancestor,First Ancestor,1,4,4,0,162,162,0,mulan_1998_s012,57,
mulan_1998,mulan_1998_matchmaker,Matchmaker,Matchmaker,1,4,4,0,346,346,0,mulan_1998_s005,35,
mulan_1998,mulan_1998_cri_kee,Cri-Kee,Cri-Kee,1,3,3,0,6,6,0,mulan_1998_s012,66,
mulan_1998,mulan_1998_all_three,All Three,All Three,1,2,2,0,141,141,0,mulan_1998_s005,27,
mulan_1998,mulan_1998_hun_archer,Hun Archer,Hun Archer,1,2,2,0,359,359,0,mulan_1998_s018,135,
mulan_1998,mulan_1998_all_ancestors_argue_at_once_except_first_ancestor,"All Ancestors Argue At Once, Except First Ancestor","All ancestors argue at once, except First Ancestor",1,1,0,1,57,0,57,mulan_1998_s012,59,
mulan_1998,mulan_1998_all_recruits_growl_at_mulan,All Recruits Growl At Mulan,All recruits growl at Mulan,1,1,0,1,18,0,18,mulan_1998_s015,118,
mulan_1998,mulan_1998_all_townspeople,All Townspeople,All Townspeople,1,1,1,0,51,51,0,mulan_1998_s005,33,
mulan_1998,mulan_1998_army_chorus,Army Chorus,Army Chorus,1,1,1,0,5,5,0,mulan_1998_s024,158,
mulan_1998,mulan_1998_barry_cook,Barry Cook,Barry Cook,1,1,1,0,29,29,0,mulan_1998_s043,214,
mulan_1998,mulan_1998_bath_lady,Bath Lady,Bath Lady,1,1,1,0,159,159,0,mulan_1998_s004,22,
mulan_1998,mulan_1998_both,Both,Both,1,1,1,0,6,6,0,mulan_1998_s005,23,
mulan_1998,mulan_1998_chorus,Chorus,Chorus,1,1,1,0,48,48,0,mulan_1998_s005,28,
mulan_1998,mulan_1998_fa_li_and_others,Fa Li And Others,Fa Li and others,1,1,1,0,74,74,0,mulan_1998_s005,24,
mulan_1998,mulan_1998_grandma_fa_guides_mulan_back_away,Grandma Fa Guides Mulan Back Away,Grandma Fa guides Mulan back away,1,1,0,1,15,0,15,mulan_1998_s007,47,
mulan_1998,mulan_1998_he_crouches_down_in_front_of_them,He Crouches Down In Front Of Them,He crouches down in front of them,1,1,0,1,102,0,102,mulan_1998_s013,74,
mulan_1998,mulan_1998_hun_long_hair_guy,Hun Long-Hair Guy,Hun Long-Hair Guy,1,1,1,0,2,2,0,mulan_1998_s013,72,
mulan_1998,mulan_1998_hun_soldier,Hun Soldier,Hun Soldier,1,1,1,0,26,26,0,mulan_1998_s029,170,
mulan_1998,mulan_1998_in_a_3_person_round,In A 3 Person Round,in a 3 person round,1,1,0,1,150,0,150,mulan_1998_s005,30,
mulan_1998,mulan_1998_ling_yao_and_chien_po_are_shocked,"Ling, Yao And Chien-Po Are Shocked","Ling, Yao and Chien-Po are shocked",1,1,0,1,36,0,36,mulan_1998_s034,178,
mulan_1998,mulan_1998_little_brother,Little Brother,Little Brother,1,1,1,0,34,34,0,mulan_1998_s046,239,
mulan_1998,mulan_1998_maidens_and_mulan,Maidens And Mulan,Maidens and Mulan,1,1,1,0,27,27,0,mulan_1998_s005,32,
mulan_1998,mulan_1998_make_up_lady_fa_li,Make-up Lady/Fa Li,Make-up Lady/Fa Li,1,1,1,0,9,9,0,mulan_1998_s005,29,
mulan_1998,mulan_1998_mulan_and_maidens,Mulan And Maidens,Mulan and Maidens,1,1,1,0,37,37,0,mulan_1998_s005,34,
mulan_1998,mulan_1998_mulan_comes_running_up_to_the_group,Mulan Comes Running Up To The Group,Mulan comes running up to the group,1,1,0,1,26,0,26,mulan_1998_s017,124,
mulan_1998,mulan_1998_mulan_hurries_down_the_stairs,Mulan Hurries Down The Stairs,Mulan hurries down the stairs,1,1,0,1,21,0,21,mulan_1998_s003,17,
mulan_1998,mulan_1998_mulan_mounts_khan,Mulan Mounts Khan,Mulan mounts Khan,1,1,0,1,54,0,54,mulan_1998_s044,227,
mulan_1998,mulan_1998_parade_leader,Parade Leader,Parade Leader,1,1,1,0,48,48,0,mulan_1998_s036,192,
mulan_1998,mulan_1998_shan_yu_dismounts_and_walks_towards_the_scouts,Shan Yu Dismounts And Walks Towards The Scouts,Shan Yu dismounts and walks towards the scouts,1,1,0,1,3,0,3,mulan_1998_s013,73,
mulan_1998,mulan_1998_shang_and_chorus,Shang And Chorus,Shang and Chorus,1,1,1,0,183,183,0,mulan_1998_s017,132,
mulan_1998,mulan_1998_shang_approaches_seeing_fa_zhou,Shang Approaches Seeing Fa Zhou,Shang approaches seeing Fa Zhou,1,1,0,1,58,0,58,mulan_1998_s045,234,
mulan_1998,mulan_1998_shang_hand_the_reigns_of_khan_to_mulan,Shang Hand The Reigns Of Khan To Mulan,Shang hand the reigns of Khan to Mulan,1,1,0,1,280,0,280,mulan_1998_s017,133,
mulan_1998,mulan_1998_shang_walks_toward_mulan_with_sword_in_hand,Shang Walks Toward Mulan With Sword In Hand,Shang walks toward Mulan with sword in hand,1,1,0,1,56,0,56,mulan_1998_s034,181,
mulan_1998,mulan_1998_song_i_ll_make_a_man_out_of_you,Song I'll Make A Man Out Of You,Song I'll Make a Man Out of You,1,1,0,1,15,0,15,mulan_1998_s017,129,
mulan_1998,mulan_1998_song_a_girl_worth_fighting_for,Song: A Girl Worth Fighting For,Song:  A Girl Worth Fighting For,1,1,0,1,240,0,240,mulan_1998_s024,154,
mulan_1998,mulan_1998_song_reflection,Song: Reflection,Song: Reflection,1,1,0,1,245,0,245,mulan_1998_s007,39,
mulan_1998,mulan_1998_the_imperial_scouts_run_off_towards_the_palace,The Imperial Scouts Run Off Towards The Palace,The Imperial Scouts run off towards the palace,1,1,0,1,21,0,21,mulan_1998_s013,75,
