film_id,parser_character_id,review_character_id,parser_canonical_name,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,gender,gender_rationale,is_named,is_protagonist,included_in_network,merge_into_character_id,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,review_notes
mulan_1998,mulan_1998_mushu,mulan_1998_mushu,Mushu,Mushu,Mushu,1,M,,1,0,1,,53,53,0,2476,2476,0,mulan_1998_s012,55,
mulan_1998,mulan_1998_shang,mulan_1998_shang,Shang,Shang,Shang,1,M,,1,0,1,,29,29,0,1927,1927,0,mulan_1998_s015,97,
mulan_1998,mulan_1998_mulan,mulan_1998_mulan,Mulan,Mulan,Mulan,1,F,,1,1,1,,27,27,0,1460,1460,0,mulan_1998_s002,8,
mulan_1998,mulan_1998_chi_fu,mulan_1998_chi_fu,Chi Fu,Chi Fu,Chi Fu,1,M,,1,0,1,,18,18,0,565,565,0,mulan_1998_s001,2,
mulan_1998,mulan_1998_fa_zhou,mulan_1998_fa_zhou,Fa Zhou,Fa Zhou,Fa Zhou,1,M,,1,0,1,,12,12,0,382,382,0,mulan_1998_s003,9,
mulan_1998,mulan_1998_emperor,mulan_1998_emperor,Emperor,Emperor,Emperor,1,M,,1,0,1,,9,9,0,733,733,0,mulan_1998_s001,5,
mulan_1998,mulan_1998_yao,mulan_1998_yao,Yao,Yao,Yao,1,M,,1,0,1,,9,9,0,669,669,0,mulan_1998_s015,90,
mulan_1998,mulan_1998_shan_yu,mulan_1998_shan_yu,Shan-Yu,Shan-Yu,Shan-Yu,1,M,,1,0,1,,7,7,0,598,598,0,mulan_1998_s018,134,
mulan_1998,mulan_1998_fa_li,mulan_1998_fa_li,Fa Li,Fa Li,Fa Li,1,F,,1,0,1,,6,6,0,184,184,0,mulan_1998_s004,18,
mulan_1998,mulan_1998_general_li,mulan_1998_general_li,General Li,General Li,General Li,1,M,,1,0,1,,6,6,0,336,336,0,mulan_1998_s001,1,
mulan_1998,mulan_1998_ling,mulan_1998_ling,Ling,Ling,Ling,1,M,,1,0,1,,6,6,0,391,391,0,mulan_1998_s015,94,
mulan_1998,mulan_1998_chien_po,mulan_1998_chien_po,Chien-Po,Chien-Po,Chien-Po,1,M,,1,0,1,,5,5,0,241,241,0,mulan_1998_s015,88,
