speaker_clean,addressee_clean,utterance_count
mulan_1998_mushu,mulan_1998_mulan,47
mulan_1998_shang,mulan_1998_mulan,19
mulan_1998_mulan,mulan_1998_shang,16
mulan_1998_mulan,mulan_1998_mushu,15
mulan_1998_fa_zhou,mulan_1998_mulan,13
mulan_1998_chi_fu,mulan_1998_shang,12
mulan_1998_yao,mulan_1998_mulan,11
mulan_1998_mulan,mulan_1998_fa_zhou,8
mulan_1998_fa_li,mulan_1998_mulan,7
mulan_1998_ling,mulan_1998_mulan,7
mulan_1998_shang,mulan_1998_chi_fu,5
mulan_1998_chi_fu,mulan_1998_general_li,4
mulan_1998_chien_po,mulan_1998_yao,4
mulan_1998_chi_fu,mulan_1998_mulan,4
mulan_1998_emperor,mulan_1998_mulan,4
mulan_1998_chi_fu,mulan_1998_emperor,3
mulan_1998_emperor,mulan_1998_shang,3
mulan_1998_emperor,mulan_1998_chi_fu,3
mulan_1998_general_li,mulan_1998_emperor,3
mulan_1998_general_li,mulan_1998_shang,3
mulan_1998_mulan,mulan_1998_ling,3
mulan_1998_grandma_fa,mulan_1998_fa_li,3
mulan_1998_shan_yu,mulan_1998_mulan,3
mulan_1998_shang,mulan_1998_emperor,3
