film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
mulan_1998,mulan_1998_s001,1,Scene 1,scene_header,30,54,0.0,8,8,0
mulan_1998,mulan_1998_s002,2,Scene 2,scene_header,55,72,0.0222,1,1,0
mulan_1998,mulan_1998_s003,3,Scene 3,scene_header,73,117,0.0444,11,11,0
mulan_1998,mulan_1998_s004,4,Scene 4,scene_header,118,184,0.0667,12,12,0
mulan_1998,mulan_1998_s005,5,Scene 5,scene_header,185,354,0.0889,30,29,1
mulan_1998,mulan_1998_s006,6,Scene 6,scene_header,355,369,0.1111,2,2,0
mulan_1998,mulan_1998_s007,7,Scene 7,scene_header,370,471,0.1333,16,15,1
mulan_1998,mulan_1998_s008,8,Scene 8,scene_header,472,477,0.1556,0,0,0
mulan_1998,mulan_1998_s009,9,Scene 9,scene_header,478,501,0.1778,7,7,0
mulan_1998,mulan_1998_s010,10,Scene 10,scene_header,502,522,0.2,0,0,0
mulan_1998,mulan_1998_s011,11,Scene 11,scene_header,523,541,0.2222,5,5,0
mulan_1998,mulan_1998_s012,12,Scene 12,scene_header,542,696,0.2444,33,32,1
mulan_1998,mulan_1998_s013,13,Scene 13,scene_header,697,731,0.2667,7,7,0
mulan_1998,mulan_1998_s014,14,Scene 14,scene_header,732,798,0.2889,13,13,0
mulan_1998,mulan_1998_s015,15,Scene 15,scene_header,799,973,0.3111,58,58,0
mulan_1998,mulan_1998_s016,16,Scene 16,scene_header,974,1003,0.3333,8,8,0
mulan_1998,mulan_1998_s017,17,Scene 17,scene_header,1004,1191,0.3556,28,26,2
mulan_1998,mulan_1998_s018,18,Scene 18,scene_header,1192,1213,0.3778,7,7,0
mulan_1998,mulan_1998_s019,19,Scene 19,scene_header,1214,1282,0.4,25,25,0
mulan_1998,mulan_1998_s020,20,Scene 20,scene_header,1283,1287,0.4222,1,1,0
mulan_1998,mulan_1998_s021,21,Scene 21,scene_header,1288,1297,0.4444,3,3,0
mulan_1998,mulan_1998_s022,22,Scene 22,scene_header,1298,1338,0.4667,11,11,0
mulan_1998,mulan_1998_s023,23,Scene 23,scene_header,1339,1343,0.4889,1,1,0
mulan_1998,mulan_1998_s024,24,Scene 24,scene_header,1344,1482,0.5111,26,26,0
mulan_1998,mulan_1998_s025,25,Scene 25,scene_header,1483,1488,0.5333,1,1,0
mulan_1998,mulan_1998_s026,26,Scene 26,scene_header,1489,1515,0.5556,4,4,0
mulan_1998,mulan_1998_s027,27,Scene 27,scene_header,1516,1601,0.5778,15,15,0
mulan_1998,mulan_1998_s028,28,Scene 28,scene_header,1602,1605,0.6,0,0,0
mulan_1998,mulan_1998_s029,29,Scene 29,scene_header,1606,1615,0.6222,3,3,0
mulan_1998,mulan_1998_s030,30,Scene 30,scene_header,1616,1622,0.6444,1,1,0
mulan_1998,mulan_1998_s031,31,Scene 31,scene_header,1623,1630,0.6667,2,2,0
mulan_1998,mulan_1998_s032,32,Scene 32,scene_header,1631,1671,0.6889,13,13,0
mulan_1998,mulan_1998_s033,33,Scene 33,scene_header,1672,1684,0.7111,3,3,0
mulan_1998,mulan_1998_s034,34,Scene 34,scene_header,1685,1754,0.7333,23,22,1
mulan_1998,mulan_1998_s035,35,Scene 35,scene_header,1755,1777,0.7556,7,7,0
mulan_1998,mulan_1998_s036,36,Scene 36,scene_header,1778,1810,0.7778,11,11,0
mulan_1998,mulan_1998_s037,37,Scene 37,scene_header,1811,1818,0.8,1,1,0
mulan_1998,mulan_1998_s038,38,Scene 38,scene_header,1819,1830,0.8222,3,3,0
mulan_1998,mulan_1998_s039,39,Scene 39,scene_header,1831,1879,0.8444,6,6,0
mulan_1998,mulan_1998_s040,40,Scene 40,scene_header,1880,1885,0.8667,1,1,0
mulan_1998,mulan_1998_s041,41,Scene 41,scene_header,1886,1923,0.8889,7,7,0
mulan_1998,mulan_1998_s042,42,Scene 42,scene_header,1924,1996,0.9111,14,14,0
mulan_1998,mulan_1998_s043,43,Scene 43,scene_header,1997,2016,0.9333,2,2,0
mulan_1998,mulan_1998_s044,44,Scene 44,scene_header,2017,2138,0.9556,31,30,1
mulan_1998,mulan_1998_s045,45,Scene 45,scene_header,2139,2187,0.9778,11,11,0
mulan_1998,mulan_1998_s046,46,Scene 46,scene_header,2188,2226,1.0,9,9,0
