film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name
mulan_1998,1,mulan_1998_s001,mulan_1998_s001_u0001,0.0,General Li,General Li,mulan_1998_general_li,General Li,"Your Majesty, the Huns have crossed our Northern border.",9,spoken,,,35,,inline_colon,M,,1,0,1,General Li
mulan_1998,2,mulan_1998_s001,mulan_1998_s001_u0002,0.0,Chi Fu,Chi Fu,mulan_1998_chi_fu,Chi Fu,Impossible! No one can get through The Great Wall.,9,spoken,,,37,[The Emperor motions for Chi Fu's silence],inline_colon,M,,1,0,1,Chi Fu
mulan_1998,3,mulan_1998_s001,mulan_1998_s001_u0003,0.0,General Li,General Li,mulan_1998_general_li,General Li,Shun-Yu is leading them. We'll set up defenses around your palace immediately.,12,spoken,,,40,,inline_colon,M,,1,0,1,General Li
mulan_1998,4,mulan_1998_s001,mulan_1998_s001_u0004,0.0,Emperor,Emperor,mulan_1998_emperor,Emperor,"No! Send your troops to protect my people. Chi Fu,",10,spoken,,,43,[forcefully],inline_colon,M,,1,0,1,Emperor
mulan_1998,5,mulan_1998_s001,mulan_1998_s001_u0005,0.0,Chi Fu,Chi Fu,mulan_1998_chi_fu,Chi Fu,"Yes, your highness.",3,spoken,,,45,,inline_colon,M,,1,0,1,Chi Fu
mulan_1998,6,mulan_1998_s001,mulan_1998_s001_u0006,0.0,Emperor,Emperor,mulan_1998_emperor,Emperor,Deliver conscription notices throughout all the provinces. Call up reserves and as many new recruits as possible.,17,spoken,,,47,,inline_colon,M,,1,0,1,Emperor
mulan_1998,7,mulan_1998_s001,mulan_1998_s001_u0007,0.0,General Li,General Li,mulan_1998_general_li,General Li,"Forgive me your Majesty, but I believe my troops can stop him.",12,spoken,,,50,,inline_colon,M,,1,0,1,General Li
mulan_1998,8,mulan_1998_s001,mulan_1998_s001_u0008,0.0,Emperor,Emperor,mulan_1998_emperor,Emperor,"I wont take any chances, General. A single grain of rice can tip the scale. One man may be the difference between victory and defeat.",25,spoken,,,52,,inline_colon,M,,1,0,1,Emperor
mulan_1998,9,mulan_1998_s002,mulan_1998_s002_u0009,0.0222,Mulan,Mulan,mulan_1998_mulan,Mulan,"Quiet and demure...graceful...polite... delicate...refined...poised... punctual. Aiya. Little brother. Little brother. Lit- ahhh, there you are. Who's the smartest doggie in the world? Come on smart boy, can you help me with my chores today?",34,spoken,,,59,"[picking up some rice with her chopsticks and eating a mouthful] | [She sets down her chopsticks and writes down a final word on her right arm] | [A cock crows] | [Calling out] | [Mulan ties a sack of grain around Little Brother's waist. She ties a stick onto Little brother so that end of it is in front of Little Brother's face. She ties the bone on the end of the stick just out of reach. Little Brother begins to run after the bone which he cannot reach. Mulan opens the door for Little Brother and he runs into the door frame, then out the open door. Little brother runs by the chickens and Khan - the family horse]",inline_colon,F,,1,1,1,Mulan
mulan_1998,10,mulan_1998_s003,mulan_1998_s003_u0010,0.0444,Fa Zhou,Fa Zhou,mulan_1998_fa_zhou,Fa Zhou,"Honorable ancestors, please help Mulan impress the matchmaker today. Little Brother: Bark, bark, bark, bark, bark.",16,spoken,,,77,[running into the temple and around Fa Zhou scattering grain around the floor] | [The chickens follow Little Brother into the temple and begin to feed on the grain],inline_colon,M,,1,0,1,Fa Zhou
mulan_1998,11,mulan_1998_s003,mulan_1998_s003_u0011,0.0444,Fa Zhou,Fa Zhou,mulan_1998_fa_zhou,Fa Zhou,"Please, PLEASE, help her.",4,spoken,,,86,[Mulan steps up to the temple seeing Little Brother on his hind legs trying to get the bone. Mulan bends the stick down so that Little brother can reach the bone. Little brother gnaws on the bone happily. Mulan continues toward the temple],inline_colon,M,,1,0,1,Fa Zhou
mulan_1998,12,mulan_1998_s003,mulan_1998_s003_u0012,0.0444,Mulan,Mulan,mulan_1998_mulan,Mulan,Father I brought your--whoop!,4,spoken,,,93,[calling out] | [Fa Zhou bumps into Mulan. The cup falls to the ground and Fa Zhou catches the teapot with the handle of his cane],inline_colon,F,,1,1,1,Mulan
mulan_1998,13,mulan_1998_s003,mulan_1998_s003_u0013,0.0444,Fa Zhou,Fa Zhou,mulan_1998_fa_zhou,Fa Zhou,Mulan--,1,spoken,,,97,,inline_colon,M,,1,0,1,Fa Zhou
mulan_1998,14,mulan_1998_s003,mulan_1998_s003_u0014,0.0444,Mulan,Mulan,mulan_1998_mulan,Mulan,I brought a spare.,4,spoken,,,99,[Mulan pulls out a cup from underneath the back of her dress and begins to pour the tea],inline_colon,F,,1,1,1,Mulan
mulan_1998,15,mulan_1998_s003,mulan_1998_s003_u0015,0.0444,Fa Zhou,Fa Zhou,mulan_1998_fa_zhou,Fa Zhou,Mulan--,1,spoken,,,102,,inline_colon,M,,1,0,1,Fa Zhou
mulan_1998,16,mulan_1998_s003,mulan_1998_s003_u0016,0.0444,Mulan,Mulan,mulan_1998_mulan,Mulan,"Remember, the doctor said three cups of tea in the morning--",11,spoken,,,104,[hurried],inline_colon,F,,1,1,1,Mulan
mulan_1998,17,mulan_1998_s003,mulan_1998_s003_u0017,0.0444,Fa Zhou,Fa Zhou,mulan_1998_fa_zhou,Fa Zhou,Mulan--,1,spoken,,,106,,inline_colon,M,,1,0,1,Fa Zhou
mulan_1998,18,mulan_1998_s003,mulan_1998_s003_u0018,0.0444,Fa Zhou,Fa Zhou,mulan_1998_fa_zhou,Fa Zhou,"Mulan, you should already be in town. We're counting on you to up--",13,spoken,,,109,,inline_colon,M,,1,0,1,Fa Zhou
mulan_1998,19,mulan_1998_s003,mulan_1998_s003_u0019,0.0444,Mulan,Mulan,mulan_1998_mulan,Mulan,--uphold the family honor. Don't worry father. I wont let you down. Wish me luck.,15,spoken,,,111,[Mulan covers over the writing on her arm with here sleeve],inline_colon,F,,1,1,1,Mulan
mulan_1998,20,mulan_1998_s003,mulan_1998_s003_u0020,0.0444,Fa Zhou,Fa Zhou,mulan_1998_fa_zhou,Fa Zhou,Hurry! I'm going to...pray some more.,6,spoken,,,115,[calling out] | [to himself] | [Fa Zhou turns and walks back into the temple],inline_colon,M,,1,0,1,Fa Zhou
mulan_1998,21,mulan_1998_s004,mulan_1998_s004_u0021,0.0667,Bath Lady,Bath Lady,mulan_1998_bath_lady,Bath Lady,"Fa Li, is your daughter here yet? The matchmaker is not a patient woman.",14,spoken,,,121,[poking out of her building] | [She goes back into the building],inline_colon,F,,0,0,0,Bath Lady
mulan_1998,22,mulan_1998_s004,mulan_1998_s004_u0022,0.0667,Fa Li,Fa Li,mulan_1998_fa_li,Fa Li,Of all days to be late. I should have prayed to the ancestors for luck.,15,spoken,,,124,,inline_colon,F,,1,0,1,Fa Li
