film_id,character,gender,betw_obs,null_mean,null_std,z_score,percentile,p_high
onward_2020,onward_2020_ian,M,0.641,0.4268,0.09,2.38,98.6,0.014
onward_2020,onward_2020_laurel,F,0.5577,0.3845,0.0921,1.881,96.0,0.0405
onward_2020,onward_2020_colt,M,0.2821,0.1974,0.0977,0.866,81.8,0.1829
onward_2020,onward_2020_barley,M,0.1474,0.2437,0.0986,-0.977,14.4,0.8561
onward_2020,onward_2020_manticore,F,0.0769,0.1535,0.0976,-0.784,23.2,0.7686
onward_2020,onward_2020_dad,M,0.0,0.0435,0.062,-0.702,0.0,1.0
onward_2020,onward_2020_officer_specter,F,0.0,0.01,0.0313,-0.32,0.0,1.0
onward_2020,onward_2020_gaxton,M,0.0,0.0095,0.0297,-0.32,0.0,1.0
onward_2020,onward_2020_sadalia,F,0.0,0.0087,0.0275,-0.315,0.0,1.0
onward_2020,onward_2020_driving_instructor,F,0.0,0.0,0.0,,0.0,1.0
onward_2020,onward_2020_dewdrop,F,0.0,0.0092,0.0296,-0.311,0.0,1.0
onward_2020,onward_2020_grecklin,F,0.0,0.0298,0.0529,-0.563,0.0,1.0
onward_2020,onward_2020_officer_avel,M,0.0,0.0167,0.0391,-0.428,0.0,1.0
onward_2020,onward_2020_officer_gore,F,0.0,0.0085,0.0278,-0.306,0.0,1.0
