film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
onward_2020,onward_2020_ian,Ian,IAN | IAN (V.O.),2,383,383,0,5263,5263,0,onward_2020_s007,19,
onward_2020,onward_2020_barley,Barley,BARLEY | BARLEY (O.S.) | YOUNG BARLEY,3,364,364,0,6477,6477,0,onward_2020_s008,45,
onward_2020,onward_2020_laurel,Laurel,LAUREL | LAUREL (O.S.),2,106,106,0,1706,1706,0,onward_2020_s007,18,
onward_2020,onward_2020_manticore,Manticore,MANTICORE,1,66,66,0,1250,1250,0,onward_2020_s040,357,
onward_2020,onward_2020_colt,Colt,COLT | COLT (O.S.) | COLT (ON PHONE),3,42,42,0,611,611,0,onward_2020_s009,60,
onward_2020,onward_2020_dad,Dad,DAD | DAD (V.O.),2,21,21,0,312,312,0,onward_2020_s001,1,
onward_2020,onward_2020_dewdrop,Dewdrop,DEWDROP | DEWDROP (O.S.),2,15,15,0,199,199,0,onward_2020_s060,558,
onward_2020,onward_2020_officer_specter,Officer Specter,OFFICER SPECTER,1,15,15,0,240,240,0,onward_2020_s073,671,
onward_2020,onward_2020_officer_gore,Officer Gore,OFFICER GORE | OFFICER GORE (O.S.),2,12,12,0,167,167,0,onward_2020_s009,58,
onward_2020,onward_2020_grecklin,Grecklin,GRECKLIN,1,10,10,0,87,87,0,onward_2020_s080,768,
onward_2020,onward_2020_gaxton,Gaxton,GAXTON,1,9,9,0,123,123,0,onward_2020_s012,97,
onward_2020,onward_2020_officer_avel,Officer Avel,OFFICER AVEL,1,9,9,0,117,117,0,onward_2020_s051,460,
onward_2020,onward_2020_sadalia,Sadalia,SADALIA,1,9,9,0,75,75,0,onward_2020_s017,137,
onward_2020,onward_2020_driving_instructor,Driving Instructor,DRIVING INSTRUCTOR,1,7,7,0,76,76,0,onward_2020_s015,125,
onward_2020,onward_2020_costumed_manticore,Costumed Manticore,COSTUMED MANTICORE,1,4,4,0,47,47,0,onward_2020_s041,409,
onward_2020,onward_2020_hostess,Hostess,HOSTESS,1,4,4,0,78,78,0,onward_2020_s039,353,
onward_2020,onward_2020_althea,Althea,ALTHEA,1,3,3,0,12,12,0,onward_2020_s017,155,
onward_2020,onward_2020_cobweb,Cobweb,COBWEB,1,3,3,0,42,42,0,onward_2020_s061,561,
onward_2020,onward_2020_colt_ian,Colt/Ian,COLT/IAN,1,3,3,0,89,89,0,onward_2020_s075,686,
onward_2020,onward_2020_end_flashback,End Flashback.,END FLASHBACK.,1,3,3,0,51,51,0,onward_2020_s102,1030,
onward_2020,onward_2020_gorgamon,Gorgamon,GORGAMON,1,3,3,0,51,51,0,onward_2020_s014,120,
onward_2020,onward_2020_windshield_sprite,Windshield Sprite,WINDSHIELD SPRITE,1,3,3,0,54,54,0,onward_2020_s095,935,
onward_2020,onward_2020_fennwick,Fennwick,FENNWICK,1,2,2,0,62,62,0,onward_2020_s100,1020,
onward_2020,onward_2020_gurge,Gurge,GURGE,1,2,2,0,21,21,0,onward_2020_s017,138,
onward_2020,onward_2020_ian_colt,Ian/Colt,IAN/COLT,1,2,2,0,95,95,0,onward_2020_s075,706,
onward_2020,onward_2020_apprentice,Apprentice,APPRENTICE,1,1,1,0,8,8,0,onward_2020_s004,10,
onward_2020,onward_2020_barley_points_to_a_crayon_signature_that_reads,Barley Points To A Crayon Signature That Reads,Barley points to a crayon signature that reads,1,1,1,0,1,1,0,onward_2020_s046,426,
onward_2020,onward_2020_be_like_dad,Be Like Dad,BE LIKE DAD,1,1,1,0,10,10,0,onward_2020_s013,117,
onward_2020,onward_2020_birthday_kids,Birthday Kids,BIRTHDAY KIDS,1,1,1,0,11,11,0,onward_2020_s111,1097,
onward_2020,onward_2020_brave_wizard,Brave Wizard,BRAVE WIZARD,1,1,1,0,22,22,0,onward_2020_s003,7,
onward_2020,onward_2020_bullseye_sprite,Bullseye Sprite,BULLSEYE SPRITE,1,1,1,0,10,10,0,onward_2020_s111,1094,
onward_2020,onward_2020_elf_wizard,Elf Wizard,ELF WIZARD,1,1,1,0,15,15,0,onward_2020_s001,4,
onward_2020,onward_2020_fitness_instructor,Fitness Instructor,FITNESS INSTRUCTOR,1,1,1,0,15,15,0,onward_2020_s007,16,
onward_2020,onward_2020_fitness_models,Fitness Models,FITNESS MODELS,1,1,1,0,4,4,0,onward_2020_s007,17,
onward_2020,onward_2020_flying_sprites,Flying Sprites,FLYING SPRITES,1,1,1,0,12,12,0,onward_2020_s095,940,
onward_2020,onward_2020_gas_station_clerk,Gas Station Clerk,GAS STATION CLERK,1,1,1,0,26,26,0,onward_2020_s061,574,
onward_2020,onward_2020_gas_station_victim,Gas Station Victim,GAS STATION VICTIM,1,1,1,0,9,9,0,onward_2020_s060,559,
onward_2020,onward_2020_gaxton_s_son,Gaxton'S Son,GAXTON'S SON,1,1,1,0,1,1,0,onward_2020_s012,111,
onward_2020,onward_2020_gps_voice,Gps Voice,GPS VOICE,1,1,1,0,16,16,0,onward_2020_s048,445,
onward_2020,onward_2020_i_call_it,I Call It,I call it,1,1,1,0,39,39,0,onward_2020_s004,9,
onward_2020,onward_2020_invite_people_to_party,Invite People To Party,INVITE PEOPLE TO PARTY,1,1,1,0,13,13,0,onward_2020_s013,116,
onward_2020,onward_2020_master_wizard,Master Wizard,MASTER WIZARD,1,1,1,0,38,38,0,onward_2020_s004,11,
onward_2020,onward_2020_mustardseed,Mustardseed,MUSTARDSEED,1,1,1,0,13,13,0,onward_2020_s061,575,
onward_2020,onward_2020_parthenope,Parthenope,PARTHENOPE,1,1,1,0,3,3,0,onward_2020_s017,162,
onward_2020,onward_2020_rogue_waiter,Rogue Waiter,ROGUE WAITER,1,1,1,0,21,21,0,onward_2020_s041,405,
onward_2020,onward_2020_satyr_wizard,Satyr Wizard,SATYR WIZARD,1,1,1,0,12,12,0,onward_2020_s002,6,
onward_2020,onward_2020_tavern_patron,Tavern Patron,TAVERN PATRON,1,1,1,0,7,7,0,onward_2020_s039,350,
onward_2020,onward_2020_tavern_waitress,Tavern Waitress,TAVERN WAITRESS,1,1,1,0,29,29,0,onward_2020_s039,351,
onward_2020,onward_2020_teacher,Teacher,TEACHER,1,1,1,0,18,18,0,onward_2020_s014,118,
onward_2020,onward_2020_the_van_travels_past_a_road_sign,The Van Travels Past A Road Sign,The van travels past a road sign,1,1,1,0,10,10,0,onward_2020_s029,306,
onward_2020,onward_2020_then_another_card,Then Another Card,Then another card,1,1,1,0,6,6,0,onward_2020_s026,293,
onward_2020,onward_2020_theyus,Theyus,THEYUS,1,1,1,0,12,12,0,onward_2020_s112,1101,
onward_2020,onward_2020_title,Title,TITLE,1,1,1,0,1,1,0,onward_2020_s006,15,
onward_2020,onward_2020_waiters,Waiters,WAITERS,1,1,1,0,28,28,0,onward_2020_s039,348,
onward_2020,onward_2020_yeldaeh,Yeldaeh,YELDAEH,1,1,1,0,9,9,0,onward_2020_s112,1099,
