film_id,parser_character_id,review_character_id,parser_canonical_name,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,gender,gender_rationale,is_named,is_protagonist,included_in_network,merge_into_character_id,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,review_notes
onward_2020,onward_2020_ian,onward_2020_ian,Ian,Ian,IAN | IAN (V.O.),2,M,,1,1,1,,383,383,0,5263,5263,0,onward_2020_s007,19,
onward_2020,onward_2020_barley,onward_2020_barley,Barley,Barley,BARLEY | BARLEY (O.S.) | YOUNG BARLEY,3,M,,1,0,1,,364,364,0,6477,6477,0,onward_2020_s008,45,
onward_2020,onward_2020_laurel,onward_2020_laurel,Laurel,Laurel,LAUREL | LAUREL (O.S.),2,F,,1,0,1,,106,106,0,1706,1706,0,onward_2020_s007,18,
onward_2020,onward_2020_manticore,onward_2020_manticore,Manticore,Manticore,MANTICORE,1,F,,1,0,1,,66,66,0,1250,1250,0,onward_2020_s040,357,
onward_2020,onward_2020_colt,onward_2020_colt,Colt,Colt,COLT | COLT (O.S.) | COLT (ON PHONE),3,M,,1,0,1,,42,42,0,611,611,0,onward_2020_s009,60,
onward_2020,onward_2020_dad,onward_2020_dad,Dad,Dad,DAD | DAD (V.O.),2,M,,1,0,1,,21,21,0,312,312,0,onward_2020_s001,1,
onward_2020,onward_2020_dewdrop,onward_2020_dewdrop,Dewdrop,Dewdrop,DEWDROP | DEWDROP (O.S.),2,F,,1,0,1,,15,15,0,199,199,0,onward_2020_s060,558,
onward_2020,onward_2020_officer_specter,onward_2020_officer_specter,Officer Specter,Officer Specter,OFFICER SPECTER,1,F,,1,0,1,,15,15,0,240,240,0,onward_2020_s073,671,
onward_2020,onward_2020_officer_gore,onward_2020_officer_gore,Officer Gore,Officer Gore,OFFICER GORE | OFFICER GORE (O.S.),2,F,,1,0,1,,12,12,0,167,167,0,onward_2020_s009,58,
onward_2020,onward_2020_grecklin,onward_2020_grecklin,Grecklin,Grecklin,GRECKLIN,1,F,,1,0,1,,10,10,0,87,87,0,onward_2020_s080,768,
onward_2020,onward_2020_gaxton,onward_2020_gaxton,Gaxton,Gaxton,GAXTON,1,M,,1,0,1,,9,9,0,123,123,0,onward_2020_s012,97,
onward_2020,onward_2020_officer_avel,onward_2020_officer_avel,Officer Avel,Officer Avel,OFFICER AVEL,1,M,,1,0,1,,9,9,0,117,117,0,onward_2020_s051,460,
onward_2020,onward_2020_sadalia,onward_2020_sadalia,Sadalia,Sadalia,SADALIA,1,F,,1,0,1,,9,9,0,75,75,0,onward_2020_s017,137,
onward_2020,onward_2020_driving_instructor,onward_2020_driving_instructor,Driving Instructor,Driving Instructor,DRIVING INSTRUCTOR,1,F,,0,0,1,,7,7,0,76,76,0,onward_2020_s015,125,
onward_2020,onward_2020_costumed_manticore,onward_2020_costumed_manticore,Costumed Manticore,Costumed Manticore,COSTUMED MANTICORE,1,F,,1,0,1,onward_2020_manticore,4,4,0,47,47,0,onward_2020_s041,409,
onward_2020,onward_2020_hostess,onward_2020_hostess,Hostess,Hostess,HOSTESS,1,F,,0,0,0,,4,4,0,78,78,0,onward_2020_s039,353,
onward_2020,onward_2020_althea,onward_2020_althea,Althea,Althea,ALTHEA,1,F,,1,0,0,,3,3,0,12,12,0,onward_2020_s017,155,
onward_2020,onward_2020_cobweb,onward_2020_cobweb,Cobweb,Cobweb,COBWEB,1,M,,1,0,0,,3,3,0,42,42,0,onward_2020_s061,561,
onward_2020,onward_2020_colt_ian,onward_2020_colt_ian,Colt/Ian,Colt/Ian,COLT/IAN,1,M,,1,0,0,,3,3,0,89,89,0,onward_2020_s075,686,
onward_2020,onward_2020_gorgamon,onward_2020_gorgamon,Gorgamon,Gorgamon,GORGAMON,1,M,,1,0,0,,3,3,0,51,51,0,onward_2020_s014,120,
onward_2020,onward_2020_windshield_sprite,onward_2020_windshield_sprite,Windshield Sprite,Windshield Sprite,WINDSHIELD SPRITE,1,M,,1,0,0,,3,3,0,54,54,0,onward_2020_s095,935,
onward_2020,onward_2020_fennwick,onward_2020_fennwick,Fennwick,Fennwick,FENNWICK,1,M,,1,0,0,,2,2,0,62,62,0,onward_2020_s100,1020,
onward_2020,onward_2020_gurge,onward_2020_gurge,Gurge,Gurge,GURGE,1,M,,1,0,0,,2,2,0,21,21,0,onward_2020_s017,138,
onward_2020,onward_2020_ian_colt,onward_2020_ian_colt,Ian/Colt,Ian/Colt,IAN/COLT,1,M,,1,0,0,,2,2,0,95,95,0,onward_2020_s075,706,
onward_2020,onward_2020_apprentice,onward_2020_apprentice,Apprentice,Apprentice,APPRENTICE,1,M,,0,0,0,,1,1,0,8,8,0,onward_2020_s004,10,
onward_2020,onward_2020_birthday_kids,onward_2020_birthday_kids,Birthday Kids,Birthday Kids,BIRTHDAY KIDS,1,Both,,0,0,0,,1,1,0,11,11,0,onward_2020_s111,1097,
onward_2020,onward_2020_brave_wizard,onward_2020_brave_wizard,Brave Wizard,Brave Wizard,BRAVE WIZARD,1,M,,0,0,0,,1,1,0,22,22,0,onward_2020_s003,7,
onward_2020,onward_2020_bullseye_sprite,onward_2020_bullseye_sprite,Bullseye Sprite,Bullseye Sprite,BULLSEYE SPRITE,1,M,,0,0,0,,1,1,0,10,10,0,onward_2020_s111,1094,
onward_2020,onward_2020_elf_wizard,onward_2020_elf_wizard,Elf Wizard,Elf Wizard,ELF WIZARD,1,M,,0,0,0,,1,1,0,15,15,0,onward_2020_s001,4,
onward_2020,onward_2020_fitness_instructor,onward_2020_fitness_instructor,Fitness Instructor,Fitness Instructor,FITNESS INSTRUCTOR,1,M,,0,0,0,,1,1,0,15,15,0,onward_2020_s007,16,
onward_2020,onward_2020_fitness_models,onward_2020_fitness_models,Fitness Models,Fitness Models,FITNESS MODELS,1,Both,,0,0,0,,1,1,0,4,4,0,onward_2020_s007,17,
onward_2020,onward_2020_flying_sprites,onward_2020_flying_sprites,Flying Sprites,Flying Sprites,FLYING SPRITES,1,M,,0,0,0,,1,1,0,12,12,0,onward_2020_s095,940,
onward_2020,onward_2020_gas_station_clerk,onward_2020_gas_station_clerk,Gas Station Clerk,Gas Station Clerk,GAS STATION CLERK,1,M,,0,0,0,,1,1,0,26,26,0,onward_2020_s061,574,
onward_2020,onward_2020_gas_station_victim,onward_2020_gas_station_victim,Gas Station Victim,Gas Station Victim,GAS STATION VICTIM,1,M,,0,0,0,,1,1,0,9,9,0,onward_2020_s060,559,
onward_2020,onward_2020_gaxton_s_son,onward_2020_gaxton_s_son,Gaxton'S Son,Gaxton'S Son,GAXTON'S SON,1,M,,0,0,0,,1,1,0,1,1,0,onward_2020_s012,111,
onward_2020,onward_2020_gps_voice,onward_2020_gps_voice,Gps Voice,Gps Voice,GPS VOICE,1,F,,0,0,0,,1,1,0,16,16,0,onward_2020_s048,445,
onward_2020,onward_2020_master_wizard,onward_2020_master_wizard,Master Wizard,Master Wizard,MASTER WIZARD,1,M,,0,0,0,,1,1,0,38,38,0,onward_2020_s004,11,
onward_2020,onward_2020_mustardseed,onward_2020_mustardseed,Mustardseed,Mustardseed,MUSTARDSEED,1,M,,1,0,0,,1,1,0,13,13,0,onward_2020_s061,575,
onward_2020,onward_2020_parthenope,onward_2020_parthenope,Parthenope,Parthenope,PARTHENOPE,1,F,,1,0,0,,1,1,0,3,3,0,onward_2020_s017,162,
onward_2020,onward_2020_rogue_waiter,onward_2020_rogue_waiter,Rogue Waiter,Rogue Waiter,ROGUE WAITER,1,M,,1,0,0,,1,1,0,21,21,0,onward_2020_s041,405,
onward_2020,onward_2020_satyr_wizard,onward_2020_satyr_wizard,Satyr Wizard,Satyr Wizard,SATYR WIZARD,1,M,,1,0,0,,1,1,0,12,12,0,onward_2020_s002,6,
onward_2020,onward_2020_tavern_patron,onward_2020_tavern_patron,Tavern Patron,Tavern Patron,TAVERN PATRON,1,M,,0,0,0,,1,1,0,7,7,0,onward_2020_s039,350,
onward_2020,onward_2020_tavern_waitress,onward_2020_tavern_waitress,Tavern Waitress,Tavern Waitress,TAVERN WAITRESS,1,F,,0,0,0,,1,1,0,29,29,0,onward_2020_s039,351,
onward_2020,onward_2020_teacher,onward_2020_teacher,Teacher,Teacher,TEACHER,1,F,,0,0,0,,1,1,0,18,18,0,onward_2020_s014,118,
onward_2020,onward_2020_theyus,onward_2020_theyus,Theyus,Theyus,THEYUS,1,M,,1,0,0,,1,1,0,12,12,0,onward_2020_s112,1101,
onward_2020,onward_2020_waiters,onward_2020_waiters,Waiters,Waiters,WAITERS,1,Both,,0,0,0,,1,1,0,28,28,0,onward_2020_s039,348,
onward_2020,onward_2020_yeldaeh,onward_2020_yeldaeh,Yeldaeh,Yeldaeh,YELDAEH,1,F,,0,0,0,,1,1,0,9,9,0,onward_2020_s112,1099,
