speaker_clean,addressee_clean,utterance_count
onward_2020_barley,onward_2020_ian,252
onward_2020_ian,onward_2020_barley,195
onward_2020_laurel,onward_2020_ian,22
onward_2020_ian,onward_2020_laurel,22
onward_2020_manticore,onward_2020_laurel,22
onward_2020_ian,onward_2020_dad,21
onward_2020_barley,onward_2020_dad,17
onward_2020_laurel,onward_2020_manticore,17
onward_2020_colt,onward_2020_laurel,14
onward_2020_laurel,onward_2020_colt,14
onward_2020_officer_specter,onward_2020_colt,11
onward_2020_laurel,onward_2020_barley,11
onward_2020_ian,onward_2020_manticore,10
onward_2020_dad,onward_2020_ian,9
onward_2020_barley,onward_2020_manticore,8
onward_2020_gaxton,onward_2020_ian,8
onward_2020_sadalia,onward_2020_ian,8
onward_2020_ian,onward_2020_gaxton,7
onward_2020_laurel,onward_2020_dad,7
onward_2020_driving_instructor,onward_2020_ian,6
onward_2020_colt,onward_2020_barley,6
onward_2020_barley,onward_2020_colt,6
onward_2020_colt,onward_2020_officer_specter,6
onward_2020_dad,onward_2020_laurel,6
onward_2020_barley,onward_2020_dewdrop,5
onward_2020_grecklin,onward_2020_laurel,5
onward_2020_barley,onward_2020_laurel,5
onward_2020_laurel,onward_2020_officer_avel,5
onward_2020_officer_gore,onward_2020_colt,5
onward_2020_dewdrop,onward_2020_barley,5
onward_2020_manticore,onward_2020_grecklin,4
onward_2020_ian,onward_2020_colt,4
onward_2020_colt,onward_2020_officer_gore,4
onward_2020_officer_avel,onward_2020_laurel,4
onward_2020_manticore,onward_2020_ian,4
onward_2020_manticore,onward_2020_barley,4
onward_2020_colt,onward_2020_ian,3
onward_2020_ian,onward_2020_sadalia,3
onward_2020_grecklin,onward_2020_manticore,3
onward_2020_laurel,onward_2020_grecklin,3
onward_2020_officer_avel,onward_2020_manticore,3
