film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
onward_2020,onward_2020_s001,1,EXT. FANTASY LANDSCAPE - DAY,slug_line,7,34,0.0,4,4,0
onward_2020,onward_2020_s002,2,EXT. CLIFF - DAY,slug_line,35,48,0.0087,2,2,0
onward_2020,onward_2020_s003,3,INT. UNDERGROUND TUNNELS - NIGHT,slug_line,49,58,0.0174,1,1,0
onward_2020,onward_2020_s004,4,EXT. MUSHROOM VILLAGE - DUSK,slug_line,59,104,0.0261,5,5,0
onward_2020,onward_2020_s005,5,EXT. SUBURBAN STREET - MORNING,slug_line,105,108,0.0348,0,0,0
onward_2020,onward_2020_s006,6,INT. LIGHTFOOT HOUSE - IAN’S ROOM - MORNING,slug_line,109,130,0.0435,3,3,0
onward_2020,onward_2020_s007,7,EXT. MUSHROOM NEIGHBORHOOD - DAY,slug_line,131,222,0.0522,17,17,0
onward_2020,onward_2020_s008,8,INT. LIGHTFOOT KITCHEN - CONTINUOUS,slug_line,223,364,0.0609,25,25,0
onward_2020,onward_2020_s009,9,EXT. LIGHTFOOT HOME - CONTINUOUS,slug_line,365,426,0.0696,11,11,0
onward_2020,onward_2020_s010,10,INT. LIGHTFOOT HOME - KITCHEN - DAY,slug_line,427,594,0.0783,28,28,0
onward_2020,onward_2020_s011,11,EXT. BURGERSHIRE RESTAURANT - DAY,slug_line,595,598,0.087,0,0,0
onward_2020,onward_2020_s012,12,INT. BURGERSHIRE RESTAURANT - DAY,slug_line,599,706,0.0957,19,19,0
onward_2020,onward_2020_s013,13,EXT. NEW MUSHROOMTON HIGH SCHOOL - MORNING,slug_line,707,722,0.1043,2,2,0
onward_2020,onward_2020_s014,14,INT. CLASSROOM - DAY,slug_line,723,760,0.113,7,7,0
onward_2020,onward_2020_s015,15,EXT. HIGH SCHOOL PARKING LOT - LATER,slug_line,761,770,0.1217,1,1,0
onward_2020,onward_2020_s016,16,INT. DRIVER’S ED CAR - DAY,slug_line,771,832,0.1304,11,11,0
