film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name,confidence
onward_2020,1,onward_2020_s001,onward_2020_s001_u0001,0.0,DAD,DAD (V.O.),onward_2020_dad,Dad,It was adventurous... The land below is alive with FANTASY CREATURES. We pass through a field of racing CENTAURS.,19,spoken,monologue,monologue,11,,standalone,M,,1,0,1,Dad,medium
onward_2020,2,onward_2020_s001,onward_2020_s001_u0002,0.0,DAD,DAD (V.O.),onward_2020_dad,Dad,"Exciting... Mermaids leap through shimming water and FAIRIES fly through the air, spiraling up into the sky.",17,spoken,monologue,monologue,17,,standalone,M,,1,0,1,Dad,medium
onward_2020,3,onward_2020_s001,onward_2020_s001_u0003,0.0,DAD,DAD (V.O.),onward_2020_dad,Dad,"And best of all... there was MAGIC! We stop on an ELF WIZARD holding a gnarled wooden staff. He turns and thrusts his staff toward the sky, casting a spell.",30,spoken,monologue,monologue,23,,standalone,M,,1,0,1,Dad,medium
onward_2020,4,onward_2020_s001,onward_2020_s001_u0004,0.0,ELF WIZARD,ELF WIZARD,onward_2020_elf_wizard,Elf Wizard,Boombastia! Fireworks shoot magically into the air. Fantasy creatures across the land watch in awe.,15,spoken,non_human,non_human,29,,standalone,M,,0,0,0,Elf Wizard,high
onward_2020,5,onward_2020_s002,onward_2020_s002_u0005,0.0088,DAD,DAD (V.O.),onward_2020_dad,Dad,And that magic helped all in need. A SATYR WIZARD approaches.,11,spoken,group,unclear,39,,standalone,M,,1,0,1,Dad,high
onward_2020,6,onward_2020_s002,onward_2020_s002_u0006,0.0088,SATYR WIZARD,SATYR WIZARD,onward_2020_satyr_wizard,Satyr Wizard,Flame Infernar! A fire appears and they happily warm themselves by it.,12,spoken,group,unclear,43,,standalone,M,,1,0,0,Satyr Wizard,high
onward_2020,7,onward_2020_s003,onward_2020_s003_u0007,0.0175,BRAVE WIZARD,BRAVE WIZARD,onward_2020_brave_wizard,Brave Wizard,"Voltar Thundasir! A lighting bolt zaps the ceiling, crashing rocks down in front of the dragon, clearing their path to the chalice.",22,spoken,,,53,,standalone,M,,0,0,0,Brave Wizard,
onward_2020,8,onward_2020_s004,onward_2020_s004_u0008,0.0263,DAD,DAD (V.O.),onward_2020_dad,Dad,But it wasn’t easy to master. And so the world found a simpler way to get by... The wizard and apprentice see a satyr INVENTOR in a barn surrounded by fantasy creatures.,32,spoken,monologue,monologue,63,,standalone,M,,1,0,1,Dad,high
onward_2020,10,onward_2020_s004,onward_2020_s004_u0010,0.0263,APPRENTICE,APPRENTICE,onward_2020_apprentice,Apprentice,"‘Tis so easy! The wizard looks on, disappointed.",8,spoken,monologue,monologue,77,,standalone,M,,0,0,0,Apprentice,high
onward_2020,11,onward_2020_s004,onward_2020_s004_u0011,0.0263,MASTER WIZARD,MASTER WIZARD,onward_2020_master_wizard,Master Wizard,"Huh. An elf on a sales floor lights up a gas stove with a click, click. Everyone reacts in amazement. Goblins sit in a cozy living room. One of them turns on a gas fireplace using a remote.",38,spoken,monologue,monologue,83,,standalone,M,,0,0,0,Master Wizard,high
