speaker_clean,addressee_clean,utterance_count
raya_and_the_last_dragon_2021_raya,raya_and_the_last_dragon_2021_sisu,109
raya_and_the_last_dragon_2021_sisu,raya_and_the_last_dragon_2021_raya,104
raya_and_the_last_dragon_2021_raya,raya_and_the_last_dragon_2021_namaari,41
raya_and_the_last_dragon_2021_namaari,raya_and_the_last_dragon_2021_raya,34
raya_and_the_last_dragon_2021_raya,raya_and_the_last_dragon_2021_benja,27
raya_and_the_last_dragon_2021_benja,raya_and_the_last_dragon_2021_raya,24
raya_and_the_last_dragon_2021_boun,raya_and_the_last_dragon_2021_raya,23
raya_and_the_last_dragon_2021_raya,raya_and_the_last_dragon_2021_boun,19
raya_and_the_last_dragon_2021_namaari,raya_and_the_last_dragon_2021_virana,13
raya_and_the_last_dragon_2021_virana,raya_and_the_last_dragon_2021_namaari,13
raya_and_the_last_dragon_2021_raya,raya_and_the_last_dragon_2021_tong,10
raya_and_the_last_dragon_2021_sisu,raya_and_the_last_dragon_2021_boun,8
raya_and_the_last_dragon_2021_boun,raya_and_the_last_dragon_2021_sisu,8
raya_and_the_last_dragon_2021_dang_hu,raya_and_the_last_dragon_2021_sisu,8
raya_and_the_last_dragon_2021_boun,raya_and_the_last_dragon_2021_tong,6
raya_and_the_last_dragon_2021_sisu,raya_and_the_last_dragon_2021_tong,6
raya_and_the_last_dragon_2021_male_merchant,raya_and_the_last_dragon_2021_sisu,5
raya_and_the_last_dragon_2021_tong,raya_and_the_last_dragon_2021_sisu,5
raya_and_the_last_dragon_2021_sisu,raya_and_the_last_dragon_2021_namaari,5
raya_and_the_last_dragon_2021_sisu,raya_and_the_last_dragon_2021_dang_hu,4
raya_and_the_last_dragon_2021_namaari,raya_and_the_last_dragon_2021_sisu,3
raya_and_the_last_dragon_2021_tong,raya_and_the_last_dragon_2021_raya,3
raya_and_the_last_dragon_2021_tong,raya_and_the_last_dragon_2021_boun,3
