film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s001,1,EXT. DYSTOPIC KUMANDRA - DAY,slug_line,7,89,0.0,13,13,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s002,2,INT. DARK ROOM - NIGHT,slug_line,90,101,0.0132,2,2,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s003,3,EXT. HEART PALACE GROUNDS - CONTINUOUS,slug_line,102,105,0.0263,0,0,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s004,4,INT. DRAGON TEMPLE - CONTINUOUS,slug_line,106,146,0.0395,6,6,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s005,5,INT. CHAMBER OF THE DRAGON GEM - CONTINUOUS,slug_line,147,247,0.0526,15,15,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s006,6,EXT. HEART PALACE - DAY,slug_line,248,253,0.0658,0,0,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s007,7,INT. PALACE HALLWAY - DAY,slug_line,254,315,0.0789,12,12,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s008,8,INT. KITCHEN - DAY.,slug_line,316,375,0.0921,13,13,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s009,9,EXT. BRIDGE - NEW DAY,slug_line,376,457,0.1053,17,17,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s010,10,INT. PALACE - NIGHT,slug_line,458,563,0.1184,27,27,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s011,11,INT. DRAGON TEMPLE - NIGHT,slug_line,564,591,0.1316,4,4,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s012,12,INT. PALACE - DAY,slug_line,592,600,0.1447,1,1,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s013,13,INT. DRAGON TEMPLE - NIGHT,slug_line,601,687,0.1579,15,15,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s014,14,EXT. HEART BRIDGE - DAY,slug_line,688,733,0.1711,12,12,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s015,15,EXT. TAIL DESERT - DAY,slug_line,734,741,0.1842,0,0,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s016,16,EXT. TAIL OUTSKIRTS - DAY,slug_line,742,775,0.1974,4,4,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s017,17,EXT. DRIED UP OCEAN BASIN - DAY,slug_line,776,788,0.2105,2,2,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s018,18,INT. SHIP WRECKAGE - DAY,slug_line,789,913,0.2237,24,24,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s019,19,EXT. THE BOAT - CONTINUOUS,slug_line,914,918,0.2368,1,1,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s020,20,INT. THE BOAT - CONTINUOUS,slug_line,919,1009,0.25,28,27,1
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s021,21,EXT. TAIL DESERT - DAY,slug_line,1010,1034,0.2632,3,3,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s022,22,EXT. TAIL RUINS - DAY,slug_line,1035,1086,0.2763,11,11,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s023,23,INT. THE TAIL DRAGON TEMPLE - DAY,slug_line,1087,1152,0.2895,17,17,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s024,24,INT. TAIL RUINS INMOST CHAMBER - MOMENTS LATER,slug_line,1153,1282,0.3026,29,29,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s025,25,EXT. TAIL RUINS - CONTINUOUS,slug_line,1283,1287,0.3158,1,1,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s026,26,EXT. SLOT CANYONS - DAY,slug_line,1288,1326,0.3289,9,8,1
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s027,27,INT. SHRIMP BOAT - DAY,slug_line,1327,1416,0.3421,21,21,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s028,28,EXT. KUMANDRAN RIVER - ESTABLISHING - DAY,slug_line,1417,1423,0.3553,0,0,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s029,29,EXT. BOUN’S SHRIMP BOAT - DAY,slug_line,1424,1527,0.3684,24,24,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s030,30,EXT. DRAGON GRAVEYARD - DAY,slug_line,1528,1534,0.3816,0,0,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s031,31,EXT. THE RIVER - EARLY EVENING,slug_line,1535,1580,0.3947,8,8,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s032,32,EXT. CITY OF TALON - ESTABLISHING - NIGHT,slug_line,1581,1593,0.4079,3,3,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s033,33,EXT. SHRIMP BOAT - NIGHT,slug_line,1594,1609,0.4211,4,4,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s034,34,INT. GANGSTER’S LAIR - FANTASY,slug_line,1610,1643,0.4342,9,9,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s035,35,EXT. TALON DOCK - CONTINUOUS,slug_line,1644,1652,0.4474,2,2,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s036,36,EXT. TALON STREET - NIGHT,slug_line,1653,1694,0.4605,8,8,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s037,37,EXT. SHRIMP BOAT - CONTINUOUS,slug_line,1695,1722,0.4737,6,6,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s038,38,EXT. TALON MARKET - NIGHT,slug_line,1723,1781,0.4868,12,12,0
raya_and_the_last_dragon_2021,raya_and_the_last_dragon_2021_s039,39,EXT. TALON STREET - NIGHT,slug_line,1782,1816,0.5,5,5,0
