film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
toy-story-1995,toy-story-1995_woody,Woody,WOODY | WOODY (O.S.) | WOODY (V.O.) | WOODY (VOICE BOX) | WOODY (as BUZZ),5,260,260,0,2349,2349,0,toy-story-1995_s002,6,
toy-story-1995,toy-story-1995_buzz,Buzz,BUZZ | BUZZ (CONT'D) | BUZZ (O.S.) | BUZZ (O.S.; SAMPLED VOICE) | BUZZ (SAMPLED VOICE) | BUZZ (in burger container) | BUZZ (in container) | TV BUZZ | TV BUZZ (SAMPLED VOICE),9,128,128,0,1088,1088,0,toy-story-1995_s023,154,
toy-story-1995,toy-story-1995_sid,Sid,SID | SID (O.S.) | SID (O.S.; as INTERROGATOR) | SID (as ASTRONAUT) | SID (as DOCTOR) | SID (as INTERROGATOR) | SID (as NEWSCASTER) | SID (as NURSE),8,54,54,0,400,400,0,toy-story-1995_s026,240,
toy-story-1995,toy-story-1995_andy,Andy,ANDY | ANDY (O.S.) | ANDY (as BO PEEP) | ANDY (as DINOSAUR) | ANDY (as POTATO HEAD) | ANDY (as SHEEP) | ANDY (as SLINKY DOG) | ANDY (as WOODY),8,51,51,0,293,293,0,toy-story-1995_s002,1,
toy-story-1995,toy-story-1995_mr_potato_head,Mr. Potato Head,MR POTATO HEAD | MR. POTATO HEAD | MR. POTATO HEAD (O.S.) | POTATO HEAD | POTATO HEAD (O.S.),5,49,49,0,395,395,0,toy-story-1995_s005,31,
toy-story-1995,toy-story-1995_rex,Rex,REX | REX (O.S.),2,46,45,1,351,345,6,toy-story-1995_s005,52,
toy-story-1995,toy-story-1995_slinky,Slinky,SLINKY | SLINKY (O.S.),2,31,31,0,204,204,0,toy-story-1995_s005,38,
toy-story-1995,toy-story-1995_hamm,Hamm,HAMM,1,27,27,0,188,188,0,toy-story-1995_s005,33,
toy-story-1995,toy-story-1995_mrs_davis,Mrs. Davis,MOM (O.S.) | MRS. DAVIS | MRS. DAVIS (O.S.),3,26,26,0,205,205,0,toy-story-1995_s004,22,
toy-story-1995,toy-story-1995_sargent,Sargent,SARGENT | SARGENT (O.S.) | SARGENT (O.S.; from monitor) | SARGENT (O.S.; over monitor) | SARGENT (O.S.; over the monitor),5,24,24,0,243,243,0,toy-story-1995_s005,36,
toy-story-1995,toy-story-1995_hannah,Hannah,HANNAH | HANNAH (O.S.),2,23,23,0,118,118,0,toy-story-1995_s044,435,
toy-story-1995,toy-story-1995_bo_peep,Bo Peep,BO PEEP | BO PEEP (O.S.),2,21,21,0,129,129,0,toy-story-1995_s005,56,
toy-story-1995,toy-story-1995_tv_announcer,TV Announcer,TV ANNOUNCER (V.O.),1,7,7,0,45,45,0,toy-story-1995_s052,506,
toy-story-1995,toy-story-1995_pizza_deliverer,Pizza Deliverer,PIZZA DELIVERER (O.S.),1,5,5,0,43,43,0,toy-story-1995_s033,356,
