film_id,parser_character_id,review_character_id,parser_canonical_name,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,gender,gender_rationale,is_named,is_protagonist,included_in_network,merge_into_character_id,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,review_notes
toy_story_1995,toy_story_1995_woody,toy_story_1995_woody,Woody,Woody,WOODY | WOODY (AS BUZZ) | WOODY (O.S.) | WOODY (V.O.) | WOODY (VOICE BOX),5,M,,1,1,1,,279,277,2,2280,2250,30,toy_story_1995_s001,7,
toy_story_1995,toy_story_1995_buzz,toy_story_1995_buzz,Buzz,Buzz,BUZZ | BUZZ (O.S.) | BUZZ (O.S.; SAMPLED VOICE) | BUZZ (SAMPLED VOICE),4,M,,1,False,1,,143,143,0,1179,1179,0,toy_story_1995_s022,170,
toy_story_1995,toy_story_1995_sid,toy_story_1995_sid,Sid,Sid,SID | SID (AS ASTRONAUT) | SID (O.S.) | SID (O.S.; AS ASTRONAUT),4,M,,1,0,1,,58,58,0,397,397,0,toy_story_1995_s025,267,
toy_story_1995,toy_story_1995_andy,toy_story_1995_andy,Andy,Andy,ANDY | ANDY (AS BO PEEP) | ANDY (AS DINOSAUR) | ANDY (AS POTATO HEAD) | ANDY (AS SHEEP) | ANDY (AS SLINKY DOG) | ANDY (AS WOODY) | ANDY (O.S.),8,M,,1,0,1,,57,55,2,310,305,5,toy_story_1995_s001,1,
toy_story_1995,toy_story_1995_mr_potato_head,toy_story_1995_mr_potato_head,Mr. Potato Head,Mr. Potato Head,MR. POTATO HEAD | MR. POTATO HEAD (O.S.),2,M,,1,0,1,,52,52,0,406,406,0,toy_story_1995_s004,36,
toy_story_1995,toy_story_1995_rex,toy_story_1995_rex,Rex,Rex,REX | REX (O.S.),2,M,,1,0,1,,51,51,0,372,372,0,toy_story_1995_s004,58,
toy_story_1995,toy_story_1995_slinky,toy_story_1995_slinky,Slinky,Slinky,SLINKY | SLINKY (O.S.),2,M,,1,0,1,,34,34,0,221,221,0,toy_story_1995_s004,44,
toy_story_1995,toy_story_1995_hamm,toy_story_1995_hamm,Hamm,Hamm,HAMM,1,M,,1,0,1,,33,33,0,225,225,0,toy_story_1995_s004,38,
toy_story_1995,toy_story_1995_mrs_davis,toy_story_1995_mrs_davis,Mrs. Davis,Mrs. Davis,MRS. DAVIS | MRS. DAVIS (O.S.),2,F,,1,0,1,,28,28,0,227,227,0,toy_story_1995_s003,23,
toy_story_1995,toy_story_1995_sargent,toy_story_1995_sargent,Sargent,Sargent,SARGENT | SARGENT (O.S.),2,M,,1,0,1,,24,23,1,204,196,8,toy_story_1995_s004,41,
