speaker_clean,addressee_clean,utterance_count
toy_story_1995_woody,toy_story_1995_buzz,114
toy_story_1995_buzz,toy_story_1995_woody,91
toy_story_1995_andy,toy_story_1995_mrs_davis,22
toy_story_1995_mrs_davis,toy_story_1995_andy,21
toy_story_1995_slinky,toy_story_1995_woody,15
toy_story_1995_hannah,toy_story_1995_sid,12
toy_story_1995_rex,toy_story_1995_woody,11
toy_story_1995_bo_peep,toy_story_1995_woody,11
toy_story_1995_woody,toy_story_1995_sid,11
toy_story_1995_woody,toy_story_1995_slinky,10
toy_story_1995_sid,toy_story_1995_hannah,10
toy_story_1995_mr_potato_head,toy_story_1995_woody,9
toy_story_1995_rex,toy_story_1995_buzz,8
toy_story_1995_hamm,toy_story_1995_mr_potato_head,7
toy_story_1995_sid,toy_story_1995_woody,6
toy_story_1995_andy,toy_story_1995_woody,5
toy_story_1995_sargent,toy_story_1995_woody,4
toy_story_1995_mr_potato_head,toy_story_1995_hamm,4
toy_story_1995_woody,toy_story_1995_bo_peep,4
toy_story_1995_hamm,toy_story_1995_woody,3
toy_story_1995_woody,toy_story_1995_mr_potato_head,3
toy_story_1995_woody,toy_story_1995_andy,3
toy_story_1995_woody,toy_story_1995_sargent,3
toy_story_1995_woody,toy_story_1995_rex,3
