film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
toy_story_1995,toy_story_1995_s001,1,INT. ANDY'S BEDROOM,slug_line,22,163,0.0,5,5,0
toy_story_1995,toy_story_1995_s002,2,INT. STAIRWELL,slug_line,164,169,0.0103,0,0,0
toy_story_1995,toy_story_1995_s003,3,INT. DOWNSTAIRS LIVING ROOM,slug_line,170,229,0.0206,11,11,0
toy_story_1995,toy_story_1995_s004,4,INT. ANDY'S BEDROOM - CONTINUOUS,slug_line,230,734,0.0309,80,80,0
toy_story_1995,toy_story_1995_s005,5,INT. UPSTAIRS HALLWAY,slug_line,735,762,0.0412,1,1,0
toy_story_1995,toy_story_1995_s006,6,INT. DOWNSTAIRS HALLWAY - CONTINUOUS,slug_line,763,769,0.0515,0,0,0
toy_story_1995,toy_story_1995_s007,7,INT. ANDY'S BEDROOM,slug_line,770,781,0.0619,1,1,0
toy_story_1995,toy_story_1995_s008,8,INT. DOWNSTAIRS HALLWAY,slug_line,782,807,0.0722,2,2,0
toy_story_1995,toy_story_1995_s009,9,INT. ANDY'S BEDROOM,slug_line,808,818,0.0825,2,2,0
toy_story_1995,toy_story_1995_s010,10,INT. DOWNSTAIRS HALLWAY,slug_line,819,854,0.0928,3,3,0
toy_story_1995,toy_story_1995_s011,11,INT. DOWNSTAIRS - HOUSE PLANT - CONTINUOUS,slug_line,855,870,0.1031,1,1,0
toy_story_1995,toy_story_1995_s012,12,INT. ANDY'S ROOM,slug_line,871,917,0.1134,6,6,0
toy_story_1995,toy_story_1995_s013,13,INT. LIVING ROOM,slug_line,918,927,0.1237,1,1,0
toy_story_1995,toy_story_1995_s014,14,INT. ANDY'S BEDROOM,slug_line,928,955,0.134,4,4,0
toy_story_1995,toy_story_1995_s015,15,INT. DOWNSTAIRS - HOUSE PLANT,slug_line,956,962,0.1443,1,1,0
toy_story_1995,toy_story_1995_s016,16,INT. ANDY'S BEDROOM,slug_line,963,973,0.1546,2,2,0
toy_story_1995,toy_story_1995_s017,17,INT. DOWNSTAIRS - HOUSE PLANT,slug_line,974,992,0.1649,1,1,0
toy_story_1995,toy_story_1995_s018,18,INT. ANDY'S BEDROOM - CONTINUOUS,slug_line,993,1006,0.1753,0,0,0
toy_story_1995,toy_story_1995_s019,19,INT. DOWNSTAIRS - HOUSE PLANT - CONTINUOUS,slug_line,1007,1014,0.1856,1,1,0
toy_story_1995,toy_story_1995_s020,20,INT. ANDY'S ROOM - CONTINUOUS,slug_line,1015,1062,0.1959,7,7,0
toy_story_1995,toy_story_1995_s021,21,INT. LIVING ROOM,slug_line,1063,1075,0.2062,2,2,0
toy_story_1995,toy_story_1995_s022,22,INT. ANDY'S ROOM - CONTINUOUS,slug_line,1076,1604,0.2165,88,88,0
toy_story_1995,toy_story_1995_s023,23,INT. ANDY'S ROOM - LATER,slug_line,1605,1674,0.2268,1,1,0
