film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name,confidence
toy_story_1995,1,toy_story_1995_s001,toy_story_1995_s001_u0001,0.0,WOODY,WOODY (VOICE BOX),toy_story_1995_woody,Woody,"Reach for the sky. ANDY Oh, no! Sheriff Woody!! ANDY I'm here to stop you, One-Eyed Bart. Andy's hand pulls out one of Mr. Potato Head's eyes. ANDY Doooooh! How'd you know it was me! ANDY Are you gonna come quietly? ANDY You can't touch me Sheriff! I brought my attack dog with a built- in force field! Andy places a TOY DOG, with a SLINKY for a mid-section, in front of Mr. Potato Head and stretches him out. ANDY Well I brought my DINOSAUR, who eats force field dogs!! Andy reveals a PLASTIC TYRANNOSAURUS REX, who stomps on the Slinky Dog. ANDY AAAAR! ROAR-ROAR-ROAR! ANDY YIPE! YIPE-YIPE-YIPE! ANDY You're goin' to jail, Bart. Andy picks up Mr. Potato Head and places him in a baby crib in the room. A cardboard sign is taped to the bars with the word ""JAIL"" written in crayon. ANDY Say good-bye to the wife and tatertots. Andy's 1-year-old sister, MOLLY, crawls over and picks up Mr. Potato Head. She sucks on him for a beat then proceeds to pound the toy repeatedly against the rail of her crib, forcing some of his parts loose. Andy, wearing a cowboy hat himself, picks up Woody off the floor.",203,spoken,toy_story_1995_andy,individual,81,,indented,M,,1,1,1,Woody,high
toy_story_1995,2,toy_story_1995_s001,toy_story_1995_s001_u0002,0.0,ANDY,ANDY,toy_story_1995_andy,Andy,"You saved the day again, Woody.",6,spoken,toy_story_1995_woody,individual,140,,indented,M,,1,0,1,Andy,high
toy_story_1995,3,toy_story_1995_s001,toy_story_1995_s001_u0003,0.0,WOODY,WOODY (VOICE BOX),toy_story_1995_woody,Woody,You're my favorite deputy.,4,spoken,toy_story_1995_andy,individual,145,,indented,M,,1,1,1,Woody,high
toy_story_1995,5,toy_story_1995_s001,toy_story_1995_s001_u0005,0.0,ANDY,ANDY,toy_story_1995_andy,Andy,"C'mon, let's wrangle up the cattle. -- Andy then rides Woody around on an RC car, and herds the remaining ""cow"" boxes under Molly's crib.",25,spoken,toy_story_1995_woody,individual,157,,indented,M,,1,0,1,Andy,high
toy_story_1995,6,toy_story_1995_s003,toy_story_1995_s003_u0006,0.0206,ANDY,ANDY,toy_story_1995_andy,Andy,Score!,1,spoken,monologue,monologue,179,,indented,M,,1,0,1,Andy,high
toy_story_1995,8,toy_story_1995_s003,toy_story_1995_s003_u0008,0.0206,ANDY,ANDY (O.S.),toy_story_1995_andy,Andy,Wow! Cool!,2,spoken,monologue,monologue,189,,indented,M,,1,0,1,Andy,high
toy_story_1995,9,toy_story_1995_s003,toy_story_1995_s003_u0009,0.0206,MRS. DAVIS,MRS. DAVIS (O.S.),toy_story_1995_mrs_davis,Mrs. Davis,Whadda ya think?,3,spoken,toy_story_1995_andy,individual,192,,indented,F,,1,0,1,Mrs. Davis,high
toy_story_1995,10,toy_story_1995_s003,toy_story_1995_s003_u0010,0.0206,ANDY,ANDY (O.S.),toy_story_1995_andy,Andy,"Oh, this looks GREAT, Mom! ANGLE: THE ADJOINING DINING ROOM MRS. DAVIS, Andy's thirty eight-year-old mom, has just finished decorating the area with streamers and balloons. A banner is draped across the archway. It reads: ""Happy Birthday Andy"". Woody's frozen face stares in the direction of the birthday decorations.",49,spoken,toy_story_1995_mrs_davis,individual,195,,indented,M,,1,0,1,Andy,high
toy_story_1995,11,toy_story_1995_s003,toy_story_1995_s003_u0011,0.0206,ANDY,ANDY,toy_story_1995_andy,Andy,Can we leave this up 'til we move?,8,spoken,toy_story_1995_mrs_davis,individual,208,,indented,M,,1,0,1,Andy,high
toy_story_1995,12,toy_story_1995_s003,toy_story_1995_s003_u0012,0.0206,MRS. DAVIS,MRS. DAVIS,toy_story_1995_mrs_davis,Mrs. Davis,"Well, sure, we can leave it up.",7,spoken,toy_story_1995_andy,individual,211,,indented,F,,1,0,1,Mrs. Davis,high
